training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
113.13983,1.018393,-2.0369391,297.56317,-389.06,8417.634,254.8875,831.2533,274.93713,10.852642,11.229261,15.988106,3.1739273,0.052030683,6.1517854,-68.772415,255.19508,323.9675,110.41933,0.6244337,-2.021956,260.17804,840.7118,271.73608,3.1399062,7.8994637,11.2696495,3.0326874,0.066795,6.153412,-48.300983,260.4857,308.78668,0.13209613480567933,660.4806909561157,5000
70.05441,0.41818964,-2.013123,375.62888,-316.19363,6503.788,351.32492,672.11456,158.72409,6.7330985,1.693084,10.17359,1.595459,0.08936547,22.821655,-37.4979,352.466,389.9639,67.75285,0.48540753,-1.8827212,372.69675,684.3299,134.32858,1.2826803,1.4116492,7.3827143,1.6063617,0.1431575,22.826689,-31.081944,373.83807,404.92,0.012382760763168335,722.3945028781891,10000
32.282738,0.27839577,-1.8759923,159.56587,-57.3593,2735.625,411.3628,512.96277,91.29186,2.0030646,0.18462656,3.4631448,1.0480415,0.06082751,71.34411,-9.604813,414.93,424.53482,40.07418,0.40366775,-1.9899224,392.30054,590.6409,113.647415,0.58462656,0.42073515,5.6164513,1.1786685,0.059077084,71.356384,-26.454319,395.86835,422.32266,0.01238063564300537,784.2976999282837,15000
22.98674,0.26881006,-1.9995856,374.43286,-437.098,7141.344,441.3529,208.2137,59.98723,2.88325,0.109655276,3.9811413,0.8970171,0.06514864,158.61966,-9.4625,449.2839,458.7464,23.971312,0.12869108,-2.0214667,432.53903,302.5749,69.09493,0.98629385,0.07854896,2.535966,0.9043946,0.01959432,158.64447,-4.5291348,440.47125,445.0004,0.012379051637649536,846.1929695606232,20000
10.033993,0.09178619,-2.002459,174.26468,-226.72159,2924.2417,458.62582,161.32452,42.44638,2.8058228,0.00932483,1.5054352,0.6815611,0.0434775,231.01375,9.396523,470.1765,460.78,8.064447,0.055955615,-2.0377696,456.0,161.50642,45.099953,0.44124073,0.0032591573,1.393162,0.62373114,0.04373522,231.07964,10.800858,467.55396,456.7531,0.01237293734550476,908.0576679706573,25000
13.11045,0.11552795,-1.845974,281.8599,-305.38065,6491.391,433.8495,327.78705,67.851944,0.6115376,0.11342129,3.8405826,0.803612,0.07243944,249.89478,-15.84865,446.3442,462.19287,15.713319,0.18188646,-1.9498762,430.58673,371.83582,71.25188,1.7267143,0.08741557,4.739193,0.78340364,0.067227304,249.89478,-9.349955,443.08148,452.43143,0.012356115293502808,969.8382563591003,30000
14.166231,0.15905166,-1.9032934,118.8665,-64.37184,2176.3093,438.75116,285.35007,62.693596,0.72602046,0.022146553,2.7748055,0.75614834,0.03392009,253.34154,7.056435,451.41824,444.36182,15.840313,0.13624768,-2.0182576,437.33173,300.93607,64.17856,4.899782,0.06560979,3.6223984,0.7968515,0.07003737,253.32825,-3.9544005,449.99814,453.95255,0.012359881734848022,1031.6376838684082,35000
14.141682,0.13386771,-1.823793,534.6031,-547.5125,7163.7554,437.4359,260.28427,64.00981,4.641153,0.022359444,2.535651,0.73645854,0.04422258,260.1831,7.191606,450.44507,443.25345,13.253548,0.21993168,-1.8432177,440.43744,304.7755,61.03655,3.1182582,0.009563511,1.7274466,0.75020367,0.063395515,260.1863,10.521022,453.44675,442.92572,0.012366284799575805,1093.4691207408905,40000
20.656641,0.2273124,-1.816658,277.582,-281.94702,4612.5874,429.16458,344.16287,72.590614,2.9134426,0.08260335,3.5146825,0.8674213,0.072424054,265.3851,-8.652443,442.43384,451.08627,19.176071,0.28274328,-1.8345575,431.24548,385.48172,70.51851,5.5268087,0.042109355,2.924724,0.860429,0.06322136,265.38916,2.0940917,444.51492,442.42084,0.012369494199752808,1155.3166024684906,45000
18.241505,0.2513263,-1.9090276,86.10957,-125.37783,1956.3737,442.96786,172.07573,58.327785,0.55133855,0.020669747,1.9612904,0.788803,0.06683406,268.4856,7.8747506,456.39215,448.5174,12.917555,0.033714596,-1.8891107,445.05188,191.78238,56.207764,2.2634268,0.017823571,2.0437477,0.78291845,0.03594116,268.46204,8.638149,458.47498,449.83682,0.012356571054458618,1217.099473953247,50000
