training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
27.15023,-0.38086498,-1.946782,0.9978943,0.703125,0.009501321,-10.238792,-10.276799,-0.54687035,112.69023,5.4461455,7.9860065e-06,6.3047886,-5.8894744,118.62727,0.9975891,0.69921875,0.010111156,-10.2537565,-10.29102,-0.75109804,102.00311,4.322616,4.210281e-06,23.516382,-0.33860835,-1.896023,0.997406,0.6484375,0.0113545805,-10.289811,-10.325985,-1.0652492,103.29628,4.758398,2.0882153e-06,0.9975128,0.625,0.011096475,-10.294295,-10.330187,-1.1418151,201.63219,4.288273,3.6966228e-06,0.12968392820358277,648.4196560382843,5000
37.902046,-0.26603276,-1.8832798,0.99835205,0.78515625,0.007855969,-11.448914,-11.494448,0.1624178,698.64777,19.006182,1.207736e-07,3.3129847,-3.7865725,65.717155,0.9982605,0.765625,0.0078382185,-11.354626,-11.399458,0.07800858,268.86905,15.781357,5.06848e-06,47.12555,-0.17707226,-1.8822374,0.99768066,0.69921875,0.0102802105,-11.3962965,-11.439634,-0.3450796,446.11887,15.377466,1.8943625e-06,0.9977112,0.69921875,0.010103958,-11.337561,-11.38024,-0.45389947,158.67654,11.301623,2.571804e-06,0.014753062152862548,722.1849765777588,10000
38.513916,-0.74425924,-1.8693129,0.998703,0.8515625,0.0057993503,-12.705059,-12.758564,0.9391601,861.04205,33.898876,5.236662e-06,2.177485,-4.0589933,61.958694,0.99858093,0.82421875,0.0057771076,-12.488909,-12.541406,0.89754486,748.9158,34.288776,1.2630499e-05,30.028065,-0.82872677,-1.8128428,0.9977112,0.69140625,0.010869013,-12.473879,-12.5201435,-0.6762666,1500.0066,22.615261,2.2324186e-07,0.99746704,0.66015625,0.010852287,-12.525356,-12.571766,-0.6909484,357.88367,18.382725,2.867822e-07,0.014716412591934205,795.7670500278473,15000
36.489845,-0.9269377,-1.8548243,0.99913025,0.90625,0.0042185704,-13.6440525,-13.704842,1.8570626,22276.332,133.59448,2.9068883e-06,4.484223,-5.9828396,224.10716,0.9989319,0.88671875,0.0042626797,-13.133129,-13.19252,2.0114002,4189.4326,92.643845,2.335209e-06,29.862352,-1.2158895,-1.8932108,0.99772644,0.67578125,0.012234998,-13.664671,-13.713174,-1.2961164,7115.789,52.32401,1.6119973e-08,0.9974823,0.58984375,0.012723427,-13.128487,-13.17481,-1.3157438,3333.4465,47.824913,3.918553e-08,0.01481606640815735,869.8473932743073,20000
49.173122,-0.59535015,-1.8818834,0.999176,0.8984375,0.0038887167,-14.413567,-14.479344,2.3599138,13681.03,203.73984,4.937023e-06,2.3711798,-2.2352417,70.4671,0.99897766,0.91015625,0.004179029,-14.581816,-14.647192,2.089336,6981.1924,185.1904,1.4496699e-06,44.61805,-1.0086298,-1.8564513,0.99765015,0.703125,0.012089416,-14.422661,-14.474796,-1.1279969,3272.3374,61.156948,9.835422e-10,0.9975281,0.6796875,0.012314552,-14.331364,-14.382701,-1.240064,3260.0461,59.679665,1.3269896e-08,0.014724267435073853,943.4687390327454,25000
37.637127,-0.9427078,-1.8813858,0.9992981,0.9375,0.0029398068,-15.555308,-15.626757,2.6642015,11124.085,266.06567,5.6461373e-05,2.674546,-3.3212354,58.037422,0.99905396,0.92578125,0.0030094492,-15.740297,-15.812956,2.7877078,93050.625,569.62885,0.0011454263,40.095375,-1.1825359,-1.896626,0.99731445,0.6484375,0.01596462,-15.425518,-15.476849,-2.3357475,3254.2998,34.677467,6.457654e-09,0.9971924,0.609375,0.0152890235,-15.534027,-15.587075,-2.0066721,4543.394,54.218513,1.4087443e-08,0.014701174592971801,1016.9746224880219,30000
41.90474,-1.0615823,-1.9173043,0.99913025,0.95703125,0.0032560325,-15.300819,-15.372655,3.0175624,30871.93,529.76776,4.8048537e-06,1.4069855,-1.8324748,48.272484,0.99897766,0.9296875,0.0031861193,-15.839775,-15.913181,2.8790278,7433.121,284.94177,5.819035e-07,45.147884,-1.242336,-1.8527157,0.99765015,0.7265625,0.011858597,-15.336655,-15.393015,-0.964686,8251.28,77.846054,1.910608e-10,0.9974518,0.67578125,0.01251624,-15.74822,-15.804696,-1.3467913,1429.729,44.155205,1.3301032e-09,0.014713881063461304,1090.544037103653,35000
40.02913,-0.9428742,-1.882203,0.9994354,0.953125,0.002639764,-15.671124,-15.744531,3.047438,23516.385,397.9594,5.4386113e-05,1.388607,-1.9986662,52.18824,0.9992676,0.94140625,0.002702353,-15.964994,-16.03946,3.0240607,28893.469,593.9079,1.4985535e-05,46.50248,-1.1986368,-1.88112,0.99754333,0.6640625,0.015188687,-15.514727,-15.566273,-2.3699312,3399.0408,44.33896,9.088089e-11,0.99723816,0.61328125,0.014761468,-15.769226,-15.822185,-2.2647738,1477.4238,30.641369,8.547014e-08,0.014718836402893067,1164.1382281780243,40000
34.208755,-1.1793443,-1.7683976,0.99954224,0.9609375,0.0026205832,-16.337368,-16.414986,3.4552999,61805.99,741.4136,4.1003746e-06,2.1406164,-2.5236092,78.00218,0.9992523,0.9296875,0.0032604483,-16.37367,-16.45003,3.0983946,20944.469,459.89215,1.4451382e-06,41.46141,-1.6408699,-1.8512728,0.9975128,0.68359375,0.015224382,-16.458035,-16.514582,-2.0383997,7921.372,82.06729,1.6642131e-10,0.9974518,0.6171875,0.014711635,-16.230537,-16.286316,-2.00686,23987.771,178.29494,3.7278758e-10,0.014782387924194337,1238.050178527832,45000
38.261646,-1.0896859,-1.8745354,0.99954224,0.95703125,0.0022664506,-16.48235,-16.55957,3.2093196,107989.0,855.99805,1.4699053e-05,4.193624,-10.145306,150.54636,0.9993286,0.94921875,0.002417936,-16.24867,-16.324173,3.0045912,69961.92,480.71994,2.8073518e-06,44.516975,-1.4377538,-1.8122373,0.9974823,0.6484375,0.016463086,-16.399904,-16.454763,-2.4106472,8546.516,122.72275,1.4645627e-09,0.99713135,0.6015625,0.017149752,-16.014404,-16.06664,-2.6935613,4832.66,79.701096,7.7804554e-11,0.014733182621002197,1311.716103553772,50000
