training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
2.0908005,-1.0098433,-1.9222939,0.8325067,0.0,-13.88139,-20.167177,2.2043693,-1.3865659,99.48911,0.25025144,-13.245096,-19.364336,0.026945518,1.2962325,-0.8508046,-1.9288723,0.79353964,0.0,-13.533323,-20.188156,0.3757213,-12.877132,-19.376146,0.03280305,0.12349576420783996,617.4788377285004,5000
2.3564966,-0.37425566,-1.9237808,0.80744225,0.0,-21.165897,-36.874653,1.9031065,-2.5637174,141.9458,0.07471187,-20.71848,-36.224808,0.029929392,1.9448179,-0.3129005,-1.9943082,0.70623386,0.0,-22.595955,-36.94869,0.118089266,-22.060238,-36.322052,0.0411121,0.010827164745330811,671.6146728992462,10000
0.7691953,-0.69302964,-1.9242396,0.8780848,0.0,-23.18939,-49.818687,2.6417232,-2.4454932,120.371124,0.05948613,-22.799305,-49.314728,0.045112357,0.780041,-0.74832046,-1.8972967,0.99208957,0.0,-24.736944,-49.843693,0.09826134,-24.329697,-49.336945,0.06280574,0.010772267818450927,725.4760222434998,15000
4.3422737,-0.38451076,-1.9207025,1.539287,0.0,-26.938423,-57.160114,4.6289134,-5.0342836,318.14606,0.01810088,-26.52596,-56.7298,0.09235211,1.807615,-0.6583581,-1.925514,1.4175127,0.0,-27.261257,-57.556435,0.017502923,-26.886185,-57.131695,0.066042334,0.010772443723678589,779.3382530212402,20000
31.52609,0.41137505,-1.8733277,2.4306192,0.0,-27.504763,-62.571804,12.526994,-19.063864,1011.128,0.048900485,-27.108,-62.190956,0.10905611,0.6643967,-0.92675775,-1.9050702,1.162504,0.0,-28.26785,-62.62019,0.067165405,-27.85944,-62.246433,0.08667034,0.010754912996292115,833.1128313541412,25000
2.568633,-0.73951966,-1.8929079,1.0328145,0.0,-27.678326,-65.934906,6.1737733,-3.302578,209.22919,0.0688394,-27.209717,-65.59201,0.085972235,8.413762,-0.33759403,-1.8885775,1.1869146,0.0,-28.00769,-65.63591,0.07428475,-27.60191,-65.29152,0.10940786,0.010776208066940308,886.9938824176788,30000
2.5615816,-0.48406342,-1.9224672,0.907726,0.0,-28.558277,-65.59889,1.2188983,-2.1587045,101.60945,0.1749537,-28.14674,-65.19323,0.06170506,5.1666036,-0.27130026,-1.8528638,1.181454,0.0,-26.801874,-66.91084,0.17851898,-26.369581,-66.54369,0.10195437,0.011434673404693604,944.1672623157501,35000
3.0740128,-0.42557544,-1.9250541,0.6440348,0.0,-26.607151,-70.718575,2.716754,-4.286612,246.69601,0.045044355,-26.247084,-70.34651,0.10404158,0.6659725,-0.8605194,-1.9168444,1.1419698,0.0,-26.857468,-68.063515,0.05562348,-26.43933,-67.58711,0.07142547,0.010782668352127074,998.080616235733,40000
1.3828506,-0.7333001,-2.0414138,0.74103415,0.0,-28.623196,-72.29897,6.885435,-3.9271958,311.91333,0.08681441,-28.247847,-72.01059,0.08307916,3.6152313,-0.37048095,-1.9170406,0.8917022,0.0,-27.594755,-71.957184,0.04077276,-27.207928,-71.49027,0.09470664,0.01078443808555603,1052.0028188228607,45000
0.9662793,-0.8011056,-2.0801263,0.8052827,0.0,-27.122616,-70.74728,6.986848,-3.3022897,241.02213,0.070233084,-26.64975,-70.622025,0.060157377,0.3511289,-1.2068436,-1.9496574,2.3575454,0.0,-28.433952,-73.17848,0.056922115,-28.049088,-72.88359,0.099737175,0.010778164958953857,1105.8936541080475,50000
6.067216,-0.38092962,-1.9421287,1.0847857,0.0,-29.186775,-73.190765,8.039747,-6.924059,296.7235,0.035231166,-28.744776,-72.95788,0.10931265,17.877699,0.18998118,-1.8998041,1.4854293,0.0,-27.108143,-71.61491,0.010424733,-26.73199,-71.63349,0.059700117,0.01076767520904541,1159.732041835785,55000
0.5381733,-0.8670428,-1.9515505,0.8106483,0.0,-28.428549,-72.099884,6.9206166,-5.653534,251.34528,0.04870134,-28.038597,-71.687706,0.08045293,0.7082872,-0.69525087,-1.9164786,0.7541362,0.0,-31.141304,-72.46068,0.026519254,-30.773855,-72.08778,0.06688385,0.010844697570800782,1213.955540895462,60000
1.6193836,-0.7991853,-1.9648654,1.139961,0.0,-31.916641,-70.34811,7.676791,-5.5184374,305.4295,0.017972559,-31.57679,-70.03722,0.0711626,3.4507089,-0.44814318,-1.9468126,0.9044241,0.0,-28.840408,-68.72025,0.032254815,-28.449327,-68.409294,0.06494936,0.010840521812438966,1268.1581602096558,65000
0.64065135,-0.8902668,-2.0395372,1.1824802,0.0,-26.54558,-75.36163,10.975147,-8.790907,389.63528,0.022197701,-26.133804,-75.09461,0.082239985,5.7551603,-0.06639069,-1.9698517,1.0936322,0.0,-28.796621,-68.510635,-0.0040264055,-28.485466,-68.047905,0.08110012,0.010765326499938966,1321.9848041534424,70000
0.9002407,-0.8723433,-1.9941216,1.0026277,0.0,-27.81451,-71.521866,7.3711185,-3.6758885,289.24924,-0.029574573,-27.456718,-71.19273,0.063629344,1.1145384,-1.0227132,-1.8847233,1.4983174,0.0,-28.847687,-71.30693,-0.012736037,-28.501392,-70.60355,0.060147922,0.010781838083267213,1375.8940048217773,75000
3.6905444,-0.35459158,-1.9869468,1.0278648,0.0,-28.292746,-71.75102,7.598076,-6.1945143,251.98325,0.02112779,-27.92337,-71.68053,0.0785474,2.8703456,-0.38413382,-1.8857614,0.89961964,0.0,-29.171898,-68.37168,0.018673599,-28.785326,-67.58161,0.07824515,0.010761694383621215,1429.7024896144867,80000
2.3434737,-0.3188061,-1.94969,0.65851057,0.0,-27.607117,-75.40432,3.2551541,-3.6655989,210.93741,0.0031717494,-27.24678,-75.04685,0.042911507,1.7839496,-0.46534073,-2.0120409,0.79454416,0.0,-29.053165,-74.66007,-0.012881219,-28.687916,-74.37202,0.0652615,0.010755251455307006,1483.478756904602,85000
2.3665032,-0.38812685,-1.9547607,0.690882,0.0,-29.462818,-70.884575,2.1278152,-2.2401602,93.64247,0.0017684251,-29.087679,-70.61432,0.06116001,1.9443845,-0.38970184,-1.8926592,0.46292287,0.0,-28.807735,-73.32667,0.0049845055,-28.468655,-72.97914,0.064250566,0.010781938314437866,1537.3884584903717,90000
0.53926,-0.85648257,-1.807611,1.1329526,0.0,-27.925783,-68.88935,9.36237,-9.558277,326.20782,-0.0144657865,-27.553602,-68.62008,0.0815742,0.96552646,-0.77863365,-1.9699459,1.0496058,0.0,-30.158222,-70.44047,-0.0055633783,-29.790333,-70.998085,0.070045166,0.010755140209197997,1591.164172410965,95000
3.3807101,-0.21105736,-1.9261675,0.7337432,0.0,-28.114437,-69.619606,5.3535542,-5.3666644,228.39905,0.06144861,-27.827599,-69.44488,0.046856575,1.6004941,-0.41279352,-2.0430913,0.9477328,0.0,-31.75684,-69.20558,0.045253098,-31.358868,-68.880196,0.04842949,0.01077372317314148,1645.0327985286713,100000
4.703397,-0.43925014,-2.0070167,0.9702081,0.0,-30.672075,-68.6944,4.35524,-8.893387,284.76904,0.05227697,-30.317356,-68.35448,0.07371713,0.79962087,-0.8088812,-1.9171085,1.0298845,0.0,-30.30893,-72.63232,0.044981398,-29.907923,-72.49939,0.0902434,0.11880652604103088,2239.0654380321503,105000
4.3133364,-0.25801915,-1.9514874,1.0635557,0.0,-30.454096,-73.72493,7.2433786,-7.0699024,266.41754,0.039643824,-30.071941,-73.53028,0.06510016,5.6510525,-0.19627924,-1.9797316,1.2795911,0.0,-30.532578,-73.850235,0.0461846,-30.131214,-73.55035,0.09510766,0.010744614696502685,2292.7885208129883,110000
2.4463928,-0.29520795,-1.9833803,0.76695526,0.0,-29.117203,-70.399506,4.9955063,-4.801082,182.35464,0.0032338202,-28.76848,-69.87819,0.06774355,17.2707,0.31634057,-1.9668062,1.7460835,0.0,-29.155365,-70.78841,0.006415598,-28.787354,-70.50562,0.065440565,0.010750089454650879,2346.538978099823,115000
4.5612373,-0.49856907,-1.9414505,1.044453,0.0,-30.834024,-72.91338,4.1893888,-8.645367,219.82425,0.03654702,-30.422834,-72.52488,0.07206622,3.4836447,-0.6169312,-1.9672786,1.0989223,0.0,-29.725521,-71.89899,0.041375183,-29.430328,-71.51343,0.082671165,0.010744266033172608,2400.2603175640106,120000
