training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
8.982475,0.09173521,-1.9710468,1.3112729,-1.7809091,96.73361,0.12073992,-15.016428,-24.06338,0.115967564,8.623304,0.07859994,-1.9256308,0.07688412,-14.521555,-24.081999,0.1293355,0.09088339080810547,454.4169747829437,5000
11.899464,0.1912411,-1.9748305,2.4421508,-6.182561,105.11572,0.07038006,-21.57668,-47.0902,0.14610124,10.137543,0.107688755,-2.102776,0.07453865,-22.988918,-46.873886,0.19990176,0.007891594552993774,493.87495946884155,10000
9.575314,0.034041926,-1.9571655,3.7799175,-3.7738056,153.83649,0.0058123283,-22.009037,-61.838062,0.3031597,10.948732,0.19402316,-1.9069179,-0.00016668998,-23.637928,-58.54117,0.25454968,0.00789561152458191,533.3530333042145,15000
11.021372,0.09803124,-2.061648,3.9575853,-3.5840461,231.63371,0.08474229,-24.900427,-67.14134,0.3516609,10.456652,0.103137046,-2.0903018,0.063281454,-25.261925,-69.56912,0.33065104,0.007886870527267456,572.7873980998993,20000
12.762941,0.2333633,-1.9660649,4.5116224,-3.390176,239.75209,0.027663391,-24.957548,-76.95633,0.3378308,7.8550406,0.11219728,-1.9808481,0.03050002,-26.051243,-76.50081,0.28908545,0.00789586181640625,612.2667229175568,25000
9.981237,0.0932486,-2.156553,2.5669007,-5.0177484,241.0548,-0.01632106,-25.359665,-80.56452,0.343759,9.714531,0.12179509,-1.9621949,-0.01791811,-25.520868,-67.5578,0.33673495,0.007894918060302734,651.7413263320923,30000
12.269667,0.17941251,-2.1127486,3.6336203,-5.4704604,200.91608,0.058083575,-26.679197,-61.51428,0.39363083,8.368504,0.0981781,-1.894027,0.0646708,-25.01368,-69.18453,0.37441108,0.007892749500274658,691.2050840854645,35000
10.103138,0.20066875,-1.9338748,2.1400895,-2.6103919,143.5043,0.054529548,-24.63993,-66.22937,0.26982963,11.160098,0.14883304,-1.9284163,0.026493832,-25.503792,-61.9152,0.4455136,0.007897271919250489,730.691454410553,40000
8.0278015,0.12469955,-2.0961227,2.7658448,-1.9483774,163.30693,0.011432227,-27.30019,-67.615234,0.26595008,7.57066,0.17600407,-1.9484231,0.0079755895,-25.898703,-65.4862,0.22265801,0.007894346141815186,770.1631984710693,45000
7.7183704,0.13148014,-2.1658814,1.8719897,-2.023657,125.64258,-0.0030772425,-25.960781,-60.96569,0.2288783,7.676806,0.117056005,-1.9907857,0.0039964654,-26.936611,-65.49608,0.20186213,0.007891935110092164,809.622887134552,50000
9.533997,0.16821614,-2.0372653,5.5517464,-5.1404123,163.73694,0.007703379,-28.16699,-65.87676,0.20289156,8.159155,0.09710704,-1.8177447,0.016910207,-25.870962,-64.99873,0.248693,0.007894977712631226,849.0977880954742,55000
7.7175007,0.14472759,-2.0878131,4.8981347,-4.671107,136.13408,-0.0015382841,-27.199406,-64.236206,0.2353707,7.2722874,0.13904473,-1.9282964,0.010403905,-29.956938,-68.23016,0.16719118,0.007889938402175903,888.5474905967712,60000
8.851749,0.16959119,-2.0559819,3.253664,-2.9642463,155.03316,-0.005617272,-30.697136,-69.2384,0.2634226,11.227196,0.18548535,-2.032743,-0.004592292,-27.423267,-64.15917,0.22065878,0.007898447942733765,928.0397424697876,65000
9.49674,0.062820554,-1.9737413,2.1976664,-2.9868162,160.21771,-0.0022714436,-25.888103,-68.88113,0.22898147,5.966361,0.1883015,-1.9114506,-0.018356327,-27.85923,-64.19339,0.1826471,0.007897637796401978,967.5279438495636,70000
6.506338,0.076195255,-2.1082292,3.8028586,-8.825349,216.98703,0.034509346,-26.664616,-63.871353,0.19798382,8.432708,0.2406094,-1.9509761,0.05358023,-27.695408,-65.68848,0.1803621,0.007901287460327148,1007.0343947410583,75000
8.141588,0.09690481,-1.9775275,8.83005,-8.668326,169.06964,0.04111166,-26.801468,-66.955696,0.2537087,9.034248,0.19374259,-1.8928878,0.040739242,-27.37788,-63.90825,0.24691252,0.00789540433883667,1046.511426448822,80000
6.644902,0.1650902,-1.9528954,2.8530495,-5.6391916,161.60254,-0.042512048,-26.415295,-67.69354,0.12388607,7.4795117,0.13656445,-2.041654,-0.04838967,-28.017376,-68.187645,0.2380301,0.007893306016921998,1085.9779694080353,85000
