training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
20.651035,-18.117546,487.63498,236.10995,0.67015135,-13.504187,0.86296016,1.0,46.360886,0.14115757,-1.9461157,0.2591709,-11.013466,-15.104158,0.5927657,213.22806,0.60953575,-13.348869,0.8318969,1.0,44.42815,0.09607151,-1.887603,0.23277637,-10.120829,-15.101826,0.66401494,0.14068600716590882,703.4300503730774,5000
17.395117,-10.600047,1026.5366,375.32117,0.7117115,-12.418837,0.6458905,1.0,28.918514,0.34538913,-1.0766768,-0.1358324,-17.125486,-35.18496,0.7215806,456.1171,1.032422,-12.318219,0.6257668,1.0,34.194225,0.43439823,-1.0582668,-0.12087781,-17.67191,-35.180737,0.66058123,0.01854890546798706,796.1745889186859,10000
39.417892,-26.087566,1856.093,583.9888,1.5101347,-12.360731,0.6342692,1.0,26.056961,0.5596923,-0.99607855,0.029026577,-23.20235,-52.28463,1.4896803,575.6752,1.2208297,-12.782924,0.71870774,1.0,16.34496,0.3435772,-1.010741,0.076140806,-25.81894,-52.22534,1.0737649,0.018568520164489746,889.017199754715,15000
15.610252,-17.119127,1543.8933,623.64636,1.5796256,-12.733879,0.7088987,1.0,23.958637,0.59605795,-0.8626888,0.07560377,-24.74737,-64.929,1.2826369,507.13715,1.1085327,-12.69297,0.7007171,1.0,27.363327,0.5382998,-0.878924,0.047240667,-24.617027,-64.93807,0.9736296,0.018700857877731323,982.5215010643005,20000
26.999607,-21.352642,1741.174,591.6162,1.5734785,-12.852551,0.73263323,1.0,16.933342,0.4875525,-0.8716014,0.15980168,-29.328733,-72.322876,1.1082504,637.8346,1.6305169,-13.03714,0.7695511,1.0,10.981693,0.3408177,-0.7031714,0.13618398,-32.18477,-74.253525,1.4007416,0.01862732090950012,1075.6581161022186,25000
23.896805,-18.185463,1385.5139,596.805,1.2945247,-12.746067,0.7113363,1.0,12.457075,0.20059957,-0.64862007,0.040325876,-29.705173,-75.18129,0.9328766,631.7178,1.6580317,-12.78665,0.7194529,1.0,8.268282,0.16153222,-0.6058445,0.073917896,-30.692123,-83.36944,1.057816,0.018757279300689697,1169.4445242881775,30000
17.516125,-16.844494,1430.345,648.4037,1.4598979,-12.978366,0.7577962,1.0,11.996662,0.5970577,-0.62627167,0.22741379,-33.774284,-85.27693,0.9497426,607.57275,1.7576532,-12.884106,0.73894423,1.0,16.779655,0.60059655,-0.6021856,0.25355244,-34.186005,-85.50103,1.1320643,0.01867652897834778,1262.8271806240082,35000
12.953315,-22.5024,1528.7925,764.0244,2.0614007,-12.703543,0.70283145,1.0,11.338072,0.39840055,-0.59532344,-0.0074203312,-30.10737,-76.6932,1.3716654,603.2445,1.3120749,-12.777879,0.71769875,1.0,10.068085,0.4882328,-0.45255613,0.0006643422,-28.126072,-89.66199,0.91930914,0.018643457746505738,1356.044480085373,40000
28.605309,-26.300293,1936.627,661.3904,1.6973573,-12.633427,0.6888084,1.0,13.313125,0.6594856,-0.55622816,-0.13576813,-31.652853,-83.69816,1.8680229,605.42053,1.3244154,-12.454658,0.65305454,1.0,17.105328,0.68562126,-0.6287471,-0.15344116,-31.875702,-82.55286,1.4503155,0.018589203357696534,1448.9905078411102,45000
22.694256,-15.223421,1600.227,624.937,1.4376171,-12.647026,0.6915282,1.0,7.689708,0.40310127,-0.47747308,0.08812037,-28.87201,-74.751945,0.94072694,724.7478,1.5463916,-12.480761,0.65827495,1.0,8.336996,0.48483637,-0.5554723,0.07660052,-32.16944,-75.12554,1.2160519,0.018568590402603148,1541.8334708213806,50000
19.551674,-14.503062,1239.8673,628.7622,1.5140467,-12.6989155,0.7019059,1.0,8.730872,0.5695652,-0.47804746,0.12244189,-30.748508,-83.201675,0.8718735,630.83307,1.6732512,-12.797724,0.72166777,1.0,5.6681223,0.5437013,-0.47598046,0.12542713,-33.200455,-82.78989,0.8627622,0.018548104763031006,1634.5740044116974,55000
35.22567,-37.621548,1596.0192,663.77026,1.6830492,-12.679617,0.69804645,1.0,7.9802876,0.4969441,-0.49176836,-0.024070896,-34.937748,-82.754684,0.82278675,688.407,1.6312454,-12.8770485,0.7375328,1.0,6.9596963,0.5912368,-0.46248132,-0.03626337,-32.22408,-81.136475,0.83080924,0.018714541053771974,1728.146722316742,60000
17.302872,-18.850437,1315.0956,667.23236,1.5462952,-12.870028,0.7361285,1.0,6.267515,0.43076405,-0.5825783,0.05983433,-31.369846,-88.949196,0.8753691,686.8646,1.7571383,-12.794844,0.7210916,1.0,7.815175,0.43415147,-0.49645013,0.055371884,-35.403328,-81.03116,1.0084951,0.018561751222610473,1820.9554896354675,65000
20.301674,-16.772324,1553.7771,699.7538,1.9139327,-12.662627,0.6946484,1.0,10.444697,0.46260387,-0.5058393,0.04894423,-35.13148,-85.487305,0.63965267,628.5147,1.4228728,-12.662581,0.69463915,1.0,7.1669865,0.49677283,-0.40998906,0.058087103,-33.511696,-89.728775,1.3286799,0.01875518469810486,1914.7314240932465,70000
14.035241,-17.991043,1306.0343,612.0172,1.596718,-12.79967,0.7220571,1.0,6.7366514,0.51891255,-0.43565315,-0.052817296,-37.458237,-86.45996,1.0904347,645.956,1.7169833,-12.717865,0.7056959,1.0,3.9657948,0.41174945,-0.53927267,-0.048953913,-32.089462,-83.498985,1.0772691,0.018599724435806275,2007.7300579547882,75000
13.969561,-12.997911,1431.981,644.44214,1.5788933,-12.752481,0.71261936,1.0,12.67713,0.6448421,-0.47050303,0.068342194,-36.472176,-92.60936,0.8997043,627.00354,1.7283859,-12.888302,0.73978347,1.0,9.789497,0.72609174,-0.39223704,0.054137275,-35.222412,-90.32242,0.8563603,0.0185570068359375,2100.5151035785675,80000
16.630741,-14.156587,1493.3862,625.1714,1.324637,-12.932837,0.7486903,1.0,7.699722,0.62742877,-0.4075054,0.023593932,-36.384796,-95.40545,0.85058475,656.00433,1.8580084,-12.775101,0.71714306,1.0,9.564768,0.55296326,-0.4849863,0.02991337,-31.917284,-80.35683,0.866611,0.018703184604644776,2194.031037092209,85000
14.309124,-10.58404,1203.9316,668.56287,1.717666,-12.710636,0.70425016,1.0,5.630212,0.5367364,-0.43366858,0.27312756,-37.191765,-84.65182,0.9958813,702.4919,2.198831,-12.511858,0.66449463,1.0,10.186564,0.69210625,-0.47804135,0.32022905,-33.419453,-83.036644,0.9794036,0.018771336984634398,2287.8877322673798,90000
23.964705,-23.144463,1614.2422,600.93506,1.3627007,-12.527876,0.6676981,1.0,8.463972,0.42128596,-0.5372367,0.07984447,-32.715477,-79.418526,1.113494,610.86316,1.728679,-12.540992,0.6703214,1.0,10.024063,0.47515577,-0.37124658,0.10607526,-32.85215,-88.99251,0.8640182,0.018571721124649047,2380.7463479042053,95000
23.926104,-16.592386,1610.4705,701.0015,2.285247,-12.413134,0.6447497,1.0,6.2649746,0.40236825,-0.3951174,0.077499986,-39.887062,-87.508194,0.96375334,649.58203,1.9992357,-12.390392,0.6402013,1.0,8.019494,0.5966061,-0.41133183,0.060782816,-38.396667,-86.60535,1.2199279,0.018565215730667113,2473.572437763214,100000
24.731186,-22.982409,1709.7843,678.1615,1.9711045,-12.478869,0.6578968,1.0,6.8447804,0.7233623,-0.4605794,0.07041524,-36.872234,-80.93891,0.92549974,563.2465,1.51965,-12.52845,0.6678131,1.0,5.8554454,0.62016803,-0.45585498,0.059248015,-35.74774,-83.74397,0.7211822,0.1286835783481598,3116.9903388023376,105000
19.040485,-26.919561,1711.3599,658.0686,1.6449082,-12.968117,0.75574625,1.0,14.946894,0.6169327,-0.483184,0.12048069,-36.077053,-82.455345,0.88020754,631.11035,1.7632475,-12.70455,0.7030329,1.0,6.251385,0.5450111,-0.46715462,0.08624969,-35.136898,-81.65556,0.780656,0.018861821937561037,3211.299459695816,110000
29.840076,-20.96637,1691.8489,686.9784,2.0295544,-12.483009,0.65872484,1.0,8.338677,0.5651324,-0.34925398,0.05182473,-32.732044,-85.4934,0.77358294,623.6595,1.7637788,-12.511268,0.6643764,1.0,7.463442,0.65052897,-0.40232286,0.065841414,-34.50792,-85.27704,0.8871172,0.019061181783676148,3306.6053795814514,115000
13.972236,-21.501215,1607.4072,679.6123,1.6901919,-12.646017,0.6913264,1.0,6.072208,0.6100831,-0.33203533,0.10155676,-34.449005,-85.05167,0.92746514,651.0814,1.6979356,-12.670301,0.6961834,1.0,3.4981406,0.5428323,-0.37956172,0.07193005,-35.054848,-87.96006,0.7266737,0.018565994215011598,3399.4353613853455,120000
15.750096,-14.546298,1671.791,670.9814,1.762897,-12.554451,0.67301315,1.0,12.637678,0.569509,-0.41588402,-0.051638894,-34.246773,-85.1478,1.0067968,695.80743,1.682284,-12.580822,0.67828745,1.0,12.174179,0.67625296,-0.33754122,-0.044523288,-39.55449,-91.33826,0.80577564,0.018790864419937135,3493.389694213867,125000
15.77716,-15.580161,1609.2264,690.4669,1.9094057,-12.637699,0.68966264,1.0,5.1484747,0.5924741,-0.38613358,0.104577005,-33.57578,-91.67917,0.7216103,676.4296,2.0139773,-12.671818,0.69648653,1.0,8.290623,0.6071578,-0.5388747,0.08009193,-34.611423,-86.152115,0.8677951,0.02021168465614319,3594.448127269745,130000
13.071038,-17.438644,1433.323,772.2827,1.8638644,-12.730522,0.70822734,1.0,4.37348,0.7316462,-0.34302714,0.06882903,-34.24839,-86.45062,1.0896267,624.2536,1.5191367,-12.665443,0.6952116,1.0,4.2564697,0.70025843,-0.4492845,0.076556854,-33.562527,-84.373245,0.7191628,0.018572569465637206,3687.3109860420227,135000
32.62616,-18.807947,1946.7832,684.41516,1.9841518,-12.649424,0.6920077,1.0,7.3463364,0.6358541,-0.31823033,0.11424605,-34.445793,-90.797134,0.801693,702.70654,2.0837417,-12.91338,0.74479884,1.0,7.1293764,0.7938689,-0.4730454,0.1416343,-38.442924,-87.11027,0.818025,0.01865821261405945,3780.602059841156,140000
14.127811,-13.719851,1453.5885,675.4455,1.6379365,-12.936233,0.74936944,1.0,4.010765,0.69394183,-0.43621084,0.061106827,-38.819195,-87.63374,0.7238462,630.0387,1.8217151,-12.748291,0.7117812,1.0,11.336699,0.80178654,-0.56708497,0.061362475,-37.205544,-86.59627,0.6825954,0.019255559062957762,3876.879866361618,145000
11.993186,-14.315141,1654.4446,650.26,1.9003541,-12.616383,0.68539953,1.0,11.068137,0.56688464,-0.44185653,0.040060535,-36.569656,-87.595825,0.6953795,580.2595,1.3801982,-12.85201,0.73252493,1.0,4.751622,0.5298523,-0.30135596,0.004741084,-34.98345,-86.92854,0.94985336,0.01945732674598694,3974.1665115356445,150000
15.366685,-8.912587,1298.5618,648.1765,1.6369313,-12.558552,0.6738335,1.0,5.8993583,0.6236134,-0.38973844,-0.009900652,-41.311943,-86.485176,1.1802337,641.5456,1.7947552,-12.646857,0.69149446,1.0,9.90157,0.646384,-0.40487263,-0.016908478,-37.624043,-86.913086,0.9281867,0.018563826990127562,4066.9856581687927,155000
24.269413,-19.435852,1435.7412,704.9981,1.9136157,-12.613257,0.6847744,1.0,5.651288,0.45536244,-0.32884517,0.023062523,-35.70003,-87.57359,0.71621335,696.74817,2.0795698,-12.500443,0.6622118,1.0,6.75743,0.5767305,-0.44617197,0.011404499,-40.80837,-89.58774,0.8337234,0.018915173625946045,4161.561537265778,160000
18.801199,-28.71807,1517.1526,590.29614,1.4896212,-12.648261,0.69177526,1.0,4.8168373,0.5602316,-0.3762673,0.01612515,-36.46012,-87.28765,0.52657664,635.795,1.9315529,-12.548974,0.67191786,1.0,6.4349675,0.60710585,-0.40484065,0.023125578,-35.747696,-81.73912,0.78776157,0.018554711198806764,4254.335104942322,165000
15.166618,-16.140724,1217.9067,630.3008,1.6670235,-12.534881,0.66909903,1.0,2.9592988,0.44247082,-0.27656332,0.040666215,-34.210255,-86.23284,0.81454873,764.75354,2.360757,-12.617158,0.6855547,1.0,3.413652,0.6505207,-0.41591758,0.014111321,-37.278633,-86.31883,0.57389915,0.018654870891571047,4347.609470367432,170000
20.378302,-11.949997,1290.0615,676.51294,1.888572,-12.37028,0.63617915,1.0,5.261942,0.66263443,-0.4200974,0.05851928,-36.717503,-84.27128,0.95402783,647.61884,1.7051897,-12.496999,0.66152275,1.0,4.679597,0.53261673,-0.43773228,0.08974543,-36.996468,-88.91542,0.90621585,0.020144537830352784,4448.332172393799,175000
17.253601,-17.184025,1310.1942,625.5426,1.817821,-12.455704,0.6532638,1.0,3.3293688,0.7019597,-0.4173827,0.052230775,-39.72574,-85.307144,0.7967448,561.8697,1.5486724,-12.48476,0.65907496,1.0,7.5443726,0.6458498,-0.49557075,0.09107827,-36.19655,-83.250946,0.81919485,0.019692705392837524,4546.79571223259,180000
17.328247,-22.279297,1489.168,675.1013,1.9192009,-12.735867,0.70929635,1.0,7.0016255,0.6846318,-0.47062346,-0.03367918,-34.633602,-83.199554,0.76387906,636.9602,1.8450522,-12.513072,0.66473734,1.0,5.5532856,0.6623893,-0.5373827,-0.04210584,-33.92606,-82.693665,0.75382197,0.019061964797973632,4642.105547428131,185000
25.10744,-21.803658,1532.4064,635.8823,1.7426791,-12.432511,0.64862525,1.0,6.7313023,0.6680326,-0.5283059,0.091861926,-36.173637,-82.66594,0.6504371,679.0975,1.9050051,-12.46654,0.65543103,1.0,4.7216473,0.620592,-0.4584487,0.09705272,-37.219078,-88.42255,0.74786127,0.01975244536399841,4740.867786169052,190000
15.000658,-14.768736,1266.2427,622.3047,1.4122262,-12.693502,0.7008235,1.0,5.1255417,0.68376833,-0.46916288,0.019078009,-37.11061,-92.46491,0.77573967,652.76807,1.6081299,-12.380694,0.6382619,1.0,5.0327787,0.6437078,-0.44200528,0.036591224,-35.392975,-84.58211,0.73431844,0.020370929384231566,4842.722444057465,195000
19.047222,-16.696732,1333.6704,654.91565,1.6976771,-12.206943,0.60351145,1.0,7.646573,0.766537,-0.40554127,0.082391955,-35.760933,-86.999115,0.80044234,727.0166,1.8862308,-12.046381,0.57139915,1.0,8.987501,0.6718303,-0.3925709,0.09852693,-33.633347,-84.7528,0.6679406,0.019258406496047972,4939.014488458633,200000
13.762671,-15.341949,1102.4807,593.32544,1.4234908,-12.372728,0.6366687,1.0,7.4388847,0.8613081,-0.34067518,0.05090201,-38.057964,-94.118164,0.7897264,658.6041,1.6502415,-12.2787075,0.61786443,1.0,8.941037,0.6660469,-0.42034447,0.05803583,-34.700783,-85.5789,0.9817518,0.1286239151954651,5582.134075164795,205000
22.785545,-17.795769,1342.0562,620.68744,1.6231111,-12.19109,0.600341,1.0,4.0648985,0.6402931,-0.46486858,0.0051717907,-35.289635,-84.37477,0.7970933,633.6015,1.7826886,-12.466282,0.6553794,1.0,6.2089176,0.70647883,-0.2665364,0.010872237,-37.387917,-87.56492,0.9200255,0.01853851943016052,5674.826683044434,210000
19.844364,-15.290581,1256.8887,675.52747,2.1541862,-12.059334,0.5739898,1.0,5.2671733,0.6001514,-0.32718015,-0.0025302768,-35.428116,-91.836075,0.8608569,716.24915,2.2444122,-12.092051,0.5805332,1.0,4.661457,0.56759536,-0.4516043,0.030409247,-35.963833,-89.569885,0.7979522,0.020205235958099366,5775.852876186371,215000
12.364915,-24.536495,1329.0842,634.30334,2.0266867,-12.229333,0.60798967,1.0,7.1266737,0.627195,-0.5074824,0.14187844,-38.17632,-88.068146,1.0884411,625.8458,1.8061786,-12.018682,0.5658593,1.0,10.788826,0.5668416,-0.45861465,0.12513597,-37.885284,-92.61869,0.7651745,0.019456006479263304,5873.132926940918,220000
12.168685,-21.696878,1274.9763,619.9561,1.5995939,-12.238757,0.6098744,1.0,11.427367,0.70414996,-0.48017737,0.06585584,-35.50837,-86.041046,1.0710585,730.13617,2.1868758,-12.103816,0.5828863,1.0,7.03459,0.62352026,-0.4504054,0.058069035,-30.780508,-89.71916,1.1075159,0.018663872480392456,5966.452301502228,225000
25.110859,-12.782575,1497.0149,601.9125,1.6510162,-12.0398445,0.5700919,1.0,10.805622,0.6102952,-0.4328389,0.07182345,-39.442642,-90.46199,0.6845907,640.3878,1.8080995,-12.534388,0.6690005,1.0,6.9352293,0.6449939,-0.47328785,0.08431668,-37.738777,-87.18792,0.87041163,0.019463725900650024,6063.770943164825,230000
33.095993,-21.447721,1581.2041,607.43445,1.5594165,-12.148975,0.5919181,1.0,5.8281426,0.7859939,-0.24748148,0.0099396035,-34.614708,-89.49552,0.7430818,656.3014,1.8041832,-12.30271,0.62266487,1.0,5.50619,0.6184726,-0.4912703,-0.0024600625,-36.680874,-85.90883,0.69348276,0.019865175104141236,6163.096831083298,235000
26.923698,-18.87497,1180.1184,613.6463,1.514566,-12.107494,0.58362186,1.0,4.717098,0.6418532,-0.23885572,0.030268379,-38.37795,-89.78378,0.7874931,586.44403,1.665249,-12.1573925,0.5936014,1.0,5.7810793,0.5551709,-0.31746396,0.033697255,-41.287025,-85.16006,0.97419816,0.019243284463882446,6259.31326508522,240000
14.23594,-19.697075,1719.3097,651.95233,1.9867339,-12.200431,0.6022091,1.0,10.479,0.5599464,-0.49312004,0.05263807,-33.828842,-90.60173,0.79152966,647.0615,1.9208184,-12.249065,0.6119362,1.0,5.376655,0.5703453,-0.3424563,0.06279408,-35.586796,-89.33461,0.6955737,0.018646444702148438,6352.545499801636,245000
28.364288,-21.332825,1549.966,647.5638,1.9384478,-12.239492,0.6100214,1.0,6.504417,0.6091103,-0.3829304,-0.097385034,-34.87313,-84.34929,0.7912424,615.54224,1.75086,-12.268504,0.6158237,1.0,6.3693852,0.6255137,-0.41310722,-0.10483945,-40.591732,-89.033936,0.8093309,0.018661076974868775,6445.850896835327,250000
