training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
98.73088,0.5356752,-1.8631232,888.26117,-327.22797,10742.707,242.43192,896.85925,298.5055,2.7368226,9.762422,13.7037735,3.2535186,0.05765423,6.2609463,-60.80895,242.74498,303.55392,90.720184,1.0536441,-1.8511466,234.79012,915.9433,308.33868,2.289035,16.561766,42.619225,3.1494412,0.016372014,6.2627335,-103.40879,235.10324,338.51202,0.09536728191375732,476.83642578125,5000
65.18787,0.60232234,-1.7926413,1214.5482,-502.4425,12184.094,306.4214,872.2649,210.65509,0.8663546,1.8980622,8.033478,1.7797868,0.04481573,24.460573,-45.204662,307.6444,352.84906,74.30095,0.78007275,-1.8907173,314.7535,857.97797,205.6377,3.6356673,3.3709722,12.974741,1.9453329,0.058989536,24.466486,-81.25252,315.97687,397.22937,0.012030357313156128,536.9882216453552,10000
44.7758,0.2288728,-1.8579528,717.7456,-451.5052,9763.98,376.18933,594.2104,129.96143,0.9159048,0.62224424,6.5722294,1.2274222,0.04982345,79.205826,-45.325077,380.14963,425.4747,39.662674,0.24856043,-1.8994511,373.25983,550.4806,132.12007,8.528057,0.66064346,9.838138,1.1759977,0.047259364,79.22142,-48.37604,377.2209,425.59692,0.012033760499954223,597.1570341587067,15000
20.400658,0.11539589,-1.9176502,428.89862,-218.19632,4670.737,428.6182,337.07153,73.190735,2.0557246,0.04478274,2.6570086,0.85462004,0.037540272,192.21483,1.002835,438.22894,437.2261,24.24068,0.28406534,-1.863709,421.0539,410.9319,81.18088,1.4945889,0.08601728,3.4393678,0.86953074,0.02965331,192.23279,-6.9237022,430.66553,437.58923,0.012031135368347169,657.3127207756042,20000
17.324736,0.1375905,-1.8302615,574.7872,-321.86328,4861.7515,423.57584,370.67853,78.37725,0.96660113,0.052571356,2.911147,0.83752865,0.037672568,274.27115,-0.70524865,437.28937,437.99463,14.536273,0.16138029,-1.8969557,429.0572,352.8819,72.79834,5.3327503,0.035844404,2.6367748,0.8320862,0.013303753,274.27924,3.8825862,442.77118,438.88858,0.012023078298568725,717.428121805191,25000
19.698622,0.2560469,-1.766386,164.35515,-350.23132,3808.526,429.85706,363.1588,71.85268,1.4796757,0.04090874,3.1319404,0.8365644,0.04836428,280.79712,2.5528002,443.8969,441.34412,17.634165,0.15722598,-1.8537352,427.7381,343.9335,73.97273,1.6240752,0.045859728,3.2343729,0.82856333,0.031192321,280.79507,1.1625682,441.77786,440.6153,0.012026363182067871,777.5599472522736,30000
16.703482,0.34194648,-1.8199227,37.78189,-60.439255,1837.3718,430.4124,334.2577,71.30706,1.294424,0.033397183,2.6098893,0.8024736,0.046975598,287.96033,4.780953,444.81042,440.02948,17.298588,0.26195416,-1.7230763,422.82916,375.83,79.17325,4.2257295,0.10026113,4.9860873,0.8333397,0.03800795,287.98492,-14.474447,437.2284,451.70285,0.012038307666778564,837.7514960765839,35000
17.76641,0.32113114,-1.7010386,218.65579,-316.79178,3508.2449,423.38013,338.3473,78.51456,1.3008224,0.02951087,2.8391876,0.82293904,0.020902056,289.18594,5.9251685,437.83942,431.91425,21.034733,0.21780905,-1.664964,430.90433,327.57925,70.78861,1.0521296,0.038053688,2.7326531,0.81695634,0.038219187,289.1745,3.454569,445.36304,441.90848,0.012032083225250245,897.9119215011597,40000
16.600218,0.19843322,-1.8198128,212.9142,-162.21426,2839.443,433.81583,237.5951,67.6709,1.450619,0.016217388,1.9534055,0.799562,0.039407566,296.9032,10.030166,448.66098,438.63083,14.700996,0.14555033,-1.7781842,435.16565,291.68607,66.37315,0.46879736,0.015183253,1.664341,0.79465127,0.032578677,296.9032,10.337204,450.0108,439.6736,0.012025542211532592,958.039642572403,45000
20.82523,0.26354516,-1.780903,194.3964,-277.42502,4791.748,426.14456,295.9675,75.60231,1.383117,0.13339944,4.5286784,0.895059,0.014254354,298.3536,-24.882524,441.06223,465.94476,22.1079,0.30501992,-1.7414374,422.91266,400.48538,79.04134,0.57852024,0.08418077,4.61436,0.9082772,0.052077,298.35648,-10.198054,437.83047,448.02853,0.012029817295074463,1018.1887381076813,50000
