training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
14.914008,-4.638028,13.914085,0.01733425,7.145378,0.99992275,-7.144827,1.0,0.99902344,0.18457031,0.0068646763,-7.583147,-7.5846906,-6.004145,2.0109944,0.015167886,4.164336e-05,0.12100045,-0.067234494,1.0655757,14.944929,-4.6483097,13.944929,0.021446923,7.1913385,0.9999998,-7.1913385,1.0,0.99902344,0.140625,0.0070166606,-7.5863743,-7.5877542,-6.1749625,1.768834,0.011063017,2.602632e-05,0.16483841300010682,824.1921002864838,5000
14.9123,-4.63761,13.91283,0.017166931,7.0992002,0.9994697,-7.0954366,1.0,0.9990244,0.22363281,0.0062883655,-7.998291,-8.000804,-5.428096,5.4856997,0.060859323,1.3632155e-05,0.036418628,-0.123965174,0.9863854,14.922453,-4.6408176,13.922453,0.018449975,7.286184,0.9999999,-7.286184,1.0,0.99902344,0.17773438,0.0065570283,-8.003698,-8.005992,-5.657091,1.6650822,0.050266504,9.160981e-06,0.0029732364654541017,839.0582916736603,10000
14.914078,-4.638259,13.914775,0.017426291,6.740691,0.99930245,-6.7359896,1.0,0.9990206,0.2548828,0.0055175433,-8.73237,-8.736457,-4.5512466,6.1721106,0.15493205,1.1644747e-06,0.054990724,-0.08493732,0.89423555,14.908472,-4.636273,13.908819,0.016632188,7.165532,0.999653,-7.1630464,1.0,0.9990034,0.21875,0.005999947,-8.703861,-8.707502,-4.977799,3.3874865,0.122686,2.893256e-06,0.0029757101058959963,853.9368507862091,15000
14.899173,-4.633238,13.899715,0.0154182045,6.992201,0.9994573,-6.9884076,1.0,0.9990349,0.31152344,0.00510708,-8.882181,-8.8868,-4.157365,6.0158234,0.18865332,2.5497416e-06,0.0634776,-0.07605007,0.7241343,14.894778,-4.6315956,13.894787,0.014761117,7.312254,0.9999918,-7.312195,1.0,0.99900436,0.22265625,0.0060728127,-8.891222,-8.89493,-5.097481,4.0867925,0.13573308,5.598059e-07,0.0029737161636352537,868.8054406642914,20000
14.913416,-4.6381917,13.914576,0.0173996,6.707115,0.9988399,-6.6993356,1.0,0.9990349,0.31347656,0.0050132116,-9.042907,-9.04784,-3.9960687,16.568855,0.2419312,1.3941923e-06,0.070531055,-0.10685626,1.1624967,14.913098,-4.6378765,13.9136305,0.017273692,7.5475674,0.99946815,-7.5435543,1.0,0.9989786,0.20117188,0.006160884,-9.07077,-9.074644,-5.1070905,7.248974,0.17908639,5.304672e-07,0.0030093427658081057,883.8521647453308,25000
14.923718,-4.641786,13.92536,0.018837495,6.6845927,0.99835837,-6.6736197,1.0,0.9990463,0.31835938,0.0049153347,-9.229874,-9.235062,-3.9235706,26.086187,0.25167507,3.464199e-07,0.09051621,-0.044940576,0.8861455,14.918687,-4.6403465,13.92104,0.018261546,7.5212855,0.9976477,-7.503594,1.0,0.9989872,0.21777344,0.0059313825,-9.18858,-9.192883,-4.786942,17.50726,0.21747881,6.179597e-07,0.0029769840240478516,898.7371017932892,30000
14.893276,-4.631935,13.895805,0.014896943,7.0011606,0.99747086,-6.9834547,1.0,0.9990473,0.34570312,0.0046751974,-9.529785,-9.535519,-3.6646085,37.451138,0.32437816,1.264117e-06,0.05426513,-0.052589633,0.72834194,14.896746,-4.6328115,13.898436,0.015247635,7.8083324,0.9983101,-7.7951384,1.0,0.99901295,0.22265625,0.0059978943,-9.514295,-9.518677,-5.031225,9.242674,0.22109622,3.7280623e-07,0.0029742366790771486,913.608314037323,35000
14.902751,-4.636039,13.908115,0.01653839,6.7543015,0.99463546,-6.7180686,1.0,0.9990635,0.33496094,0.0046656616,-9.567848,-9.573653,-3.6288805,51.872295,0.38638014,1.1769541e-07,0.04528057,-0.13947041,0.99794537,14.896505,-4.632792,13.898375,0.015239707,7.796125,0.99813104,-7.781555,1.0,0.99897957,0.20800781,0.006046661,-9.489967,-9.494432,-4.921871,95.93511,0.3116939,5.3749056e-07,0.002974640130996704,928.4815225601196,40000
14.888173,-4.6309767,13.892929,0.014513465,6.6972404,0.9952443,-6.6653914,1.0,0.9990692,0.35351562,0.0045197234,-9.792324,-9.798464,-3.5119867,33.270515,0.42153296,1.11101556e-07,0.07961549,-0.08427349,0.81642175,14.901738,-4.6346645,13.903994,0.015988732,7.951825,0.9977446,-7.933892,1.0,0.9989853,0.21875,0.0061756033,-9.739324,-9.743888,-5.069826,12.225458,0.2630844,3.3800596e-08,0.0030043283939361573,943.5031731128693,45000
14.887613,-4.630483,13.891449,0.014316142,7.0157986,0.99616414,-6.988888,1.0,0.999073,0.37109375,0.004373675,-9.913535,-9.919973,-3.3277354,29.952967,0.3776171,5.2911947e-08,0.031253174,-0.07408312,0.7980449,14.886589,-4.6300416,13.890124,0.014139548,7.8911924,0.9964646,-7.863295,1.0,0.99899006,0.22265625,0.006063167,-9.871221,-9.87599,-4.9911423,79.829285,0.3314492,3.866289e-07,0.00297454400062561,958.3759024143219,50000
14.896498,-4.6333213,13.899963,0.015451448,6.68228,0.9965347,-6.659125,1.0,0.9990711,0.38867188,0.004248888,-10.059671,-10.066374,-3.2035189,25.97194,0.39632684,1.4883855e-07,0.09869285,-0.056332592,0.85381466,14.897405,-4.633267,13.899801,0.0154297175,8.084444,0.99760383,-8.065073,1.0,0.9989748,0.19140625,0.0063675996,-9.98319,-9.98783,-5.2363176,344.87192,0.46245116,7.284022e-08,0.0029753483295440674,973.2526581287384,55000
14.901607,-4.636141,13.908423,0.01657941,6.477631,0.99318343,-6.433477,1.0,0.9990721,0.3876953,0.004291851,-10.144365,-10.15107,-3.2856836,13.937287,0.41075927,3.4008588e-07,0.10415957,-0.04864186,0.81345356,14.900538,-4.634389,13.903168,0.015878607,8.168779,0.9973707,-8.147303,1.0,0.99897194,0.203125,0.0063592438,-10.077126,-10.081863,-5.230418,23.779644,0.3088611,6.35142e-08,0.0030043848514556886,988.2745914459229,60000
14.892953,-4.632551,13.897654,0.015143502,6.550189,0.995299,-6.5193973,1.0,0.9990883,0.4111328,0.004097633,-10.166064,-10.173084,-2.9840806,32.8,0.49330646,2.7803202e-07,0.063387014,-0.06227532,0.7101118,14.895544,-4.632534,13.897602,0.01513653,8.429143,0.9979418,-8.411795,1.0,0.9989767,0.16210938,0.0065471116,-10.144339,-10.148853,-5.5258713,30.00528,0.23313923,4.9949566e-08,0.002974523162841797,1003.1472198963165,65000
14.898857,-4.6349454,13.904837,0.016101066,6.677908,0.9940202,-6.6379766,1.0,0.9990921,0.421875,0.004041751,-10.311882,-10.319071,-2.9579191,112.57514,0.5760145,3.8053898e-07,0.054822337,-0.04800653,0.75634253,14.894611,-4.6319313,13.895794,0.014895469,8.29997,0.9988179,-8.290159,1.0,0.9990015,0.20410156,0.0063953665,-10.218107,-10.222913,-5.302158,24.691782,0.2827153,1.4919952e-07,0.0029752904891967775,1018.023681640625,70000
14.885483,-4.6303053,13.890917,0.014245132,6.600555,0.9945658,-6.564687,1.0,0.99907017,0.4091797,0.003937352,-10.44703,-10.45446,-2.8444967,20.078356,0.4922459,6.2506393e-07,0.04207855,-0.059830986,0.79778534,14.887445,-4.6299105,13.88973,0.014087066,8.355577,0.9977155,-8.33649,1.0,0.9989786,0.203125,0.006349064,-10.378907,-10.383847,-5.3250923,36.79484,0.30110583,7.4172526e-08,0.0030110102653503417,1033.0787403583527,75000
14.866692,-4.6238966,13.871691,0.011681628,6.47848,0.99500054,-6.4460917,1.0,0.99907017,0.40722656,0.004066077,-10.464417,-10.471715,-2.998807,21.577291,0.47619945,1.5546969e-07,0.06717278,-0.053644568,0.6617419,14.889924,-4.6307707,13.892314,0.014431474,8.449044,0.99761003,-8.428852,1.0,0.99897385,0.21875,0.0064448053,-10.258886,-10.263662,-5.3718376,324.36407,0.5655551,8.5519716e-08,0.002975420141220093,1047.9558544158936,80000
14.880773,-4.6288767,13.88663,0.013673633,6.3660927,0.99414253,-6.3288045,1.0,0.9990711,0.41796875,0.0041109696,-10.512807,-10.520068,-3.0850828,19.092493,0.4749485,8.4470315e-07,0.032710455,-0.049093008,0.5599228,14.902027,-4.635199,13.905598,0.01620256,8.485038,0.99642986,-8.454746,1.0,0.99895763,0.19824219,0.0065594264,-10.385578,-10.390392,-5.461492,30.221788,0.3145513,3.3139692e-08,0.0030105011463165284,1063.008373260498,85000
14.877145,-4.627762,13.8832855,0.01322767,6.6539307,0.9938597,-6.6130743,1.0,0.99910355,0.45214844,0.003798877,-10.6192,-10.626888,-2.75278,25.537607,0.5879539,1.331057e-06,0.053646594,-0.04715405,0.7210678,14.882142,-4.6278834,13.883651,0.013276393,8.801199,0.99849164,-8.787925,1.0,0.9989834,0.19238281,0.0066073113,-10.512606,-10.517408,-5.601645,35.138176,0.29998234,9.884738e-09,0.002975979232788086,1077.8882780075073,90000
14.878563,-4.6284223,13.885267,0.013491854,6.695905,0.9932959,-6.651016,1.0,0.9990835,0.42285156,0.0040191966,-10.595236,-10.602759,-2.8981285,46.134834,0.6434041,3.7289958e-08,0.056772552,-0.0451471,0.7070988,14.903682,-4.6354284,13.906284,0.016294194,8.609595,0.997397,-8.587186,1.0,0.99896526,0.19628906,0.0065232287,-10.502941,-10.5079365,-5.392993,632.5462,0.67016935,4.3224944e-08,0.0029750054359436034,1092.7633185386658,95000
14.876916,-4.6274137,13.88224,0.013088447,6.333232,0.99467576,-6.2995133,1.0,0.99909496,0.41796875,0.0039008802,-10.665196,-10.672862,-2.823539,20.871895,0.54904234,2.7593716e-08,0.07358362,-0.026002876,0.7374951,14.903952,-4.635258,13.905775,0.016226279,8.745305,0.99817646,-8.729359,1.0,0.9989662,0.1875,0.0066847927,-10.617209,-10.622056,-5.6592445,48.67583,0.25401494,2.6990095e-09,0.002974511194229126,1107.635883808136,100000
14.88224,-4.6294985,13.888495,0.013922368,6.6075687,0.9937448,-6.566238,1.0,0.99908733,0.4296875,0.0038976285,-10.717203,-10.724915,-2.828382,59.15641,0.5916344,1.7818995e-07,0.04495973,-0.042887904,0.6686447,14.888496,-4.630841,13.892523,0.014459248,8.88961,0.99597394,-8.853821,1.0,0.99898624,0.20898438,0.0065839496,-10.639756,-10.644826,-5.4532323,89.28156,0.4143045,1.9439357e-08,0.1538954571723938,1877.1131782531738,105000
14.879175,-4.6286473,13.885942,0.013581916,6.4027243,0.9932325,-6.3593946,1.0,0.9990988,0.42871094,0.003879115,-10.868059,-10.8759775,-2.7673037,65.02035,0.72811615,2.2233111e-08,0.04566951,-0.054004982,0.8152189,14.916628,-4.639814,13.919441,0.01804856,8.7362175,0.99718666,-8.71164,1.0,0.99897957,0.18457031,0.0067609856,-10.749128,-10.754007,-5.7570753,40.74523,0.3082928,2.9807197e-08,0.00297759051322937,1892.0011405944824,110000
14.88076,-4.628804,13.886414,0.013644758,6.5432625,0.99434674,-6.5062723,1.0,0.99911594,0.45117188,0.0038591132,-10.87367,-10.881618,-2.7437954,50.292416,0.6074489,1.5489076e-07,0.036677495,-0.09600724,0.8080562,14.897302,-4.6331515,13.899454,0.015383585,9.015377,0.9978473,-8.995971,1.0,0.9989729,0.18359375,0.0067410646,-10.760285,-10.765261,-5.670288,31.39169,0.33916587,5.2263992e-08,0.0029780770778656007,1906.8915338516235,115000
14.879492,-4.6288977,13.886692,0.013681945,6.5711117,0.9927999,-6.5237994,1.0,0.99909973,0.4453125,0.0037717468,-10.847026,-10.855062,-2.626935,47.921944,0.63268536,4.5801013e-07,0.0364752,-0.049222197,0.73793715,14.906337,-4.6363473,13.909042,0.01666193,8.799982,0.9972945,-8.776175,1.0,0.9989643,0.19238281,0.006720159,-10.760368,-10.765342,-5.6719704,28.171072,0.29336753,2.6585456e-08,0.002977048969268799,1921.7767860889435,120000
14.885911,-4.631616,13.894849,0.014769479,6.425106,0.9910623,-6.3676815,1.0,0.999094,0.4638672,0.003819549,-10.89636,-10.904384,-2.6876507,64.82389,0.8047187,3.8543243e-07,0.07028791,-0.04799902,0.84191424,14.902667,-4.6355658,13.906698,0.016349325,8.864746,0.99596864,-8.82901,1.0,0.99897194,0.20410156,0.0067568114,-10.778572,-10.783552,-5.6845703,54.869896,0.36649868,4.4569477e-09,0.002980788516998291,1936.680742263794,125000
14.87683,-4.6278276,13.883483,0.013254004,6.574244,0.9933474,-6.530509,1.0,0.99909496,0.45898438,0.0037692697,-10.919295,-10.927361,-2.6693168,36.10349,0.6351886,2.4717586e-08,0.08900195,-0.052373882,0.7457157,14.906496,-4.636085,13.908255,0.016556988,8.934899,0.99824184,-8.919191,1.0,0.9989824,0.20996094,0.006648879,-10.81721,-10.822268,-5.6428,73.53286,0.3415404,3.7098677e-09,0.0029773050785064695,1951.5672762393951,130000
14.868302,-4.6260176,13.878052,0.012529889,6.6219664,0.99025095,-6.5574093,1.0,0.99909973,0.41992188,0.0038633589,-10.928501,-10.936529,-2.7153745,108.16931,0.736083,3.9156838e-08,0.06108144,-0.051444914,0.66304946,14.909328,-4.637117,13.91135,0.016969664,8.900932,0.99797815,-8.8829365,1.0,0.9989538,0.17480469,0.0068071447,-10.833816,-10.838767,-5.7687345,52.782433,0.26974836,8.950102e-09,0.002975890111923218,1966.4467358589172,135000
