training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
118.784454,0.08829968,-4.6468706,0.020871064,1.0,0.57226455,-1.4980218,20.10441,0.5152859,-14.285775,-24.558994,0.2104583,122.55385,0.081381485,-4.6566744,0.024792753,1.0,0.6434759,-14.426903,-24.535112,0.18363096,0.16724189438819886,836.2094943523407,5000
189.75066,0.15780216,-4.6419077,0.018885966,1.0,1.4961625,-0.42904934,26.382832,0.75251067,-18.133425,-40.073288,0.35062176,179.50237,0.06707634,-4.646778,0.02083415,1.0,0.88137156,-19.590014,-39.012836,0.355627,0.0024833561897277833,848.6263046264648,10000
205.4174,0.16866401,-4.640522,0.01833189,1.0,0.8405026,-0.7312671,17.702213,0.47945306,-21.19228,-45.45984,0.39814943,196.03748,0.12730792,-4.639324,0.01785255,1.0,0.44398725,-21.162,-42.067154,0.3972902,0.0025274547576904297,861.2635979652405,15000
194.388,0.15598279,-4.6377754,0.017233273,1.0,0.90483356,-0.7021017,20.601967,0.62903637,-21.263462,-50.399166,0.36358514,195.85187,0.19533381,-4.634013,0.01572834,1.0,0.70350873,-22.102543,-50.315918,0.35104764,0.0025573486328125,874.0503759384155,20000
216.78683,0.16265526,-4.643086,0.019357374,1.0,0.8921752,-0.88929427,22.612757,0.69074357,-22.894222,-49.03057,0.39309812,204.80112,0.1619993,-4.642496,0.019121572,1.0,0.44669366,-23.490793,-53.90919,0.30280375,0.0025363261222839354,886.7320382595062,25000
206.1146,0.16423483,-4.6440935,0.019760454,1.0,1.1777158,-0.59386456,18.184708,0.45239872,-24.712528,-56.768692,0.36789542,202.49806,0.13587144,-4.6427794,0.019234588,1.0,0.592967,-23.596054,-52.81507,0.2998698,0.002548129653930664,899.4727156162262,30000
192.91708,0.094922476,-4.6370683,0.016950263,1.0,1.090255,-0.66126424,20.631756,0.4754462,-24.590315,-60.076607,0.4526678,196.33998,0.09434827,-4.6349,0.01608287,1.0,0.45516568,-24.3187,-59.145172,0.3896982,0.002494440460205078,911.9449467658997,35000
208.01994,0.14583278,-4.6385937,0.01756045,1.0,0.40578622,-0.8100107,16.669682,0.76371026,-26.228483,-63.002296,0.33079094,198.27422,0.12898362,-4.6380253,0.017332982,1.0,0.503152,-25.49564,-56.06366,0.3888405,0.0025062053203582764,924.4760072231293,40000
197.34715,0.16107276,-4.633837,0.015657917,1.0,1.0044612,-0.9797563,20.910189,0.68823093,-26.851288,-64.46505,0.35870305,201.4504,0.1062968,-4.6383142,0.017448615,1.0,0.6863066,-26.794731,-65.22122,0.3812098,0.0025625301837921143,937.2886862754822,45000
188.58437,0.1179962,-4.635653,0.016384277,1.0,0.7128649,-0.73814976,18.100306,0.47408676,-26.873001,-67.26431,0.2644378,186.79712,0.1295568,-4.633291,0.015439242,1.0,0.6113038,-26.749249,-65.86908,0.3129143,0.002502461385726929,949.8010201454163,50000
199.84827,0.18997529,-4.6330414,0.015339628,1.0,1.1471963,-0.4930867,19.747553,0.5657956,-26.737919,-67.14235,0.35175288,198.7791,0.17799935,-4.635684,0.016396632,1.0,0.5075412,-27.493446,-63.320038,0.3337692,0.0024812637329101562,962.2073760032654,55000
207.53085,0.19600524,-4.638009,0.017326599,1.0,0.9431349,-0.52066207,18.15596,0.43021077,-27.80827,-72.957214,0.34864515,194.73692,0.1341784,-4.636554,0.01674448,1.0,0.48907423,-29.17515,-66.30716,0.2915989,0.0025012551307678223,974.7136809825897,60000
198.46114,0.17725652,-4.6360946,0.016560668,1.0,0.76560366,-0.59630144,20.146263,0.42791378,-28.492912,-69.84944,0.4200765,189.92642,0.15460558,-4.6337986,0.015642276,1.0,0.55626905,-28.63326,-69.74759,0.38186508,0.00249632043838501,987.1953115463257,65000
201.17616,0.1297385,-4.634547,0.015941901,1.0,0.55423135,-1.0371963,17.833208,0.56306505,-27.132984,-73.30763,0.26812363,194.49542,0.15454055,-4.6344485,0.015902417,1.0,0.6017035,-29.067865,-66.77993,0.33122677,0.0024369640350341798,999.3801741600037,70000
191.98618,0.14422642,-4.63158,0.014754891,1.0,0.69570225,-0.9214344,18.133484,0.5989556,-28.21674,-73.124664,0.3705274,198.2706,0.18205471,-4.6326303,0.015174954,1.0,0.6308068,-29.48161,-75.480385,0.35118496,0.002446868896484375,1011.6145510673523,75000
202.81664,0.17337766,-4.6279116,0.01328767,1.0,0.8712706,-0.57450384,18.498306,0.35802847,-28.927391,-70.404205,0.27162308,199.64066,0.1947158,-4.63424,0.015818894,1.0,0.48501664,-29.11702,-69.014084,0.28191042,0.0024601912498474123,1023.9155399799347,80000
197.33876,0.16413105,-4.6328063,0.0152454255,1.0,0.6577234,-0.7638156,18.087152,0.533042,-29.869383,-74.3772,0.36937124,205.09145,0.18506418,-4.6364107,0.01668731,1.0,0.4290253,-30.037262,-71.334335,0.28943294,0.0024462529182434083,1036.1468331813812,85000
205.27953,0.13792303,-4.631139,0.014578481,1.0,0.7820357,-0.7752998,17.134113,0.5179381,-28.711712,-70.08338,0.27377686,199.45476,0.19211176,-4.629303,0.013844351,1.0,0.56459033,-28.702528,-78.31999,0.37991711,0.0026159352779388427,1049.2265350818634,90000
196.72513,0.16137557,-4.6292596,0.013826794,1.0,0.4703552,-0.58630615,15.865744,0.36975363,-29.504156,-74.35907,0.2867142,206.74637,0.2004025,-4.6328225,0.015252021,1.0,0.4063471,-29.463293,-74.52096,0.2873518,0.002562078332901001,1062.0369608402252,95000
199.01234,0.19145991,-4.63175,0.014822969,1.0,0.80390817,-0.452376,15.766563,0.47297928,-29.84436,-77.23085,0.31439072,196.37558,0.15078187,-4.634594,0.015960539,1.0,0.5170549,-28.405464,-78.65517,0.3574574,0.0024964372158050537,1074.5191922187805,100000
200.69788,0.19227965,-4.634619,0.015970662,1.0,0.94128966,-0.8502688,19.30661,0.71921265,-29.41701,-71.8938,0.29729104,194.66125,0.14707914,-4.632052,0.014943639,1.0,0.711469,-29.07905,-74.45437,0.30184245,0.15496824154853822,1849.3604853153229,105000
200.59108,0.16741396,-4.6315527,0.014743969,1.0,0.54693955,-0.51319665,16.430782,0.82481384,-28.704227,-72.57165,0.2833994,198.99161,0.16428266,-4.639779,0.018034628,1.0,0.5871157,-30.560715,-77.12616,0.30223542,0.0026572974681854248,1862.6470074653625,110000
200.88098,0.17920095,-4.6326513,0.015183455,1.0,0.44565374,-0.63420624,15.349161,0.79589975,-29.518885,-76.04938,0.2948987,193.90466,0.1185548,-4.634945,0.016100982,1.0,0.7265513,-28.69677,-75.33104,0.31054652,0.0025358979225158693,1875.3265256881714,115000
196.32455,0.15952182,-4.6347637,0.016028373,1.0,0.51922894,-0.7252979,17.08443,0.5349315,-29.687202,-76.37706,0.25986,186.00372,0.15877935,-4.6369944,0.016920788,1.0,0.5569247,-29.182533,-71.30319,0.34001708,0.002564686918258667,1888.1499915122986,120000
203.41022,0.145493,-4.635708,0.016406119,1.0,0.7335779,-0.80307513,16.38989,0.4771939,-29.710823,-72.47348,0.32129216,201.09172,0.2034633,-4.634204,0.015804498,1.0,0.6078274,-31.25019,-77.95894,0.27428612,0.0025031461715698242,1900.6657545566559,125000
