training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
2.4179187,-3.6399164,100.103355,280.1604,1.0216575,-10.198364,0.20179573,1.0,97.64565,0.6662785,-4.6453214,0.020251552,1.0,0.103308104,-16.334148,-25.141188,0.26329646,254.98409,0.82214475,-10.203325,0.20278804,1.0,98.19761,0.7283022,-4.6402473,0.018221805,1.0,0.07819796,-16.767506,-25.068386,0.3437341,0.20929104852676392,1046.455322265625,5000
8.818788,-4.9212947,175.38339,465.2882,1.2845957,-10.015894,0.16530192,1.0,113.83556,0.75036097,-4.634344,0.015860707,1.0,0.27568206,-24.348213,-42.774628,0.76463974,442.8132,1.1349378,-9.950836,0.15229006,1.0,102.85316,0.72357804,-4.6331244,0.015372786,1.0,0.33599818,-24.86287,-42.781254,0.9637046,0.003725324773788452,1065.081955909729,10000
4.358761,-5.1782217,215.76164,592.872,1.7475585,-10.003206,0.16276418,1.0,114.051834,0.73798394,-4.6357317,0.01641554,1.0,0.3285002,-30.128265,-54.79825,1.4593425,582.79724,1.5723212,-9.972059,0.15653488,1.0,104.757126,0.7365439,-4.631091,0.01455933,1.0,0.18700585,-28.787876,-54.96177,1.4735975,0.0036785464763641356,1083.4747033119202,15000
22.95168,-39.670822,730.8805,652.72534,1.7852981,-10.535355,0.26919377,1.0,108.730545,0.73761517,-4.646126,0.02057319,1.0,0.61715174,-33.07544,-61.1632,3.0720437,655.49243,1.7943606,-10.654888,0.29310045,1.0,114.06041,0.81781477,-4.6419106,0.01888725,1.0,0.7550851,-33.839012,-61.766304,1.72402,0.003880370855331421,1102.8765668869019,20000
7.706252,-4.9924054,153.74666,612.8545,2.1251006,-9.893738,0.14087065,1.0,120.53978,0.7079979,-4.6328754,0.015273212,1.0,0.45680773,-35.302925,-67.83354,1.6660502,587.88257,1.3916256,-9.942514,0.15062578,1.0,121.57724,0.7316003,-4.6328707,0.015271393,1.0,0.51861644,-36.0859,-67.63589,1.5493072,0.0035474098205566405,1120.6136252880096,25000
3.1948583,-4.906932,158.2802,606.4491,2.0318842,-9.710846,0.10429211,1.0,138.93521,0.9091419,-4.6373158,0.017049342,1.0,0.3557927,-37.000637,-73.24953,1.4801948,597.4223,2.0001464,-9.74461,0.11104485,1.0,119.77814,0.80617577,-4.6320577,0.01494605,1.0,0.22286694,-36.35769,-72.98352,1.3599048,0.0035379587650299074,1138.3034291267395,30000
5.475662,-4.4984703,218.96495,611.0892,1.7904223,-9.942471,0.15061712,1.0,113.20328,0.8009521,-4.6382046,0.017404778,1.0,0.29073864,-37.090454,-76.72868,1.5287178,654.54254,1.9551892,-9.983759,0.15887487,1.0,118.989334,0.8305587,-4.6358385,0.016458271,1.0,0.35737252,-36.54922,-76.15669,1.975347,0.0036372819900512697,1156.4898474216461,35000
4.4824286,-2.0556393,123.502266,587.6455,1.6014229,-9.629522,0.08802728,1.0,120.391495,0.83590066,-4.627983,0.013316201,1.0,0.3192699,-38.205776,-78.856476,1.5938466,624.1301,1.9338651,-9.686027,0.09932822,1.0,119.605934,0.8121302,-4.6351094,0.016166747,1.0,0.28009155,-38.280792,-79.00716,1.4249704,0.003550492525100708,1174.2423186302185,40000
4.39503,-3.0042999,142.22086,660.91754,2.1117897,-9.590654,0.08025386,1.0,108.09236,0.8051735,-4.6375513,0.017143432,1.0,0.555457,-39.449043,-80.72267,1.4227703,618.01495,1.7443507,-9.59484,0.08109085,1.0,106.7157,0.81404734,-4.635829,0.016454592,1.0,0.43408278,-38.852486,-81.28606,1.2915242,0.0036005020141601563,1192.2448379993439,45000
2.814311,-2.1771197,124.050095,634.622,2.0943952,-9.637398,0.089602605,1.0,103.87369,0.8038513,-4.6257796,0.012434783,1.0,0.3371175,-38.63259,-83.75198,1.356358,622.8821,2.021469,-9.671289,0.096380785,1.0,107.81244,0.8082118,-4.6274767,0.013113446,1.0,0.26774544,-39.130947,-82.964836,2.1660435,0.003643227195739746,1210.46098446846,50000
3.5014913,-2.2025592,112.76962,644.7291,2.1280477,-9.607559,0.08363461,1.0,109.017715,0.81057525,-4.626007,0.012525775,1.0,0.41049564,-37.87947,-84.74199,1.6185257,652.3854,2.0293276,-9.5739975,0.07692251,1.0,107.24204,0.7975793,-4.6231184,0.011370245,1.0,0.24402267,-38.856037,-84.47786,1.4963142,0.003568451499938965,1228.3032553195953,55000
2.2088828,-2.0009196,120.06952,646.3145,1.8415424,-9.601954,0.08251393,1.0,99.51664,0.788351,-4.628478,0.013514179,1.0,0.34579664,-40.427578,-85.467514,1.3182311,641.20276,2.0318582,-9.650684,0.09225978,1.0,102.4283,0.7927525,-4.632475,0.015112819,1.0,0.40232873,-38.594685,-85.05412,1.8203014,0.003822833442687988,1247.4174342155457,60000
2.8206718,-2.4275188,141.13652,650.9322,2.0124288,-9.605278,0.083178595,1.0,94.32529,0.7525514,-4.6281934,0.013400383,1.0,0.35862762,-39.557594,-85.76155,1.6248224,682.49994,2.4212017,-9.630633,0.088249765,1.0,103.153305,0.7580657,-4.629941,0.014099223,1.0,0.20736793,-39.645596,-85.611984,1.4031267,0.00359791522026062,1265.4070200920105,65000
2.4676502,-4.6054296,132.10583,640.9883,1.8001835,-9.626405,0.08740399,1.0,115.651184,0.84420365,-4.624618,0.011970136,1.0,0.51233256,-38.713173,-86.833916,1.9492354,658.23834,2.0138483,-9.6319065,0.08850422,1.0,109.13147,0.81247497,-4.627514,0.013128394,1.0,0.31187886,-38.651768,-87.0816,2.3520951,0.0035598591804504396,1283.2063343524933,70000
2.9532874,-2.3876991,135.87384,678.6393,1.9772213,-9.593304,0.08078366,1.0,106.38773,0.84004474,-4.627392,0.013079739,1.0,0.21706098,-38.572105,-87.96283,1.9254943,663.47314,2.0957017,-9.645826,0.09128838,1.0,98.39223,0.7692368,-4.633808,0.015646333,1.0,0.12454194,-40.63915,-86.936615,1.202246,0.003636577367782593,1301.3892304897308,75000
9.588231,-3.3433342,144.5294,662.8975,2.1131742,-9.705571,0.10323727,1.0,107.93997,0.8103484,-4.623696,0.011601329,1.0,0.23188901,-39.19485,-87.82712,1.8659695,668.0359,1.8549623,-9.689743,0.10007154,1.0,97.68266,0.78569186,-4.6269245,0.012892658,1.0,0.26665312,-39.76992,-87.26318,1.2788073,0.0035722259044647215,1319.2503688335419,80000
4.784493,-3.3162167,145.08539,646.30176,1.8764879,-9.612459,0.08461485,1.0,106.54481,0.7344813,-4.6217456,0.010821283,1.0,0.60255766,-39.875378,-86.99859,2.8253858,654.8437,1.9878161,-9.671919,0.096506715,1.0,112.50377,0.8070289,-4.6280622,0.013347769,1.0,0.5327778,-37.824715,-88.06726,1.3426033,0.003570175838470459,1337.1012609004974,85000
3.9261818,-2.3001614,125.85625,672.226,2.123301,-9.6031885,0.08276073,1.0,102.81289,0.7954973,-4.6277575,0.013226065,1.0,0.3973624,-39.99005,-87.392456,1.4388912,642.3894,1.7777084,-9.640413,0.09020559,1.0,106.260864,0.8023012,-4.623811,0.011647291,1.0,0.13839138,-40.029625,-87.41193,1.6580826,0.003524352836608887,1354.7230341434479,90000
3.0569646,-4.062008,121.72139,670.0836,2.1426296,-9.623916,0.08690605,1.0,101.00636,0.77455246,-4.6268787,0.01287456,1.0,0.17029457,-40.35916,-86.59041,1.3336701,675.3159,1.9839964,-9.683165,0.09875578,1.0,105.362686,0.81901777,-4.6246715,0.011991512,1.0,0.20480034,-39.96326,-87.65558,1.352066,0.003541800594329834,1372.432047843933,95000
6.1318717,-8.667824,178.64806,655.8395,2.0210958,-9.671876,0.09649816,1.0,109.07599,0.7896656,-4.6296988,0.014002562,1.0,0.5024455,-39.547573,-87.50906,1.2752252,657.1317,1.9195155,-9.706684,0.10345977,1.0,109.45909,0.80652297,-4.629944,0.014100591,1.0,0.41995293,-39.87426,-87.71161,1.4837813,0.003534109926223755,1390.1026065349579,100000
1.8492079,-2.6604195,118.28133,643.5462,1.9625559,-9.576212,0.07736533,1.0,115.54576,0.86116576,-4.6276183,0.013170314,1.0,0.21814562,-39.981693,-87.13283,1.2307823,677.1109,2.0882106,-9.639703,0.0900635,1.0,113.37437,0.8485549,-4.628643,0.013580175,1.0,0.37965703,-39.925148,-88.423386,2.7253823,0.18903488750457764,2335.2770528793335,105000
2.332338,-2.058584,105.160645,692.6433,2.396161,-9.566973,0.075517595,1.0,99.568054,0.78429264,-4.6205626,0.010348099,1.0,0.21023425,-40.035107,-87.877884,1.4064833,697.3886,2.4324107,-9.66357,0.09483709,1.0,110.91089,0.8210808,-4.631171,0.014591331,1.0,0.33547437,-40.103825,-86.75078,1.400579,0.003783439350128174,2354.194262981415,110000
2.8885758,-3.5972917,110.597824,644.0371,1.7549187,-9.607875,0.08369796,1.0,111.88819,0.8408927,-4.6236467,0.011581533,1.0,0.2584874,-40.031303,-87.634575,1.7002137,663.57513,2.047558,-9.729887,0.10810023,1.0,111.275925,0.8333987,-4.623735,0.011616913,1.0,0.6505479,-41.017048,-87.29031,2.74833,0.0037734997749328614,2373.0617797374725,115000
3.3627958,-3.5700006,147.40494,655.2855,2.0737555,-9.636112,0.08934531,1.0,110.04596,0.8496461,-4.619982,0.010115705,1.0,0.17512006,-40.638763,-87.43221,2.399903,657.8015,1.8448904,-9.697153,0.10155361,1.0,105.52315,0.795745,-4.624387,0.011877664,1.0,0.15454441,-40.038155,-87.210205,1.7823764,0.0038206018924713133,2392.1648070812225,120000
2.3981404,-1.4761566,112.14021,676.57135,2.180262,-9.553054,0.072733745,1.0,94.82536,0.7957215,-4.621398,0.010682191,1.0,0.13717121,-39.74385,-87.22799,1.2611074,653.6138,1.7182373,-9.643415,0.09080602,1.0,103.35589,0.80532634,-4.6235533,0.011544141,1.0,0.20968081,-39.640636,-87.7464,1.5755305,0.0036965863227844237,2410.6477513313293,125000
1.6739239,-2.3972552,106.47685,668.5977,2.1937494,-9.585928,0.0793084,1.0,106.772835,0.8183943,-4.62499,0.012119001,1.0,0.19248098,-40.95531,-88.16611,1.2048599,660.3595,1.9252422,-9.694424,0.1010077,1.0,111.188385,0.8603678,-4.624696,0.012001246,1.0,0.26470846,-41.425797,-87.82947,1.6630243,0.0036769479274749756,2429.032508134842,130000
2.6580212,-1.973855,104.19749,662.58307,2.128989,-9.572244,0.0765717,1.0,107.85509,0.78649294,-4.6226516,0.011183644,1.0,0.28086278,-41.303875,-89.05974,1.1046127,659.83875,2.041758,-9.652744,0.09267178,1.0,104.408195,0.81620663,-4.6241465,0.011781575,1.0,0.27198103,-40.618835,-88.54343,1.170542,0.0037401668071746826,2447.7333521842957,135000
1.6979588,-2.4774063,114.24616,670.2717,2.0080557,-9.619632,0.08604931,1.0,118.953575,0.85286146,-4.6266603,0.012787093,1.0,0.10455818,-41.42163,-87.51661,1.4196906,693.17694,2.2306058,-9.702492,0.102621235,1.0,120.913635,0.86261225,-4.623515,0.011529076,1.0,0.09419162,-41.109398,-88.8347,2.5924087,0.0038091617584228516,2466.7791731357574,140000
2.1215348,-2.7650812,115.117165,688.2916,2.1963968,-9.595423,0.08120746,1.0,104.71672,0.79946136,-4.6261926,0.012599975,1.0,0.17544517,-38.71675,-88.321945,1.2865777,685.12897,2.082941,-9.682483,0.09861944,1.0,105.94139,0.80192465,-4.6273174,0.013049848,1.0,0.16242889,-39.820827,-87.940765,1.4320929,0.0037454383850097656,2485.506374835968,145000
2.4463782,-2.8565903,166.004,693.47473,2.301402,-9.595472,0.08121754,1.0,96.88727,0.7581814,-4.6185923,0.009559933,1.0,0.13061959,-39.712006,-88.221664,1.4562379,682.9424,2.2424269,-9.696856,0.10149409,1.0,106.981766,0.78768754,-4.624749,0.012022536,1.0,0.0863053,-41.041973,-88.910774,1.9038962,0.0036719852447509764,2503.8663115501404,150000
