training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
14.938918,-4.6594357,13.978308,0.02589731,4.627611,0.9606102,-4.4453316,1.0,0.9992466,0.6386719,0.00267802,-20.033344,-20.051582,-1.374342,60.64685,1.3121545,8.680881e-08,0.070513025,-0.066397205,1.1835518,14.959449,-4.6633253,13.989975,0.027452989,4.846259,0.9694738,-4.6983223,1.0,0.9985819,0.33789062,0.004259561,-20.072262,-20.090134,-1.7881529,37.107227,1.1345773,8.372752e-08,0.1963706153392792,981.8530910015106,5000
14.855076,-4.650214,13.950642,0.022208562,3.9883604,0.9044345,-3.6072118,1.0,0.99938107,0.7158203,0.002096672,-20.586016,-20.60569,-0.4602822,81.37657,2.8420887,1.4157416e-09,0.13765334,-0.07304755,1.2174749,14.880613,-4.65335,13.960049,0.023462825,4.7768064,0.9205644,-4.397359,1.0,0.9982147,0.3642578,0.0047828043,-20.447481,-20.466494,-0.99759525,139.883,3.3715806,2.9022885e-07,0.002916999673843384,996.4380965232849,10000
14.783162,-4.6495123,13.948538,0.02192803,3.649223,0.8346246,-3.045732,1.0,0.99941444,0.77246094,0.00172359,-21.590778,-21.611792,-0.093692645,87.19041,3.446867,2.0019681e-06,0.055824906,-0.12851638,1.0503833,14.858665,-4.6506968,13.952088,0.02240147,5.525795,0.90657693,-5.009559,1.0,0.99823475,0.37597656,0.005016639,-21.036833,-21.05634,-1.0813601,340.62543,4.9786577,3.782759e-08,0.002919520616531372,1011.0357060432434,15000
14.75763,-4.6460395,13.938118,0.020538641,3.60809,0.81951195,-2.9568734,1.0,0.99949074,0.82714844,0.0014490375,-21.50638,-21.527796,0.40152222,158.60469,5.13974,7.272857e-07,0.08680227,-0.0719121,1.0702997,14.87036,-4.648005,13.944015,0.021324918,6.055393,0.9263454,-5.6093864,1.0,0.99839306,0.34472656,0.0050430545,-21.187063,-21.206139,-1.6736846,15397.349,19.596684,9.122311e-09,0.0029208828926086425,1025.6401271820068,20000
14.713655,-4.6446486,13.933945,0.019982262,3.4615307,0.7797104,-2.6989923,1.0,0.9994793,0.83984375,0.0013499616,-21.676392,-21.698269,0.7049219,402.21448,6.4710817,8.577721e-07,0.039873667,-0.07951945,0.80847573,14.869935,-4.6452723,13.935816,0.02023172,6.85266,0.9341189,-6.4012003,1.0,0.9984474,0.3564453,0.005054904,-21.53476,-21.553986,-1.8670475,713.1363,6.1329165,7.9418146e-11,0.002922463321685791,1040.2524507045746,25000
14.645223,-4.647484,13.942451,0.021116365,3.0498912,0.70277244,-2.1433802,1.0,0.99952126,0.84375,0.0012770916,-21.90303,-21.925209,0.78699136,325.59555,6.8644853,2.1523225e-07,0.13466322,-0.06898171,1.165333,14.890886,-4.6487536,13.94626,0.021624332,7.033361,0.944626,-6.643896,1.0,0.9984083,0.3515625,0.005252445,-21.622427,-21.641596,-2.011925,1222.6216,6.2316294,2.4470244e-11,0.002918879461288452,1054.846854686737,30000
14.6816435,-4.6475334,13.942599,0.021136228,3.3186345,0.739044,-2.4526176,1.0,0.99953365,0.85546875,0.0011612392,-21.973972,-21.996313,0.8802272,354.67896,7.5392485,7.284154e-06,0.068200774,-0.078066684,1.0594294,14.870907,-4.6435184,13.930555,0.019530373,6.9469824,0.9403511,-6.5326033,1.0,0.9983206,0.3671875,0.005456268,-21.445972,-21.46495,-2.032252,1808.3579,8.485779,9.252176e-12,0.0029178592681884767,1069.4361579418182,35000
14.614126,-4.6463566,13.939071,0.020665739,2.961809,0.675055,-1.9993846,1.0,0.9995804,0.8847656,0.001044271,-21.892832,-21.915163,0.9488514,168.65486,6.780946,0.00014120992,0.051364306,-0.07157527,0.8521823,14.904587,-4.651455,13.954363,0.02270476,7.323967,0.9502244,-6.9594126,1.0,0.9983587,0.32714844,0.005385467,-21.530323,-21.549372,-2.0425358,1328.6711,6.66214,5.887669e-10,0.0029194265365600587,1084.0332970619202,40000
14.546645,-4.640523,13.921567,0.018331913,2.9442494,0.62507814,-1.8403866,1.0,0.9995928,0.87109375,0.001034388,-21.60087,-21.622953,0.9917584,157.33275,7.0733323,3.514473e-07,0.03271754,-0.07164481,0.9008288,14.868928,-4.642798,13.928394,0.019242266,7.1490746,0.9405339,-6.7239475,1.0,0.9984007,0.35742188,0.0054569985,-21.295303,-21.31389,-2.280479,484.6377,6.3200183,1.3898178e-10,0.0029222007751464846,1098.6443076133728,45000
14.60906,-4.6400876,13.920261,0.018157914,2.8747845,0.68879884,-1.9801488,1.0,0.9995899,0.87402344,0.0010054114,-21.40801,-21.429895,0.9810351,298.85196,6.7416162,1.9308867e-05,0.080357045,-0.04949884,0.79743266,14.886768,-4.6461964,13.938589,0.02060157,7.0320854,0.9481796,-6.6676807,1.0,0.9984207,0.34960938,0.0053892476,-21.202526,-21.221037,-2.2661233,576.4987,5.714965,9.910209e-12,0.0029222104549407957,1113.2553660869598,50000
