training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
5.657299,-4.657299,4.657299,0.025042737,17.79202,0.9999999,-17.79202,1.0,0.7439147,0.0,-13.677845,-22.525137,0.7378744,-0.76484406,23.57694,0.9111425,-13.055655,-21.691908,0.055184275,5.668864,-4.668993,4.668993,0.02972032,17.60225,0.9998707,-17.599976,1.0,0.729533,0.0,-13.777563,-22.53735,0.7775463,-13.142813,-21.697199,0.057963967,0.21669748268127442,1083.487428188324,5000
5.652254,-4.652258,4.652258,0.02302609,26.319738,0.99999636,-26.319645,1.0,1.0091053,0.0,-20.43606,-37.90126,0.34395692,-0.92432886,32.17969,1.5605805,-19.894543,-37.279408,0.09583394,5.656738,-4.6567445,4.6567445,0.024820773,26.629875,0.9999933,-26.6297,1.0,0.7423435,0.0,-21.329847,-37.65898,0.73851,-20.811594,-36.948204,0.07468915,0.00224470534324646,1094.7109611034393,10000
5.6481776,-4.64819,4.64819,0.021399012,31.308037,0.9999874,-31.307644,1.0,1.1623654,0.0,-23.76807,-49.912464,0.5379095,-0.8240031,36.851463,0.5614697,-23.324238,-49.434994,0.107961476,5.6528897,-4.6528897,4.6528897,0.023278737,31.950726,0.9999999,-31.950726,1.0,1.1880268,0.0,-24.52341,-49.08216,0.55197364,-24.086727,-48.620308,0.110159576,0.002218521690368652,1105.8035776615143,15000
5.6432686,-4.6432686,4.6432686,0.019430239,32.922836,1.0,-32.922836,1.0,1.0235248,0.0,-27.025373,-58.258675,0.6178001,-1.2192374,39.26848,0.99677825,-26.610813,-57.69795,0.08313877,5.6474876,-4.647507,4.647507,0.021125829,33.22699,0.9999807,-33.22635,1.0,1.1023061,0.0,-27.084484,-57.815037,0.8156477,-26.649456,-57.3975,0.097494915,0.0022321486949920654,1116.9643278121948,20000
5.6390595,-4.6390667,4.6390667,0.017749494,35.610283,0.9999927,-35.610023,1.0,0.825295,0.0,-28.320787,-64.95054,0.98516965,-0.7527539,30.728165,0.63548,-27.88184,-64.73028,0.09255749,5.6442404,-4.6442575,4.6442575,0.019825982,35.549065,0.9999831,-35.548462,1.0,1.07818,0.0,-29.423166,-64.72757,0.8269663,-29.00061,-64.33563,0.10237125,0.0022446881294250487,1128.1877763271332,25000
5.6457157,-4.6457157,4.6457157,0.020409325,36.703285,1.0,-36.703285,1.0,1.1648027,0.0,-27.921425,-69.86658,0.67509735,-0.5319375,32.729454,1.0335486,-27.502857,-69.43061,0.111849695,5.6511364,-4.6511364,4.6511364,0.022577463,37.365826,1.0,-37.365826,1.0,1.1555076,0.0,-29.584469,-69.983246,0.69845724,-29.18398,-69.74521,0.1000218,0.002257137727737427,1139.473471879959,30000
5.643993,-4.643993,4.643993,0.019720115,36.75723,1.0,-36.75723,1.0,0.9079511,0.0,-30.117783,-73.345924,0.66028845,-0.47020757,29.987574,0.63745993,-29.745447,-73.080826,0.13132665,5.645343,-4.645343,4.645343,0.020260256,37.664253,1.0,-37.664253,1.0,0.8551713,0.0,-31.274872,-74.00466,0.8190626,-30.923164,-73.8605,0.13299784,0.0023769821643829345,1151.358389377594,35000
5.644595,-4.644595,4.644595,0.019961124,36.923714,1.0,-36.923714,1.0,1.1286433,0.0,-31.175901,-75.948555,1.2678717,-0.73776436,51.545715,0.9754382,-30.761444,-75.695244,0.12537925,5.647847,-4.647847,4.647847,0.021261796,36.314476,1.0,-36.314476,1.0,1.1627567,0.0,-31.420845,-75.99234,0.7687426,-31.054726,-75.86798,0.118611835,0.0023055108547210693,1162.8859512805939,40000
5.6440654,-4.644066,4.644066,0.019749252,38.712814,0.9999996,-38.7128,1.0,0.9615309,0.0,-30.92529,-78.12872,0.3249125,-0.41621596,22.891123,0.6970122,-30.550823,-77.91864,0.10237181,5.6486554,-4.648656,4.648656,0.021585379,37.97439,0.9999997,-37.974377,1.0,0.87788844,0.0,-33.073425,-77.58538,0.9105755,-32.71223,-77.43107,0.10416322,0.0022698795795440675,1174.2353563308716,45000
5.6433954,-4.6433954,4.6433954,0.019481204,38.71761,1.0,-38.71761,1.0,0.9715173,0.0,-32.52168,-78.91068,1.0424389,-0.61201656,33.77735,0.57610035,-32.15783,-78.727806,0.106187955,5.6475716,-4.6475716,4.6475716,0.021151546,38.401978,1.0,-38.401978,1.0,0.9181092,0.0,-31.737774,-78.49147,0.9222659,-31.329094,-78.14756,0.09706952,0.0022402535915374755,1185.4366326332092,50000
5.638026,-4.638026,4.638026,0.017333379,38.61941,1.0,-38.61941,1.0,1.5894444,0.0,-33.323593,-79.311516,0.6413053,-0.9789138,35.47148,0.84379613,-32.90936,-79.05801,0.10318163,5.6460214,-4.6460214,4.6460214,0.020531578,39.331505,1.0,-39.331505,1.0,0.8008939,0.0,-32.361824,-79.02649,0.62087864,-31.984724,-78.84157,0.15920344,0.0023080716609954833,1196.9769978523254,55000
5.638771,-4.638771,4.638771,0.017631467,37.983383,1.0,-37.983383,1.0,0.70751715,0.0,-32.787804,-80.24887,0.5490353,-0.5609015,25.490036,1.0813656,-32.45202,-79.85913,0.08982052,5.64902,-4.64902,4.64902,0.02173121,39.153572,1.0,-39.153572,1.0,0.9259606,0.0,-33.06732,-80.82583,1.0782384,-32.692223,-80.51386,0.12061987,0.0023233301162719727,1208.5936558246613,60000
5.638395,-4.6383953,4.6383953,0.017481165,38.996452,0.9999997,-38.99644,1.0,0.8370154,0.0,-32.504444,-81.50592,0.8002361,-0.7587677,35.48811,0.58906746,-32.127495,-81.443184,0.113012806,5.6468573,-4.6468573,4.6468573,0.020865886,39.38569,1.0,-39.38569,1.0,0.8760083,0.0,-33.254997,-80.87004,0.7031584,-32.898033,-81.31495,0.09296754,0.00225243558883667,1219.8558416366577,65000
5.6331596,-4.6331596,4.6331596,0.015386722,39.891068,1.0,-39.891068,1.0,0.7330925,0.0,-33.0101,-81.354,0.8519878,-0.36157003,21.450878,0.71168363,-32.619698,-81.129105,0.11902711,5.6498623,-4.6498623,4.6498623,0.022067804,39.394722,1.0,-39.394722,1.0,0.7667173,0.0,-34.81033,-81.34035,0.46072513,-34.434036,-81.09085,0.13254926,0.0022686523914337156,1231.1991107463837,70000
5.6393824,-4.6393824,4.6393824,0.01787585,40.025017,1.0,-40.025017,1.0,0.7191316,0.0,-32.63689,-81.62175,0.49600482,-0.7727491,24.62687,0.51856846,-32.28517,-81.50049,0.12001988,5.6506195,-4.6506214,4.6506214,0.022371441,39.419853,0.9999983,-39.419785,1.0,1.2126341,0.0,-33.237713,-82.943275,0.66836965,-32.881573,-82.36429,0.11384234,0.0022220985412597658,1242.3096117973328,75000
5.6395416,-4.6395445,4.6395445,0.017940795,39.71154,0.99999696,-39.71142,1.0,0.8949182,0.0,-33.44153,-80.91744,1.1682982,-0.75382787,39.86099,0.6839519,-33.131763,-80.794044,0.085776225,5.645765,-4.645765,4.645765,0.02042891,39.40721,1.0,-39.40721,1.0,1.371674,0.0,-32.877506,-83.31836,0.6514281,-32.560104,-82.41937,0.15148544,0.002194039154052734,1253.2798149585724,80000
5.6368923,-4.6368923,4.6368923,0.016879851,39.99726,1.0,-39.99726,1.0,1.0258757,0.0,-33.668137,-84.14562,0.865093,-0.9224135,38.791542,0.7247661,-33.35436,-83.760124,0.0969011,5.6504765,-4.6504793,4.6504793,0.022314884,39.692432,0.999997,-39.692314,1.0,0.73171467,0.0,-33.308395,-83.43628,1.0015644,-32.970238,-83.24893,0.1154703,0.0023184011459350586,1264.8718276023865,85000
5.639031,-4.6390314,4.6390314,0.017735416,39.548737,0.99999946,-39.548714,1.0,0.918619,0.0,-34.37009,-83.46349,1.1307843,-0.75684255,34.236465,0.6810456,-34.00917,-83.094536,0.104836166,5.6499915,-4.6499934,4.6499934,0.022120453,39.804474,0.9999981,-39.804398,1.0,1.0341078,0.0,-32.970413,-84.20951,0.60957146,-32.658913,-84.027275,0.11320918,0.0022835394382476806,1276.2895331382751,90000
5.642266,-4.64227,4.64227,0.019030873,40.809616,0.9999956,-40.809437,1.0,0.65693617,0.0,-35.735687,-83.77978,0.6551741,-0.8333829,26.637606,1.1292167,-35.42447,-83.74042,0.091582865,5.6526203,-4.6526213,4.6526213,0.02317146,41.92128,0.9999991,-41.92124,1.0,0.9455745,0.0,-34.079544,-83.76115,0.64128184,-33.681454,-83.24637,0.121343166,0.0023285699844360352,1287.932389497757,95000
5.6354504,-4.6354504,4.6354504,0.016303055,41.65096,1.0,-41.65096,1.0,1.109499,0.0,-34.61611,-83.79883,2.4204447,-2.9370592,46.82164,0.6690567,-34.27337,-83.74603,0.119131364,5.6454477,-4.6454477,4.6454477,0.020302152,40.40439,0.99999994,-40.40439,1.0,1.1625589,0.0,-33.432182,-84.519424,0.5184063,-33.05637,-84.00226,0.13790402,0.002239423847198486,1299.1295156478882,100000
5.6377296,-4.6377296,4.6377296,0.01721469,40.25972,1.0,-40.25972,1.0,0.66318923,0.0,-34.003292,-84.66706,0.8131472,-0.96149397,26.537813,0.5584954,-33.69166,-84.492134,0.14684962,5.6469593,-4.6469593,4.6469593,0.020906786,42.033447,1.0,-42.033447,1.0,0.69378555,0.0,-35.180435,-85.35245,0.48872283,-34.847534,-85.22718,0.09698239,0.17189842414855958,2158.6216435432434,105000
5.63484,-4.63484,4.63484,0.016058894,41.38208,1.0,-41.38208,1.0,0.67868423,0.0,-32.476753,-86.11152,0.64975464,-0.73553586,24.470688,0.5710803,-32.1837,-85.99236,0.08594853,5.656844,-4.656844,4.656844,0.024860663,41.103245,0.99999994,-41.103245,1.0,1.3018136,0.0,-35.617363,-84.92127,0.71796536,-35.334953,-84.81474,0.15304494,0.0023984100818634033,2170.613702058792,110000
5.634691,-4.634691,4.634691,0.015999315,41.636475,1.0,-41.636475,1.0,0.54858744,0.0,-35.600803,-85.917366,0.8046377,-0.5845429,23.063244,0.55471957,-35.281464,-85.90188,0.08290534,5.651613,-4.651614,4.651614,0.022768738,40.75792,0.9999991,-40.75788,1.0,1.0040237,0.0,-33.54328,-85.29134,0.5070605,-33.250664,-85.04509,0.087962136,0.0023051226139068604,2182.1393213272095,115000
5.6350393,-4.6350393,4.6350393,0.016138563,40.716465,1.0,-40.716465,1.0,0.80755925,0.0,-35.55143,-86.16856,0.7342153,-0.7838485,28.183777,0.70901173,-35.22889,-85.86748,0.101750836,5.652868,-4.652868,4.652868,0.023270031,42.859093,1.0,-42.859093,1.0,0.944469,0.0,-34.05744,-84.69145,0.66526437,-33.740414,-84.783905,0.09465754,0.002318514442443848,2193.7319009304047,120000
5.636006,-4.636006,4.636006,0.0165253,41.02275,0.99999994,-41.02275,1.0,0.7673984,0.0,-35.539474,-86.710526,0.5267541,-0.49961922,26.71494,0.7726152,-35.261963,-86.52174,0.10447401,5.646069,-4.646069,4.646069,0.020550588,40.977356,0.99999994,-40.977356,1.0,0.9014063,0.0,-34.74923,-85.75325,1.9099442,-34.454796,-85.68338,0.10935566,0.0022883042812347413,2205.1734294891357,125000
5.6353755,-4.6353755,4.6353755,0.016273092,41.444473,1.0,-41.444473,1.0,0.674,0.0,-34.79162,-86.66673,0.76820385,-0.92507553,31.631813,1.0971781,-34.463898,-86.575516,0.09226273,5.6500883,-4.6500883,4.6500883,0.022158252,41.799347,1.0,-41.799347,1.0,0.85782754,0.0,-35.86677,-87.39591,0.789819,-35.597427,-87.18014,0.13262768,0.002279534673690796,2216.5711097717285,130000
5.636014,-4.636014,4.636014,0.016528629,41.859623,1.0,-41.859623,1.0,0.74040174,0.0,-36.495163,-85.811,0.6199806,-1.0782206,26.307377,0.6578746,-36.171593,-85.71121,0.07939228,5.65032,-4.65032,4.65032,0.022251142,42.268913,1.0,-42.268913,1.0,0.7076615,0.0,-34.6746,-86.59219,0.4650216,-34.364983,-86.25092,0.10196763,0.0023115200996398928,2228.1287171840668,135000
5.6328373,-4.632844,4.632844,0.015260565,41.045444,0.99999315,-41.045162,1.0,0.5011034,0.0,-36.729507,-87.21396,0.82696486,-0.636408,25.816814,0.4192912,-36.447647,-87.04187,0.08157994,5.657202,-4.657202,4.657202,0.025003523,40.116592,1.0,-40.116592,1.0,0.87421906,0.0,-35.005936,-86.8713,0.5530204,-34.646122,-86.8844,0.092080265,0.0023150996208190916,2239.7042231559753,140000
5.636235,-4.636235,4.636235,0.016617095,41.18519,1.0,-41.18519,1.0,0.68983924,0.0,-35.112785,-87.22183,0.5395725,-0.74314135,26.81482,0.49824065,-34.806587,-87.02343,0.08754803,5.6527157,-4.6527157,4.6527157,0.023209257,41.336094,1.0,-41.336094,1.0,0.7834977,0.0,-34.710915,-86.351234,0.79979897,-34.372993,-86.27183,0.09658747,0.002334629487991333,2251.377377510071,145000
5.6344824,-4.6344824,4.6344824,0.01591602,42.51612,1.0,-42.51612,1.0,0.857226,0.0,-35.259262,-87.60779,0.99551976,-0.9553775,30.434021,0.58597016,-34.945213,-87.34204,0.15983748,5.664588,-4.6645927,4.6645927,0.027960254,41.877075,0.9999953,-41.876877,1.0,1.0353982,0.0,-36.546013,-87.80214,0.51724553,-36.251465,-87.62926,0.14076933,0.002407536220550537,2263.4150655269623,150000
5.6295547,-4.6295547,4.6295547,0.013944942,42.558357,1.0,-42.558357,1.0,1.5754095,0.0,-36.992302,-87.68187,0.7644172,-1.070547,34.461967,0.54648864,-36.668407,-87.47109,0.09596578,5.652055,-4.652055,4.652055,0.02294496,42.424828,1.0,-42.424828,1.0,0.6390703,0.0,-37.5442,-87.22671,1.1999731,-37.24326,-87.115265,0.11087879,0.0023619724273681642,2275.224935770035,155000
5.6335926,-4.6335926,4.6335926,0.01555987,40.378357,1.0,-40.378357,1.0,1.067148,0.0,-34.580193,-88.31044,1.4519259,-1.5074526,52.185635,0.5044115,-34.249863,-88.171326,0.14104415,5.657258,-4.657258,4.657258,0.025026089,41.19026,1.0,-41.19026,1.0,1.1358302,0.0,-35.77655,-88.38211,0.8265037,-35.45384,-88.23146,0.10033889,0.0023351222038269044,2286.900553703308,160000
