training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
99.36537,0.10488181,-4.6908736,0.03847251,1.0,0.52507925,-0.7571049,11.427412,0.7365123,-15.046875,-24.79824,0.10956862,92.87324,0.0785805,-4.688344,0.03746045,1.0,0.55962473,-15.4741125,-24.745676,0.10908362,0.267178337430954,1335.8917167186737,5000
147.59305,0.16155463,-4.6638303,0.02765506,1.0,0.44798562,-1.0695366,21.22432,0.78643346,-22.3663,-43.76517,0.2020072,149.01846,0.13601243,-4.6669865,0.028917385,1.0,0.7700233,-23.35248,-43.0694,0.2240591,0.0030605642318725585,1351.1945748329163,10000
174.44931,0.15349938,-4.65958,0.025955087,1.0,1.1986649,-0.74348736,20.102385,0.7225368,-27.969454,-57.708763,0.28108305,177.12605,0.1553447,-4.6615195,0.026730789,1.0,0.60834324,-27.407001,-57.67065,0.254034,0.00304006609916687,1366.3949823379517,15000
179.5767,0.08886047,-4.6584435,0.025500366,1.0,1.1190436,-0.6177439,20.191051,0.68259054,-29.745426,-70.0411,0.26479393,178.4896,0.15870908,-4.6656075,0.028365929,1.0,0.48190314,-30.856098,-68.34581,0.23474818,0.003017507266998291,1381.482572555542,20000
194.70267,0.19780868,-4.6547594,0.024026817,1.0,0.9498239,-1.1476643,18.418129,0.7840649,-32.158264,-76.434006,0.25875962,182.48236,0.14897533,-4.658045,0.025340889,1.0,0.87169886,-32.399136,-76.27232,0.23288694,0.0032661569118499754,1397.8134067058563,25000
199.27032,0.18547216,-4.6548347,0.024056712,1.0,1.424796,-1.5330821,25.929838,0.5187995,-34.15931,-81.6967,0.28477496,183.27744,0.10152942,-4.655477,0.024313718,1.0,0.7776216,-31.889181,-81.590775,0.30268863,0.0033117681980133055,1414.3722841739655,30000
196.23886,0.13907397,-4.6556263,0.024373658,1.0,1.404272,-1.0753428,24.361612,0.7424035,-34.17907,-84.552635,0.31836188,188.46494,0.12633875,-4.6496277,0.021973966,1.0,0.96890134,-33.37891,-85.57936,0.41509837,0.003130716705322266,1430.025934934616,35000
201.27248,0.17704499,-4.652831,0.023255339,1.0,1.5708764,-1.3926904,27.03298,0.713485,-35.300995,-87.50078,0.31493747,195.80673,0.12749785,-4.66446,0.027906943,1.0,0.7841515,-34.80394,-86.435425,0.23461974,0.0031303723335266115,1445.6778364181519,40000
187.84117,0.11070722,-4.653309,0.023446534,1.0,0.7990675,-1.6421082,22.838665,0.40300983,-36.02043,-88.77849,0.23652571,185.88962,0.13346286,-4.6523414,0.023059461,1.0,0.8537048,-35.832176,-88.75819,0.23542917,0.00311680326461792,1461.2619178295135,45000
185.91812,0.13438123,-4.645108,0.020166313,1.0,0.9094965,-0.97313434,16.555176,0.81403494,-34.64141,-89.86801,0.2500487,203.18634,0.17184192,-4.6476135,0.021168366,1.0,0.8934106,-34.62171,-89.41311,0.25136197,0.0031301543712615966,1476.912742137909,50000
193.26205,0.1506032,-4.6498184,0.022050258,1.0,1.7877545,-0.6375484,20.625467,0.55536366,-33.858673,-91.30484,0.22970173,192.17596,0.16622141,-4.6521792,0.022994665,1.0,0.41822252,-34.60806,-91.367966,0.3394844,0.003145029592514038,1492.6379299163818,55000
207.85002,0.2285837,-4.648988,0.021718213,1.0,1.7054825,-0.67373514,18.299185,0.59581,-34.954693,-92.21211,0.25680366,200.51183,0.17044087,-4.649297,0.021841807,1.0,1.5749617,-36.39263,-91.43284,0.30732113,0.003123265838623047,1508.2543070316315,60000
198.26941,0.20396242,-4.6491027,0.021764046,1.0,1.49397,-1.2614684,18.375463,0.29294512,-36.451885,-93.36748,0.24259342,192.62267,0.16023946,-4.6519594,0.022906756,1.0,0.46846008,-35.69331,-90.82114,0.3132851,0.0031179431438446044,1523.8440623283386,65000
205.10947,0.15216297,-4.6491356,0.021777282,1.0,0.7033442,-1.0316659,20.381617,0.7760609,-33.317444,-91.54349,0.2441323,188.21747,0.12690675,-4.64769,0.021198792,1.0,0.5707132,-36.020035,-92.18709,0.28123295,0.0030305862426757814,1538.9970307350159,70000
197.42758,0.18152508,-4.643648,0.019582335,1.0,1.3219565,-0.86099225,18.263327,0.52849174,-35.080864,-91.392784,0.22380869,200.10356,0.18207331,-4.655139,0.024178455,1.0,0.5266025,-36.419655,-92.82989,0.2872963,0.0030757650852203367,1554.375905752182,75000
