training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
6.428612,-4.7124443,99.06819,309.5598,1.0757756,-10.057919,0.17370689,1.0,84.52737,0.66935635,-4.6701403,0.030179223,1.0,0.11782853,-16.407772,-26.662788,0.3949495,299.78046,1.0585403,-10.086857,0.17949447,1.0,82.22651,0.6297066,-4.6641283,0.027774358,1.0,0.0738954,-16.88321,-26.473469,0.4656779,0.2980104051113129,1490.0520465373993,5000
5.35191,-5.909212,99.57942,397.85742,1.4612281,-10.008959,0.16391468,1.0,101.18469,0.73153305,-4.6600666,0.026149577,1.0,0.09562748,-25.533257,-43.75916,0.3634491,402.9308,1.4014791,-10.048945,0.17191203,1.0,108.892204,0.75841945,-4.6642513,0.027823437,1.0,0.05955282,-25.559956,-43.702187,0.52362305,0.0036881221771240236,1508.4926662445068,10000
8.536593,-7.516003,184.77786,493.011,1.681644,-10.076809,0.17748463,1.0,111.242584,0.73370135,-4.658304,0.025444705,1.0,0.43596792,-31.940817,-57.46771,0.93544155,463.52826,1.4603536,-10.099379,0.18199857,1.0,114.735794,0.79519093,-4.6501603,0.022187028,1.0,0.6777129,-31.35408,-57.456825,0.74018,0.0036590060234069823,1526.7877056598663,15000
4.183283,-4.159481,123.97,512.6074,1.610014,-9.870245,0.13617186,1.0,96.171455,0.72962064,-4.6472554,0.02102514,1.0,0.41917312,-34.92244,-67.88052,0.8314359,521.55963,1.5888679,-9.855837,0.13329022,1.0,97.901276,0.7141151,-4.648568,0.021550182,1.0,0.3830884,-35.21968,-67.9147,1.0228579,0.003622576093673706,1544.900595664978,20000
5.427471,-7.151876,126.65473,582.33575,2.1024637,-9.872831,0.13668908,1.0,114.17833,0.7685529,-4.6430564,0.019345535,1.0,0.17326322,-37.777336,-76.00221,0.9486169,550.9559,1.7540144,-9.948851,0.151893,1.0,115.34963,0.8028571,-4.645916,0.020489288,1.0,0.2552172,-37.80126,-76.02678,1.8197912,0.003667232608795166,1563.2367746829987,25000
2.9764855,-6.776046,129.58029,577.5362,1.9526064,-9.941597,0.15044244,1.0,113.962204,0.8517191,-4.644531,0.019935213,1.0,0.357866,-40.02812,-82.38501,0.69883084,587.5759,2.0697813,-9.905016,0.14312616,1.0,118.342804,0.75929296,-4.6422586,0.019026516,1.0,0.20918655,-38.425106,-82.12271,1.0894872,0.003773653030395508,1582.105052947998,30000
3.6263142,-9.932922,147.44452,603.098,2.1284304,-9.858885,0.13390009,1.0,126.51107,0.81149054,-4.6423078,0.019046113,1.0,0.23975155,-40.084618,-86.84625,1.0966234,599.9856,1.9187057,-9.856314,0.13338576,1.0,116.2171,0.8434645,-4.6363916,0.016679553,1.0,0.301746,-39.09469,-86.8658,0.9298717,0.0034785265445709227,1599.4976954460144,35000
5.7873163,-3.824867,113.1859,565.23,1.8193303,-9.878955,0.13791385,1.0,128.20456,0.8656814,-4.6463075,0.020645928,1.0,0.18596868,-42.217926,-90.30731,0.74329954,595.3064,2.0467858,-9.851516,0.13242617,1.0,124.1837,0.8412296,-4.6409564,0.018505458,1.0,0.13810742,-41.174805,-90.37143,0.9978679,0.0036358585357666017,1617.6770017147064,40000
6.400137,-6.0465717,143.69388,604.87317,1.7607753,-9.848198,0.13176255,1.0,108.715485,0.76641625,-4.6354856,0.016317172,1.0,0.2197133,-43.862045,-93.28851,0.8837788,629.39246,2.1347942,-9.848944,0.13191175,1.0,110.612274,0.80815816,-4.6435246,0.019532828,1.0,0.18940127,-42.861332,-92.9302,1.0593549,0.0034077374935150145,1634.7156991958618,45000
3.3082771,-1.8508198,116.213,609.9823,1.9568806,-9.759296,0.11398213,1.0,104.53302,0.7894492,-4.6365976,0.016761893,1.0,0.16469088,-41.751602,-94.30835,1.3043115,610.39087,2.109085,-9.830767,0.12827615,1.0,95.10833,0.7483578,-4.643971,0.019711379,1.0,0.1669287,-42.69989,-94.5838,1.9528394,0.003685698366165161,1653.1442017555237,50000
