training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
2.3980973,-4.660324,1.3980973,0.026252547,171.89372,0.99999994,-171.89372,1.0,2.6131902,11.236834,-30.06619,289.8435,77.83937,1222.1515,646.22845,13.24407,6.485465,23.254934,2.488594,0.061482757,4.671953,-30.06619,78.07297,108.13916,2.398716,-4.662387,1.398716,0.02707765,161.12717,1.0,-161.12717,1.0,2.4405603,81.33153,1203.8268,637.4699,5.563307,6.031715,25.347416,2.4106236,0.027264327,4.6728663,-27.951754,81.56517,109.51692,0.25529708194732664,1276.4854702949524,5000
2.394928,-4.64976,1.394928,0.022026852,117.72004,0.99999994,-117.72004,1.0,1.9274579,20.610287,-52.027912,598.75,106.73687,1246.2793,583.37415,16.708302,3.4020524,26.481176,1.8525252,0.022041965,15.521211,-52.027912,107.512924,159.54083,2.3946924,-4.648975,1.3946925,0.021712927,130.63223,1.0,-130.63223,1.0,1.8915086,110.07213,1228.5541,567.7522,5.5234623,3.3405745,21.554321,1.9142022,0.05397369,15.524816,-51.085564,110.848366,161.93393,0.006073045444488525,1306.8507101535797,10000
2.3937197,-4.6457324,1.3937197,0.020415932,77.25806,1.0,-77.25806,1.0,1.3818483,42.694115,-78.326385,1064.2183,176.60435,1123.2485,415.0118,25.349651,1.4943562,18.592653,1.3099093,0.061643593,54.22927,-78.326385,179.31583,257.6422,2.3964133,-4.654711,1.3964133,0.02400721,80.63347,1.0,-80.63347,1.0,1.5799067,172.4018,1153.5972,419.34912,4.328767,1.3391194,12.290239,1.3791506,0.05189816,54.240353,-69.922295,175.1138,245.0361,0.006053359127044678,1337.1175153255463,15000
2.3951719,-4.650573,1.3951719,0.022352083,60.36357,0.99999994,-60.36357,1.0,1.0353576,27.462454,-30.263592,612.5977,215.68642,1026.2064,342.4604,23.312067,0.22838499,5.3656626,0.9407246,0.015603316,169.65324,-30.263592,224.16908,254.43268,2.3932893,-4.6442976,1.3932893,0.019842004,61.311363,1.0,-61.311363,1.0,1.3021322,218.41986,1019.72754,340.73438,9.061669,0.7916657,21.188269,1.0510789,0.07211373,169.67905,-125.84512,226.90381,352.74893,0.0060460149765014645,1367.3475978374481,20000
2.3922608,-4.6408696,1.3922608,0.018470783,48.64798,1.0,-48.64798,1.0,0.9025403,29.721983,-32.772564,796.7617,245.04343,994.0074,296.70575,9.544802,0.05860267,3.78125,0.7968683,0.023518944,406.84216,-3.499928,265.38553,268.88547,2.3940563,-4.6468544,1.3940563,0.020864826,49.98948,1.0,-49.98948,1.0,0.9530498,243.26346,936.28687,303.59344,17.130203,0.32401365,15.092417,0.85009944,0.04079803,406.88678,-111.49252,263.60782,375.10034,0.006052997446060181,1397.6126072406769,25000
2.392965,-4.6432166,1.3929651,0.019409696,42.514706,1.0,-42.514706,1.0,0.85152715,36.61242,-42.066196,1041.9305,270.8369,842.3235,258.1501,6.288146,0.06246253,3.7847476,0.7583953,0.007101649,663.88776,-8.273722,304.0313,312.30502,2.393798,-4.645993,1.3937981,0.020520303,46.55139,1.0,-46.55139,1.0,0.8854707,273.53207,842.56726,256.87228,1.0044719,0.32351944,15.270496,0.8081001,0.020121334,664.07654,-181.63783,306.7359,488.37375,0.006049867439270019,1427.861951828003,30000
2.3923256,-4.6410856,1.3923256,0.018557161,40.443283,1.0,-40.443283,1.0,0.7607933,57.27855,-114.58885,1890.3245,259.14136,956.32056,288.60858,8.870002,0.07897996,6.962727,0.7313968,0.019359618,742.90985,-21.5295,296.28683,317.81635,2.392373,-4.6412435,1.3923731,0.01862037,45.456142,1.0,-45.456142,1.0,0.8848531,273.06607,911.0718,273.47064,6.8809724,0.3603519,12.049606,0.78308785,0.010913245,742.93787,-230.57216,310.213,540.78516,0.006051452255249023,1458.1192214488983,35000
2.3914952,-4.638317,1.3914952,0.017450025,43.167492,1.0,-43.167492,1.0,0.85482067,87.415535,-45.208473,1331.1714,259.96686,1041.8501,290.85498,7.656287,0.07479149,4.0750737,0.75465673,0.01916369,733.6329,-18.187853,296.6485,314.83636,2.391799,-4.639329,1.3917989,0.017854627,47.250008,1.0,-47.250008,1.0,0.90906465,262.15222,994.6038,289.50104,8.303568,3.0397155,55.20679,0.85722995,0.036951844,733.6234,-2193.3254,298.83325,2492.1587,0.006054374456405639,1488.391102552414,40000
2.39293,-4.6430993,1.39293,0.019362787,43.622047,1.0,-43.622047,1.0,0.80193204,28.352068,-28.049791,698.87256,265.87418,862.0228,272.13397,8.909654,0.033316985,3.4404752,0.71636677,0.027502235,730.1168,12.180551,302.38,290.19946,2.3947508,-4.649169,1.3947508,0.021790693,46.87264,1.0,-46.87264,1.0,0.78957736,266.54626,870.11365,273.3996,5.841145,0.1455228,9.335631,0.7653378,0.012315102,730.07434,-69.73875,303.05,372.78873,0.006052213621139526,1518.652179479599,45000
2.3906207,-4.6354017,1.3906207,0.016283778,44.69432,1.0,-44.69432,1.0,0.8527046,34.502995,-28.975624,834.29956,249.80042,1020.10986,305.36615,6.291603,0.04637464,3.098362,0.7558828,0.021823177,713.84735,2.587953,285.4928,282.90485,2.3919754,-4.639918,1.3919754,0.018090172,46.92943,1.0,-46.92943,1.0,0.89420044,259.50055,1027.119,304.62012,5.4914255,0.222809,9.435543,0.8088377,0.03353628,713.7976,-123.350655,295.19043,418.54108,0.006052213525772095,1548.9132571220398,50000
2.392211,-4.640703,1.392211,0.018404275,46.15428,1.0,-46.15428,1.0,0.74145174,55.756355,-40.95336,775.2468,251.46895,1062.6564,306.62503,22.338333,0.0407364,3.2148876,0.75149214,0.030859768,705.3273,6.5338707,286.73532,280.20145,2.3934648,-4.6448827,1.3934648,0.020075958,47.076035,1.0,-47.076035,1.0,0.9433059,258.33023,1099.5277,308.28278,0.4968221,8.174432,90.26638,0.89681935,0.029277552,705.2899,-5730.0796,293.59473,6023.6743,0.006050543403625488,1579.1659834384918,55000
2.3906555,-4.635518,1.3906554,0.016330197,46.75553,1.0,-46.75553,1.0,0.8884898,48.927998,-36.97924,951.1942,246.01384,1112.3131,318.1015,4.6587005,0.048470378,3.2640016,0.753711,0.034924198,698.97864,1.0691737,280.96277,279.8936,2.3933718,-4.644573,1.3933718,0.019952167,49.155663,1.0,-49.155663,1.0,0.90163565,248.32614,1077.3859,329.2871,1.2763922,0.703598,20.295416,0.8396461,0.014646102,698.97,-456.84537,283.27463,740.12,0.0060477387428283695,1609.4046862125397,60000
2.3898716,-4.632905,1.3898715,0.015284847,47.06179,1.0,-47.06179,1.0,0.7944726,42.81113,-53.43346,685.2081,238.39252,1184.3712,332.30664,12.449234,0.028747318,2.8168778,0.7359899,0.022339998,694.129,14.752104,273.09897,258.34686,2.3941343,-4.6471143,1.3941343,0.020968653,48.145576,0.99999994,-48.145576,1.0,0.9093472,246.5668,1162.5892,330.81396,14.938339,0.8578491,26.186634,0.84385425,0.02782805,694.08234,-560.7138,281.27094,841.98474,0.006049893140792847,1639.6541604995728,65000
2.3935723,-4.645241,1.3935723,0.020219484,49.590485,1.0,-49.590485,1.0,0.77250576,33.9046,-34.145214,580.3414,222.42221,1247.3209,364.7429,13.41107,0.02810441,2.7522316,0.7479711,0.048093818,687.90216,15.062024,256.81732,241.7553,2.393326,-4.64442,1.393326,0.019891068,53.446712,0.99999994,-53.446712,1.0,0.9861443,237.84225,1222.3412,348.95465,7.4137583,0.3894085,15.775208,0.8627529,0.015180151,687.8868,-233.47461,272.2366,505.7112,0.006051309299468994,1669.9107155799866,70000
2.3915815,-4.638605,1.3915817,0.017565027,47.615494,1.0,-47.615494,1.0,0.7999332,54.293766,-49.740856,981.90125,232.18527,1185.9922,337.7313,12.878405,0.05150533,5.050245,0.75898767,0.027036425,696.46436,-1.0484089,267.00848,268.0569,2.3940356,-4.646785,1.3940356,0.02083682,52.66015,1.0,-52.66015,1.0,0.9826351,240.88966,1112.0676,334.54926,2.1875727,67.84925,264.29858,1.0787914,0.025028437,696.5956,-47228.656,275.72266,47504.38,0.006052239274978638,1700.1719195842743,75000
