training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
14.937898,-4.6459656,13.937898,0.020509338,7.108822,0.9999999,-7.108822,1.0,0.9990244,0.14746094,0.0070210947,-7.5760474,-7.577415,-6.1776314,3.2211328,0.012033608,2.3121504e-05,0.09313839,-0.07633306,1.1381905,14.914192,-4.6380644,13.914192,0.01734867,7.1684804,0.9999999,-7.1684804,1.0,0.99902344,0.119140625,0.007058109,-7.595994,-7.5973125,-6.2463865,0.20087549,0.00705166,2.7071172e-05,0.16446449127197266,822.3224725723267,5000
14.92445,-4.6414833,13.92445,0.018716369,7.104433,0.99999994,-7.104433,1.0,0.9990244,0.20800781,0.0063880538,-7.8756475,-7.877965,-5.505224,1.8892167,0.05071856,1.0037878e-05,0.09624599,-0.10439435,1.3115115,14.929604,-4.643221,13.929662,0.019411143,7.2442307,0.9999422,-7.2438126,1.0,0.9990244,0.17578125,0.0066247717,-7.869299,-7.8714166,-5.7030134,1.4194778,0.04249935,8.9992855e-06,0.002988691520690918,837.265939950943,10000
14.906656,-4.6356544,13.906964,0.016384818,6.8922124,0.99969214,-6.890091,1.0,0.999033,0.26953125,0.005533927,-8.648327,-8.652243,-4.64215,10.512458,0.13807766,1.1287758e-06,0.08800586,-0.084618405,1.0565523,14.915134,-4.638488,13.915463,0.017518144,7.2934995,0.99967086,-7.2911,1.0,0.99901485,0.20410156,0.006037661,-8.595555,-8.598982,-5.0900717,3.8188758,0.10968593,3.6518384e-06,0.0029943437099456786,852.2376680374146,15000
14.899906,-4.6336317,13.900894,0.015575557,6.8067703,0.9990122,-6.8000474,1.0,0.9990301,0.26660156,0.005399999,-8.923257,-8.927582,-4.499262,9.616106,0.16385578,4.131825e-06,0.096811265,-0.08540444,0.8674882,14.910493,-4.6371746,13.911524,0.01699289,7.0200167,0.99896866,-7.012778,1.0,0.9989939,0.20214844,0.006091993,-8.839394,-8.843156,-4.991335,6.4316545,0.16103785,2.589741e-06,0.002991034126281738,867.1928510665894,20000
14.923744,-4.641923,13.92577,0.01889223,6.812196,0.9979747,-6.7984,1.0,0.99903965,0.3125,0.0052086907,-9.1211405,-9.125912,-4.239994,6.3935933,0.21622896,1.7362045e-06,0.07564232,-0.11402496,1.3745323,14.908086,-4.6362886,13.908867,0.016638542,7.52565,0.99921936,-7.5197763,1.0,0.99898815,0.20117188,0.006143477,-9.104811,-9.108733,-5.091419,18.293165,0.18613403,6.33027e-07,0.0030436126708984373,882.4109270572662,25000
14.902006,-4.6345243,13.903572,0.015932653,6.6330996,0.9984344,-6.622716,1.0,0.9990511,0.3125,0.0048919185,-9.1890335,-9.1942,-3.9035273,14.165519,0.24658415,2.3918617e-06,0.0687061,-0.06174973,0.84544545,14.904052,-4.635002,13.905007,0.016123932,7.631189,0.9990442,-7.6238956,1.0,0.99900246,0.22265625,0.006149211,-9.147617,-9.151652,-5.0196056,10.549764,0.22542913,1.2368155e-07,0.0030054765701293946,897.438324213028,30000
14.899699,-4.6341243,13.902372,0.015772624,6.6695423,0.9973271,-6.651716,1.0,0.99903584,0.30664062,0.004726214,-9.490176,-9.495755,-3.7832813,9.017017,0.2510135,1.9495656e-07,0.06978463,-0.088357925,1.06132,14.895067,-4.63208,13.896241,0.014955013,7.814793,0.99882644,-7.805623,1.0,0.9989872,0.21484375,0.0061309924,-9.408141,-9.412351,-5.1015925,15.33982,0.2161645,2.5603157e-07,0.002997041130065918,912.4235410690308,35000
14.89475,-4.6332316,13.899695,0.0154156415,6.7512646,0.9950541,-6.717875,1.0,0.99908066,0.39453125,0.0043733474,-9.58758,-9.593744,-3.2812135,30.256899,0.42941526,5.2583283e-07,0.059165277,-0.044153597,0.6904713,14.903442,-4.6349235,13.904771,0.01609242,7.5564857,0.9986715,-7.5464478,1.0,0.99899864,0.19335938,0.0061653033,-9.605398,-9.60976,-5.142514,21.068356,0.21840695,4.5823822e-07,0.0029864176750183107,927.3556423187256,40000
14.89558,-4.6331406,13.899422,0.015379163,6.888008,0.9961586,-6.8615494,1.0,0.99905396,0.33398438,0.0045595802,-9.808403,-9.814549,-3.5194979,53.330902,0.42338398,3.0903686e-07,0.057996415,-0.07430046,0.9466109,14.894914,-4.6322036,13.896611,0.015004398,8.044689,0.99830246,-8.031034,1.0,0.99899197,0.22265625,0.006129661,-9.727967,-9.732536,-5.0535784,39.49397,0.2684792,2.7700725e-07,0.0029900904178619386,942.3061046600342,45000
14.903759,-4.6355896,13.906769,0.016358789,6.803854,0.99698985,-6.7833743,1.0,0.9990854,0.3876953,0.0043662624,-9.937276,-9.943703,-3.361675,95.907074,0.43489984,5.2908644e-07,0.08267641,-0.071019895,0.98806405,14.895259,-4.63238,13.897139,0.015074815,7.940738,0.99812067,-7.925816,1.0,0.99897385,0.18652344,0.0064702467,-9.83465,-9.838994,-5.3912416,58.553814,0.26874283,1.6165997e-07,0.002994313049316406,957.2776873111725,50000
14.9082,-4.637259,13.911777,0.017026532,6.709992,0.9964233,-6.685993,1.0,0.99907684,0.36816406,0.0044104345,-10.051921,-10.058435,-3.3878245,23.827652,0.42343092,9.5559116e-08,0.0642531,-0.033862855,0.77677786,14.8955,-4.6324863,13.897459,0.015117399,8.296251,0.9980414,-8.280004,1.0,0.9989376,0.18554688,0.0063432823,-9.971483,-9.976063,-5.2858105,31.383204,0.24149656,3.0823568e-07,0.0030268765926361085,972.4120807647705,55000
