training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
5.641903,-4.6419044,4.6419044,0.018884769,17.263943,0.99999875,-17.263924,1.0,0.7234117,0.0,-13.5083065,-20.755548,0.38163304,-0.5140931,14.701708,0.7488473,-12.894389,-19.901663,0.05654814,5.6541433,-4.654152,4.654152,0.023783887,17.138567,0.9999913,-17.13842,1.0,0.4524427,0.0,-13.877406,-20.892767,0.6606782,-13.230917,-20.0831,0.053595077,0.19345166611671447,967.2583508491516,5000
5.6425085,-4.6425085,4.6425085,0.019126542,24.576103,0.99999994,-24.576103,1.0,1.013073,0.0,-17.816227,-34.2093,0.44627494,-0.7387046,28.64048,0.76102763,-17.301945,-33.782307,0.09784337,5.6458683,-4.6458683,4.6458683,0.020470226,24.66296,0.9999999,-24.66296,1.0,1.0349905,0.0,-19.111683,-34.23042,0.83623326,-18.602173,-33.673405,0.088094875,0.0027369281768798827,980.9430010318756,10000
5.6462083,-4.6462173,4.6462173,0.020609982,28.57547,0.9999911,-28.575216,1.0,1.5817583,0.0,-21.98518,-44.176655,0.3283526,-0.57779217,26.372257,0.7877026,-21.466997,-43.2523,0.14116716,5.6456122,-4.6456122,4.6456122,0.020367816,28.70525,1.0,-28.70525,1.0,1.384335,0.0,-21.873352,-43.36691,0.5375212,-21.41737,-43.915348,0.1343664,0.002828959369659424,995.0878074169159,15000
5.6451654,-4.6451883,4.6451883,0.0201984,28.842228,0.999977,-28.841564,1.0,1.2644007,0.0,-21.094347,-48.95894,0.91667986,-0.456541,33.73645,0.76721656,-20.623455,-48.81191,0.17985752,5.644262,-4.644267,4.644267,0.019829983,28.692234,0.99999464,-28.692081,1.0,1.4250879,0.0,-22.215385,-47.35603,0.78454316,-21.751934,-46.94102,0.16493845,0.0029865568161010743,1010.0206010341644,20000
5.6500735,-4.650081,4.650081,0.022155307,28.843338,0.9999923,-28.843117,1.0,1.7677976,0.0,-22.14869,-47.06845,0.9622287,-0.6005522,42.06097,1.2151208,-21.701805,-46.62202,0.21397543,5.649991,-4.649994,4.649994,0.022120466,29.150627,0.99999726,-29.150549,1.0,1.6478837,0.0,-22.419806,-46.71987,1.2290776,-21.869835,-46.57459,0.20832957,0.00271036376953125,1023.5724284648895,25000
5.6518326,-4.6518326,4.6518326,0.022855893,29.151194,0.99999994,-29.151194,1.0,1.0086702,0.0,-23.203003,-47.31185,0.34983376,-0.37491086,21.889439,0.7843606,-22.706596,-46.44897,0.16255748,5.6504707,-4.6504707,4.6504707,0.02231119,29.841702,0.99999994,-29.841702,1.0,1.0336167,0.0,-22.380327,-50.77289,0.7337111,-21.81364,-50.443157,0.16555345,0.002742590045928955,1037.285388469696,30000
5.6448197,-4.644843,4.644843,0.020060165,30.27962,0.9999766,-30.27891,1.0,1.3469162,0.0,-23.221272,-50.878033,0.9155172,-0.49075383,32.056297,0.7886465,-22.739998,-48.415302,0.15117553,5.645822,-4.6458373,4.6458373,0.020457909,29.493366,0.9999847,-29.492916,1.0,1.1208379,0.0,-22.855267,-47.771786,0.7310474,-22.376825,-47.80312,0.1768573,0.0027549333572387696,1051.0600683689117,35000
5.6483164,-4.6483164,4.6483164,0.021449465,31.334747,0.99999994,-31.334747,1.0,1.4108808,0.0,-24.329556,-54.021076,0.8082692,-0.9878753,32.704025,0.78756213,-23.832882,-53.91332,0.15306112,5.642666,-4.642666,4.642666,0.019189307,31.50008,0.9999999,-31.50008,1.0,1.1777792,0.0,-23.500004,-52.543365,0.85816336,-22.916164,-52.392994,0.17925213,0.002955591058731079,1065.838033914566,40000
5.6403027,-4.6403027,4.6403027,0.018243998,31.07193,0.99999994,-31.07193,1.0,1.2517478,0.0,-24.247484,-51.213917,0.5406786,-0.66491705,29.70253,0.9061981,-23.748508,-50.412426,0.16288844,5.645047,-4.645047,4.645047,0.020141765,31.402136,0.99999994,-31.402136,1.0,1.3993733,0.0,-24.69479,-53.91102,0.7513006,-24.242176,-53.45556,0.15495795,0.0027290164470672607,1079.4831252098083,45000
5.6401534,-4.6401625,4.6401625,0.018187953,32.660202,0.99999076,-32.6599,1.0,1.007696,0.0,-24.19593,-49.77553,0.3779524,-0.30188543,20.33474,0.7416632,-23.75821,-49.57957,0.16110016,5.6387014,-4.6387014,4.6387014,0.017603619,31.350494,0.99999994,-31.350494,1.0,1.1064866,0.0,-24.15064,-53.90815,0.8070804,-23.70622,-53.448917,0.16118109,0.002744141960144043,1093.203842639923,50000
