training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
122.49776,0.10176854,-4.650045,0.022140855,1.0,0.6594952,-0.35467917,11.184412,0.5619618,-14.532185,-24.714235,0.18567267,121.24057,0.11035963,-4.6474648,0.021108825,1.0,0.565433,-14.804775,-25.318188,0.1751539,0.17985739188194275,899.2869880199432,5000
182.11984,0.09921713,-4.643214,0.019408574,1.0,1.9657528,-0.8385843,23.97662,0.6510483,-19.490715,-38.95312,0.35601705,182.35376,0.073134005,-4.6405277,0.018334,1.0,0.599389,-19.387249,-39.159218,0.40038192,0.0025419209957122805,911.9966170787811,10000
198.44623,0.07591466,-4.64101,0.018527,1.0,1.1100831,-1.5745289,25.525034,0.70787024,-20.998749,-44.939796,0.37515306,190.2266,0.08023143,-4.6387625,0.017627943,1.0,0.67848635,-21.200678,-46.663136,0.43892264,0.0024729596614837647,924.361442565918,15000
197.82925,0.12011038,-4.638487,0.017517721,1.0,0.90101933,-1.1418967,22.700699,0.4959829,-22.553593,-47.55004,0.4966976,198.25375,0.12721676,-4.6416636,0.018788576,1.0,0.36407745,-22.55927,-49.57379,0.493972,0.002510840892791748,936.9156737327576,20000
205.60373,0.12148315,-4.6385183,0.017530372,1.0,0.7041296,-1.0354869,17.281918,1.0274684,-23.62574,-53.165325,0.4144735,214.58896,0.18834098,-4.638029,0.017334558,1.0,0.5846412,-22.803867,-51.290623,0.46754515,0.002572646522521973,949.7789342403412,25000
201.81107,0.0821412,-4.6411066,0.01856562,1.0,1.156836,-1.131305,22.732218,0.5140772,-24.172066,-50.492306,0.38295206,204.8503,0.13786194,-4.643153,0.019384092,1.0,0.568733,-24.069319,-51.27489,0.32564476,0.0024061264514923094,961.8095932006836,30000
207.6026,0.20812757,-4.636986,0.016917327,1.0,0.67157614,-1.2489403,20.94639,0.5632286,-25.29669,-55.580887,0.44545972,204.11426,0.1337049,-4.641527,0.018733755,1.0,0.57459366,-25.271954,-53.928036,0.53845435,0.0025035584926605225,974.3274095058441,35000
185.14699,0.12648982,-4.633719,0.015610643,1.0,0.583962,-0.67504966,16.063763,1.1851892,-25.84296,-60.001556,0.35008633,202.16756,0.1391816,-4.6325974,0.015162088,1.0,0.6546847,-26.081604,-56.05962,0.4333654,0.0025440861225128173,987.0478694438934,40000
199.35399,0.17638204,-4.633312,0.015448029,1.0,1.0691636,-1.0541284,17.196617,0.541275,-27.25752,-65.27491,0.3104399,189.17978,0.15164721,-4.635455,0.016305035,1.0,0.46324578,-27.044273,-57.783417,0.3047295,0.002636523103713989,1000.230509519577,45000
191.14267,0.119217895,-4.6343164,0.015849568,1.0,0.92771065,-0.52238166,18.336018,0.52683914,-26.846716,-69.964035,0.37340733,200.9063,0.18198502,-4.6368017,0.016843583,1.0,0.47463512,-27.808022,-65.78104,0.38855225,0.0023478747367858886,1011.969922542572,50000
