training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
2.3915534,-4.6385117,1.3915535,0.017527545,98.68672,1.0,-98.68672,1.0,1.4040468,7.8015165,-40.810684,273.5528,385.82867,328.96103,116.81088,1.2993413,6.8962803,8.849815,3.1941812,0.21755451,5.9610014,-40.810684,386.1267,426.9374,2.3947215,-4.6490707,1.3947214,0.02175147,102.521164,1.0,-102.521164,1.0,1.3736595,388.0221,289.53955,114.56483,1.3616195,6.955135,9.708623,3.2302308,0.17053477,5.9625072,-41.171917,388.32022,429.49213,0.1904087139606476,952.0435931682587,5000
2.3928645,-4.6428814,1.3928645,0.019275565,55.270775,1.0,-55.270775,1.0,0.97117937,9.024472,-17.419004,244.90283,435.35242,612.63574,66.82666,0.28758746,0.940469,5.545419,1.7445097,0.2518112,19.561605,-17.419004,436.3305,453.7495,2.3940346,-4.646782,1.3940346,0.020835752,54.265694,1.0,-54.265694,1.0,1.081353,435.476,611.6849,66.32228,0.66207194,0.83983463,5.215469,1.6864648,0.19719613,19.566147,-15.4540205,436.4543,451.90833,0.006103497838973999,982.561098575592,10000
2.3938448,-4.646149,1.3938448,0.02058262,36.889004,1.0,-36.889004,1.0,0.74753535,9.138524,-8.612461,166.84656,454.56662,719.5958,47.486137,0.45446005,0.10768926,2.8876345,1.1554968,0.26360488,58.61276,-3.3813267,457.49725,460.87857,2.3937972,-4.6459904,1.3937972,0.02051911,36.35275,1.0,-36.35275,1.0,0.6491842,457.69934,727.77814,43.866745,0.36655447,0.4912028,20.296608,1.1854069,0.33032647,58.622597,-25.864452,460.6305,486.49493,0.006110349798202515,1013.1128733158112,15000
2.392593,-4.6419764,1.3925931,0.018913692,30.934675,0.9999999,-30.934675,1.0,0.52682984,5.8146214,-6.0043883,132.86281,461.21414,655.9557,40.66398,0.5786913,0.047762476,2.3707898,1.0211117,0.17854403,101.98959,0.22820425,466.31363,466.08542,2.3927202,-4.6424007,1.3927202,0.019083222,30.841745,1.0,-30.841745,1.0,0.5695692,462.0893,728.50525,39.562714,1.3894016,0.06843722,4.0686293,1.0250118,0.18343568,101.99543,-1.880512,467.18906,469.06958,0.006107084465026855,1043.648306131363,20000
2.3951726,-4.6505747,1.3951726,0.022353036,31.224012,0.9999999,-31.224012,1.0,0.52767384,7.256832,-11.494301,198.64859,462.46515,790.3917,39.23649,0.3684429,0.04845655,2.6351876,1.0304711,0.24381275,109.34543,0.16876931,467.9324,467.76364,2.3949132,-4.6497107,1.3949132,0.022007149,32.455067,1.0,-32.455067,1.0,0.4519657,461.79034,757.39966,39.883156,1.318552,0.04909804,3.0112333,1.0385958,0.20698473,109.34391,0.09862381,467.25754,467.1589,0.006151098203659057,1074.4038112163544,25000
2.3962069,-4.654022,1.3962067,0.023731885,30.769863,1.0,-30.769863,1.0,0.47198287,3.6056376,-4.4995937,116.835205,461.14746,845.15564,41.857433,1.0622352,0.042266026,3.2218373,1.0089577,0.18556675,108.26452,0.837315,466.56067,465.72336,2.3958142,-4.6527133,1.3958142,0.023208296,30.698952,0.99999994,-30.698952,1.0,0.4779179,460.64847,867.27277,41.837906,1.2596146,0.051429838,2.239291,1.0407419,0.26302132,108.26064,-0.1547951,466.06152,466.2163,0.006106971073150635,1104.9386825561523,30000
2.3933148,-4.644383,1.3933148,0.019876124,31.82826,0.99999994,-31.82826,1.0,0.47809455,6.827148,-5.247748,170.1387,459.49097,895.16614,43.50286,1.0144831,0.037805382,2.2854285,1.0318378,0.28059673,108.10306,1.3182756,464.89612,463.57785,2.3935852,-4.6452837,1.3935852,0.02023657,32.074005,0.99999994,-32.074005,1.0,0.5269201,458.86984,906.0421,44.782566,0.8998979,0.12793134,10.030067,1.0674164,0.27340817,108.10007,-8.424383,464.27484,472.69922,0.006141549777984619,1135.6464462280273,35000
2.394623,-4.6487436,1.394623,0.021620397,33.64024,1.0,-33.64024,1.0,0.51627415,9.078519,-5.5235925,246.15543,457.88245,926.65625,46.37698,2.4886427,0.062446877,4.168099,1.062006,0.12184927,108.34198,-1.3485192,463.29956,464.64807,2.3938375,-4.646124,1.3938373,0.020572536,33.260437,1.0,-33.260437,1.0,0.56642365,459.02426,913.8009,44.02526,1.6764989,0.048679113,2.6321666,1.0607321,0.09847623,108.341156,0.14310646,464.4413,464.29822,0.006137711524963379,1166.335022687912,40000
2.3934703,-4.644901,1.3934703,0.020083293,32.93332,1.0,-32.93332,1.0,0.61342776,4.940272,-6.7064943,184.46887,457.48312,946.6985,47.432102,0.6248809,0.055319984,2.6431816,1.0659735,0.15370005,108.54469,-0.5774559,462.91037,463.48782,2.3944483,-4.648161,1.3944484,0.021387374,33.659966,1.0,-33.659966,1.0,0.5413239,459.70255,947.2738,43.977997,0.4220647,0.058152854,4.470301,1.0585533,0.37889224,108.5437,-0.8849409,465.12973,466.01468,0.006108812522888183,1196.8791017532349,45000
2.3938415,-4.646138,1.3938415,0.020578204,34.507988,1.0,-34.507988,1.0,0.53450036,9.016612,-5.5421443,126.43278,456.53928,971.19385,49.72051,1.8087399,0.04562007,2.4848325,1.054982,0.11984579,108.45208,0.47501272,461.96188,461.48688,2.393419,-4.6447296,1.393419,0.020014897,32.443996,0.99999994,-32.443996,1.0,0.5986053,460.15375,952.5506,42.59047,1.6393325,0.044584874,2.9838066,1.0604825,0.25848314,108.45368,0.5872904,465.57642,464.98914,0.006108745098114014,1227.422843694687,50000
