training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
14.935776,-4.65535,13.966051,0.024263082,4.6775255,0.96972513,-4.535915,1.0,0.9992256,0.6074219,0.0027438481,-20.277172,-20.295467,-1.5616751,22.75315,1.032912,2.0957466e-06,0.12002897,-0.12254669,1.8455143,14.9741955,-4.6667557,14.000267,0.028825274,4.8674617,0.9739288,-4.7405624,1.0,0.9987898,0.3388672,0.0040959115,-20.342714,-20.360697,-1.947026,111.549675,0.953494,7.446091e-10,0.24081227288246154,1204.0613803863525,5000
14.862455,-4.6524577,13.957373,0.023105998,4.100831,0.9050824,-3.7115908,1.0,0.99935055,0.7128906,0.0021152466,-21.301155,-21.32155,-0.4387672,205.1641,3.2204654,5.2920143e-07,0.068439245,-0.11857098,1.8818159,14.9015875,-4.6565466,13.96964,0.024741597,4.768344,0.9319475,-4.443847,1.0,0.99831295,0.3642578,0.0046069347,-21.064291,-21.083775,-1.1316558,333.25677,3.4860816,2.2618944e-14,0.002946223735809326,1218.7925069332123,10000
14.817273,-4.649774,13.949322,0.02203251,3.6714334,0.867951,-3.186625,1.0,0.9994564,0.7890625,0.0016549096,-21.13587,-21.156523,-0.0075642318,128.83382,3.9833398,3.5945963e-05,0.07580073,-0.079488605,0.9390565,14.894962,-4.6530576,13.959172,0.023345998,5.762706,0.9357901,-5.392684,1.0,0.998312,0.3408203,0.0050383415,-20.916733,-20.935667,-1.545763,672.06366,4.629089,2.7802047e-10,0.0029548703670501707,1233.5668659210205,15000
14.715299,-4.6425424,13.927628,0.019139966,3.5089245,0.7876712,-2.7638795,1.0,0.99948215,0.8183594,0.00147451,-21.659851,-21.68138,0.36445722,189.49196,5.861811,4.7198012e-07,0.058843616,-0.05048693,0.7107277,14.845959,-4.646359,13.939077,0.020666609,5.784403,0.9068818,-5.2457705,1.0,0.9982414,0.3359375,0.0052990224,-21.673935,-21.693695,-1.4601812,1026.3978,6.8215866,5.8601333e-13,0.00295422477722168,1248.3379974365234,20000
14.712182,-4.6393495,13.918048,0.017862687,3.3636844,0.7941338,-2.671216,1.0,0.99950695,0.828125,0.001306832,-21.796076,-21.817825,0.45261854,276.43045,5.398566,2.2889624e-05,0.058627564,-0.051471286,0.7528261,14.859346,-4.6440506,13.93215,0.019743046,6.414304,0.9271963,-5.94732,1.0,0.9981499,0.37109375,0.0058562285,-21.807796,-21.82739,-1.7609886,682.29047,8.257437,1.2704928e-11,0.0029639131546020507,1263.1575710773468,25000
14.716324,-4.645607,13.936823,0.020365946,3.2229953,0.77950114,-2.512329,1.0,0.9995365,0.8613281,0.0011802567,-22.071014,-22.093132,0.5575621,143.88943,5.322059,9.2444e-06,0.037436746,-0.090802945,0.8704269,14.883211,-4.649907,13.94972,0.022085734,6.826414,0.93349093,-6.372397,1.0,0.99818325,0.3486328,0.0057240026,-22.002026,-22.021833,-1.7407769,18757.443,18.392994,2.6025807e-10,0.002944448471069336,1277.8798215389252,30000
14.641542,-4.6437597,13.93128,0.019626947,3.026698,0.7102624,-2.1497507,1.0,0.9995718,0.8574219,0.0010950421,-22.166046,-22.188555,0.8610182,126.54085,5.7973537,2.0582862e-05,0.10580564,-0.049062617,0.9489531,14.877134,-4.644471,13.9334135,0.019911427,7.1697145,0.94372034,-6.7662063,1.0,0.99821377,0.33984375,0.00565439,-21.656088,-21.675232,-2.0716949,1324.2677,6.4502616,7.634622e-12,0.002965307950973511,1292.7063691616058,35000
14.616419,-4.643962,13.931887,0.019707864,3.055585,0.68453264,-2.091648,1.0,0.99958515,0.8720703,0.0010701616,-21.995304,-22.017828,1.0456407,672.5798,7.486002,0.0001076306,0.04319957,-0.035991907,0.80001354,14.864092,-4.645709,13.937127,0.020406602,6.589832,0.926965,-6.108544,1.0,0.99824715,0.3330078,0.005787903,-21.873314,-21.892632,-2.1124434,1301.1011,8.865416,2.825988e-12,0.002961671829223633,1307.5147359371185,40000
14.6332655,-4.640812,13.922437,0.018447775,3.0711365,0.71082884,-2.183053,1.0,0.9995384,0.8544922,0.0011639091,-21.608856,-21.630756,0.7935571,277.86963,6.7222285,2.4869457e-06,0.041984726,-0.040728077,0.75976515,14.896537,-4.6484547,13.945364,0.021504803,7.197174,0.951173,-6.8457584,1.0,0.9982691,0.3388672,0.0056398497,-21.324287,-21.34298,-2.2027297,1750.8462,7.2846136,8.3117506e-11,0.0029711469650268553,1322.3704781532288,45000
14.591038,-4.6404886,13.921467,0.018318553,2.8035789,0.6695705,-1.8771944,1.0,0.9995775,0.8798828,0.0010419426,-21.622894,-21.644936,0.9274257,133.41487,6.136808,4.9298174e-05,0.04381051,-0.051602997,0.71159434,14.8953705,-4.646106,13.938318,0.020565338,7.344536,0.9570527,-7.029109,1.0,0.9983511,0.34277344,0.00567774,-21.480387,-21.498934,-2.5049653,1318.9802,6.31513,1.712764e-12,0.002963215923309326,1337.1865649223328,50000
14.553477,-4.636343,13.909029,0.016660267,2.9357414,0.64444804,-1.8919334,1.0,0.99954987,0.85839844,0.0011018976,-21.50561,-21.527576,0.96732223,161.3372,7.019825,4.0918527e-05,0.04205779,-0.08825361,0.96531165,14.888085,-4.6453266,13.935981,0.020253763,7.4685373,0.95210487,-7.1108317,1.0,0.998291,0.32714844,0.0058552013,-21.598495,-21.617235,-2.4285579,1061.4437,7.1814356,9.985102e-11,0.0029626943111419678,1352.0000438690186,55000
14.577098,-4.637653,13.91296,0.017184174,2.7153697,0.6641377,-1.80338,1.0,0.9995518,0.8574219,0.0010377339,-21.757328,-21.779451,0.8727963,150.53496,6.188792,1.9328754e-06,0.04513155,-0.06303875,0.7488047,14.900561,-4.6490498,13.947149,0.02174287,7.3076887,0.95341164,-6.967236,1.0,0.9984503,0.3173828,0.005480877,-21.29121,-21.30949,-2.5902913,731.4238,5.4086723,2.601717e-10,0.00296048641204834,1366.8024830818176,60000
14.425673,-4.6364393,13.909317,0.016698565,2.6312218,0.5163556,-1.3586466,1.0,0.99961185,0.8798828,0.00094862736,-21.08478,-21.106611,1.2489015,370.34763,7.9483695,0.00026384907,0.07090606,-0.056399755,0.82940525,14.878411,-4.646197,13.938591,0.020601748,7.3135443,0.9398203,-6.8734183,1.0,0.9982319,0.34375,0.006065255,-21.200104,-21.218481,-2.399849,2154.2463,7.8575344,4.6230894e-11,0.0029723126888275145,1381.664055109024,65000
14.545457,-4.631674,13.8950205,0.014792341,3.0609226,0.6504368,-1.9909375,1.0,0.99961185,0.88671875,0.00096666836,-21.270264,-21.292149,1.117414,298.17938,7.2329063,2.1095297e-05,0.065563,-0.04877551,0.7720511,14.908973,-4.648994,13.946982,0.021720538,7.5413804,0.96199,-7.254733,1.0,0.99842167,0.30859375,0.00549771,-20.787142,-20.804789,-2.7356787,1296.9912,4.7157135,7.2401335e-10,0.002965936326980591,1396.493744134903,70000
14.458166,-4.6379213,13.913764,0.017291492,2.7891574,0.54440254,-1.518425,1.0,0.99965286,0.89453125,0.0009160378,-20.98259,-21.004353,1.2831348,428.07687,8.728634,1.71394e-05,0.05801798,-0.041305117,0.73775226,14.90038,-4.6475387,13.9426155,0.021138418,7.16163,0.9577645,-6.8591557,1.0,0.9984331,0.328125,0.005535278,-20.636124,-20.653862,-2.4884257,1061.3369,8.465355,6.5551817e-09,0.002977738952636719,1411.382446050644,75000
14.509701,-4.6372156,13.911648,0.017009277,2.7358117,0.5980526,-1.6361599,1.0,0.99959755,0.88671875,0.0009979653,-20.918144,-20.939665,1.0975523,309.0669,6.863687,6.089521e-05,0.07475543,-0.042457566,0.87469685,14.881616,-4.646287,13.938861,0.02063772,7.428411,0.9427546,-7.0031695,1.0,0.998291,0.3310547,0.0057768757,-20.830406,-20.84851,-2.3090024,465.4157,6.435808,1.1280885e-09,0.0029641639709472654,1426.2032723426819,80000
14.500437,-4.634817,13.904451,0.016049927,2.6721725,0.5959857,-1.5925772,1.0,0.99964714,0.8779297,0.00088496343,-21.021528,-21.043165,1.113172,377.6609,7.470827,1.0370203e-05,0.056886338,-0.060616758,0.7761272,14.914054,-4.652556,13.957667,0.023145337,7.4404273,0.9563869,-7.1159286,1.0,0.9984846,0.3544922,0.005362984,-20.708437,-20.726158,-2.58233,693.0218,6.004083,3.877259e-09,0.0029700923919677735,1441.0537424087524,85000
14.502544,-4.6384287,13.915285,0.017494315,2.6589217,0.5872588,-1.5614758,1.0,0.9995899,0.87597656,0.0010068624,-21.003345,-21.024912,1.0587738,95.95478,6.629528,0.0007391247,0.043545447,-0.08733036,0.91981214,14.902129,-4.6474705,13.94241,0.02111095,7.557639,0.95971835,-7.253206,1.0,0.9984112,0.35546875,0.0055420473,-20.785702,-20.803526,-2.550873,486.49414,6.081197,1.5525439e-09,0.0029701167106628416,1455.904333114624,90000
14.50571,-4.64015,13.920449,0.018182863,2.6742737,0.5852601,-1.5651462,1.0,0.9996233,0.86816406,0.00097458734,-20.846443,-20.867977,1.1865057,201.93083,7.2726827,2.0041448e-07,0.060967896,-0.033067282,0.7788238,14.935186,-4.6561985,13.9685955,0.024602417,7.848369,0.9665909,-7.586163,1.0,0.99846363,0.34472656,0.005584751,-20.682053,-20.699638,-2.6924033,800.7469,5.722347,2.2493223e-11,0.002980356788635254,1470.8061244487762,95000
14.542147,-4.6340075,13.902021,0.015725782,2.7637036,0.64012486,-1.7691159,1.0,0.9995985,0.88964844,0.00094990013,-20.777714,-20.799051,1.0511625,171.0553,6.5038867,0.00017127694,0.04249191,-0.05737848,0.80142975,14.896886,-4.645257,13.93577,0.02022565,7.524106,0.96111584,-7.2315383,1.0,0.9984875,0.3623047,0.005241454,-20.695728,-20.71364,-2.3687086,4747.1406,9.072242,9.747237e-10,0.0029643666744232178,1485.6279647350311,100000
14.494197,-4.6349616,13.904885,0.01610773,2.7501783,0.58931166,-1.6207128,1.0,0.9996338,0.8886719,0.00088778767,-21.016628,-21.03833,1.181347,152.13943,7.0145454,4.2525897e-07,0.032307982,-0.06614582,0.80687,14.909621,-4.6469045,13.940714,0.020884765,8.000513,0.96890736,-7.751757,1.0,0.9984789,0.3544922,0.0054792166,-20.65226,-20.669765,-2.7443874,622.77716,5.359645,3.9231964e-12,0.21328601441383363,2552.0580451488495,105000
