training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
133.34993,0.09329854,-4.658514,0.025528377,1.0,1.6758962,-0.46314535,21.31567,0.761062,-14.289171,-25.071331,0.22892296,124.40947,0.09509442,-4.6520996,0.022962747,1.0,0.6809956,-14.43251,-25.21278,0.22542128,0.1690935276031494,845.4676795005798,5000
188.3964,0.08323143,-4.644477,0.019913701,1.0,2.3663938,-0.93547,22.721174,0.7557522,-19.423065,-39.621124,0.48842984,188.36201,0.100341484,-4.649294,0.021840453,1.0,0.62309897,-19.7947,-39.50201,0.49100095,0.0023808130741119387,857.371768951416,10000
192.95694,0.1339699,-4.640503,0.018324157,1.0,1.2139139,-0.61651134,23.812132,0.8069302,-20.30085,-43.820156,0.37095493,196.78595,0.124474056,-4.6427984,0.019242302,1.0,0.5752503,-20.753078,-43.350666,0.3558759,0.0023829240322113037,869.2864134311676,15000
199.9028,0.118652135,-4.636077,0.016553886,1.0,0.633844,-1.3838286,19.776907,0.8983587,-21.93171,-47.484802,0.40003863,200.9457,0.14966005,-4.6450634,0.020148188,1.0,0.5695162,-22.051603,-46.136993,0.4267828,0.002402845096588135,881.3006734848022,20000
198.47874,0.050282005,-4.6455317,0.020335542,1.0,0.9110538,-1.3445361,25.829685,0.67525554,-23.193638,-51.49276,0.35056925,206.26973,0.10926381,-4.640012,0.018127808,1.0,0.76330304,-23.08047,-48.3377,0.36364254,0.0023613102436065674,893.1072640419006,25000
207.20554,0.17261803,-4.6373615,0.017067578,1.0,0.77851224,-1.2000284,21.37616,0.57883185,-22.855268,-57.97444,0.41240105,208.85114,0.1603334,-4.641655,0.018784856,1.0,0.6964474,-23.73507,-52.07697,0.3831253,0.0023581907749176023,904.8982429504395,30000
204.54697,0.17732528,-4.636264,0.016628576,1.0,0.7591156,-1.0887433,18.869059,0.7307945,-25.017185,-53.688164,0.34779963,200.25287,0.10877557,-4.6365895,0.016758889,1.0,0.63503194,-24.681211,-57.76073,0.4712695,0.002348397397994995,916.6402571201324,35000
194.8146,0.10057701,-4.63614,0.016578844,1.0,1.4447933,-0.9323106,18.846611,0.9118197,-25.447735,-56.187817,0.34215343,210.84567,0.16192791,-4.636129,0.01657464,1.0,0.5452522,-25.487127,-55.427826,0.4247267,0.0023617300033569335,928.4489321708679,40000
199.49539,0.11160287,-4.6331835,0.015396515,1.0,0.6227704,-1.4015133,18.83119,0.7073948,-26.42828,-59.296646,0.42565203,189.85596,0.085705094,-4.636573,0.016752,1.0,0.8302403,-27.840357,-63.090385,0.45113218,0.0023810626983642577,940.3542778491974,45000
204.18457,0.13147166,-4.6381283,0.017374313,1.0,1.53916,-0.7983981,22.353445,0.76907384,-27.402992,-63.719215,0.40445,207.04276,0.18288368,-4.6343436,0.015860474,1.0,0.43395284,-26.872019,-61.468285,0.38341272,0.0023486259460449217,952.097430229187,50000
