training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
100.66754,0.8311845,-2.089148,0.99742126,0.6484375,0.010964844,-10.547081,-10.582577,-1.4955533,39.209454,2.3888729,3.5309515e-07,3.6721058,-4.111645,154.21518,0.99609375,0.00390625,0.025559511,-5.540238,-5.5402374,-5.540238,0.003990952,0.003926086,0.0038793366,83.62714,0.07417345,-2.0764554,0.997345,0.6171875,0.012357096,-10.426365,-10.460963,-1.6034571,77.30217,3.2406187,7.2429344e-07,0.99609375,0.00390625,0.02555953,-5.540693,-5.5406933,-5.5406933,0.004012422,0.0039237826,0.0038545968,0.1372467794418335,686.2339479923248,5000
98.9227,1.3450854,-2.025598,0.99816895,0.7421875,0.00881557,-10.825588,-10.866795,-0.31785417,364.14062,11.900161,2.9242997e-08,7.5812116,-9.540226,230.46616,0.99609375,0.00390625,0.02556149,-5.509205,-5.5092044,-5.509205,0.004071052,0.004048324,0.0040231245,92.6505,0.91715926,-2.0028381,0.99809265,0.7578125,0.008268345,-10.922825,-10.965169,-0.1250284,861.1292,13.316765,1.2629698e-06,0.99609375,0.00390625,0.02556089,-5.5683994,-5.5683994,-5.5683994,0.003841884,0.0038168256,0.0037781051,0.015927664709091186,765.8723118305206,10000
109.40993,2.1734009,-1.9533899,0.9983978,0.80078125,0.0065133995,-11.967849,-12.018091,0.84435725,1434.0667,42.206924,9.584068e-06,5.1021624,-11.060442,256.29303,0.99609375,0.00390625,0.025559522,-5.53561,-5.5356097,-5.5356097,0.0039492114,0.003944166,0.0039396137,105.01089,1.2858009,-2.0386908,0.99801636,0.73828125,0.008716697,-11.535952,-11.581857,0.16999209,2946.1265,36.739147,5.650683e-07,0.99609375,0.00390625,0.02555959,-5.549432,-5.5494313,-5.549431,0.0038937398,0.003889592,0.0038859255,0.014872092771530152,840.2327864170074,15000
107.30409,1.8395208,-1.990372,0.998703,0.82421875,0.00619446,-13.0016985,-13.056383,0.9430206,11855.199,81.81616,3.7941706e-07,5.3448806,-6.057869,243.88916,0.99609375,0.00390625,0.02555994,-5.55719,-5.55719,-5.5571866,0.003863339,0.0038591877,0.0038549276,99.10582,0.9359561,-2.0517807,0.9980774,0.73046875,0.009807164,-12.934133,-12.9831,-0.44719368,5275.121,43.73961,5.209463e-07,0.99609375,0.00390625,0.025559979,-5.5248356,-5.524835,-5.5248327,0.0039926516,0.003986371,0.003981038,0.014862840509414672,914.5470025539398,20000
119.187454,2.3818822,-2.016675,0.9990082,0.89453125,0.0047613294,-13.403154,-13.463012,1.8604794,18322.332,153.18355,1.5605066e-05,7.5813584,-9.182338,252.17122,0.99609375,0.00390625,0.025559476,-5.5399847,-5.539984,-5.5399847,0.0039266413,0.0039122887,0.003889177,88.27696,0.4166175,-1.976307,0.99786377,0.73828125,0.0090890955,-13.272188,-13.324193,-0.011027027,8485.799,59.999905,1.2813346e-07,0.99609375,0.00390625,0.025559474,-5.541031,-5.5410304,-5.541031,0.0039286283,0.0039088065,0.0038886394,0.014760259675979614,988.3483121395111,25000
118.978165,3.0189683,-1.911437,0.99894714,0.890625,0.004615778,-13.762358,-13.823071,1.7195022,15203.632,162.47159,2.5994011e-06,5.2512217,-5.8457837,249.09407,0.99609375,0.00390625,0.02555946,-5.541428,-5.541428,-5.541428,0.0039350516,0.003921238,0.003912573,79.81268,-0.39540872,-1.9843726,0.99801636,0.7421875,0.009306543,-13.979025,-14.033911,0.016780058,3680.6057,87.43542,7.363069e-08,0.99609375,0.00390625,0.02555946,-5.5414667,-5.541467,-5.541467,0.0039315596,0.00392137,0.0039070416,0.014741471433639526,1062.0556812286377,30000
118.87491,2.5767088,-1.9766884,0.9990845,0.91015625,0.004642234,-14.415635,-14.4804945,2.1238017,45301.44,549.3351,2.855436e-08,18.115652,-5.2260976,346.09805,0.99609375,0.00390625,0.025559507,-5.53642,-5.53642,-5.5364194,0.0039474494,0.0039399867,0.003934076,76.84002,-1.0232418,-2.0128522,0.998291,0.75390625,0.010066444,-14.6703,-14.726188,-0.41882935,21715.543,119.87674,1.14725666e-10,0.99609375,0.00390625,0.025559511,-5.5463514,-5.5463514,-5.5463514,0.0039085136,0.0039031,0.0038982043,0.014725426197052001,1135.6828207969666,35000
132.236,3.8418052,-1.956867,0.9992218,0.921875,0.0036164536,-15.336458,-15.406774,2.594254,15204.096,298.12277,3.3991157e-06,7.2862597,-10.858759,247.0586,0.99609375,0.00390625,0.02555946,-5.541168,-5.5411687,-5.5411687,0.003923585,0.0039212904,0.003919561,80.431046,-0.23609836,-1.9004946,0.99801636,0.7578125,0.009588064,-15.247049,-15.306191,-0.16567148,7353.399,100.19283,2.0887299e-09,0.99609375,0.00390625,0.025559463,-5.541847,-5.5418463,-5.541847,0.0039195386,0.0039175404,0.00391597,0.014730276823043823,1209.3342154026031,40000
127.01479,3.2055178,-1.9837756,0.9990692,0.90625,0.0041673267,-15.814079,-15.885961,2.5158143,19692.043,402.7907,9.696223e-07,9.609726,-11.605732,337.3005,0.99609375,0.00390625,0.02555975,-5.553482,-5.5534816,-5.5534825,0.00387494,0.0038738358,0.0038719056,75.82444,-1.091757,-1.998676,0.9980316,0.7421875,0.010105528,-15.591961,-15.65242,-0.17478453,259442.77,934.61475,3.268927e-07,0.99609375,0.00390625,0.025559753,-5.5290036,-5.529003,-5.529003,0.0039687804,0.003967013,0.0039655776,0.014779206466674804,1283.230256319046,45000
144.8634,4.206264,-1.9845624,0.99916077,0.921875,0.0033306002,-16.055641,-16.128292,2.4708009,72420.15,393.12213,1.0001825e-05,7.8591185,-14.559077,403.60706,0.99609375,0.0,0.025559459,-5.5415173,-5.541517,-5.5415173,0.0039206543,0.0039196005,0.0039184396,74.33114,-0.8169838,-1.9538262,0.99786377,0.70703125,0.010885736,-16.277857,-16.339947,-0.4449336,21726.148,139.60556,2.6272704e-09,0.99609375,0.00390625,0.02555946,-5.5414934,-5.541493,-5.5414934,0.0039205477,0.003919665,0.0039182715,0.014729132604598998,1356.8759334087372,50000
140.72711,3.7854323,-1.9953164,0.9995117,0.95703125,0.0025947923,-16.304373,-16.381502,3.3636036,235474.77,1293.7096,2.7270824e-05,5.926541,-9.7626295,250.1445,0.99609375,0.00390625,0.025559464,-5.542751,-5.542751,-5.5427504,0.003916392,0.003915811,0.003915171,77.37364,-1.1006727,-1.9779564,0.9977722,0.69921875,0.012855385,-15.973961,-16.030832,-1.4715071,7071.728,64.63184,1.3050107e-10,0.99609375,0.00390625,0.025559459,-5.541278,-5.5412774,-5.541278,0.0039224178,0.0039217724,0.0039209924,0.014833257532119752,1431.042242050171,55000
134.19373,4.430647,-1.8981214,0.99935913,0.92578125,0.0031894548,-16.609306,-16.686522,3.0811505,50929.117,618.8417,1.0539272e-06,9.241026,-11.745493,284.6887,0.99609375,0.0078125,0.025559468,-5.543171,-5.5431705,-5.543171,0.0039133006,0.003912557,0.0039115157,62.402596,-1.5800292,-1.8767173,0.99775696,0.69921875,0.0129344985,-16.181498,-16.239885,-1.2922415,39515.293,316.23242,2.071192e-12,0.99609375,0.00390625,0.02555948,-5.538185,-5.538184,-5.538185,0.0039369394,0.003936316,0.0039357217,0.014786379766464233,1504.9741523265839,60000
130.42635,3.9525135,-1.9305887,0.99931335,0.9296875,0.0030653095,-17.037064,-17.116432,3.2026231,1544508.9,3548.0862,4.8569757e-07,5.163057,-5.0321436,248.0958,0.99609375,0.00390625,0.025559649,-5.531413,-5.5314126,-5.5314126,0.003963011,0.0039622774,0.0039616274,70.46375,-1.3651639,-1.9440527,0.99801636,0.76171875,0.010202877,-16.793446,-16.85818,-0.28714764,73784.1,432.8014,7.9885965e-10,0.99609375,0.00390625,0.02555974,-5.5532804,-5.55328,-5.5532804,0.0038753003,0.0038741673,0.0038734474,0.014749466037750245,1578.7214975357056,65000
146.76932,4.4508915,-1.9868279,0.99928284,0.94140625,0.0032784287,-17.13456,-17.21405,3.1361837,30315.549,621.4419,5.5787054e-06,6.9860272,-7.898739,263.51917,0.99609375,0.00390625,0.025559539,-5.547592,-5.5475917,-5.5475917,0.003900817,0.0038978467,0.003897232,74.12892,-1.4961656,-1.9419464,0.99801636,0.7265625,0.011454061,-17.06091,-17.125477,-0.5956777,717406.9,2696.4429,1.0447132e-09,0.99609375,0.0078125,0.025559612,-5.532463,-5.5324626,-5.532463,0.003953971,0.003953679,0.003953253,0.01473950595855713,1652.419040441513,70000
140.96927,4.6205597,-1.9483864,0.9994812,0.97265625,0.0022372194,-17.083473,-17.165808,3.9120498,44821.383,891.4457,0.00032747295,7.906101,-11.26141,351.72394,0.99609375,0.0,0.025559478,-5.5385876,-5.538587,-5.5385876,0.003932017,0.003931606,0.003930956,67.48668,-1.5426664,-1.9193064,0.9978485,0.73046875,0.011634635,-17.202522,-17.267706,-0.5808744,68479.18,442.35208,6.82464e-08,0.99609375,0.00390625,0.025559468,-5.5432634,-5.5432634,-5.5432634,0.003912993,0.0039126263,0.003912327,0.014738355922698974,1726.110833644867,75000
136.33235,4.213132,-1.94532,0.9994049,0.96484375,0.0025526239,-17.135551,-17.217121,3.6641185,240549.75,1251.7836,2.0229538e-05,8.044033,-9.1606655,270.0065,0.99609375,0.00390625,0.025559459,-5.541174,-5.5411735,-5.5411735,0.0039216415,0.003920651,0.0039203702,67.47156,-1.7612957,-1.9294046,0.99772644,0.69921875,0.014028549,-16.95044,-17.010847,-1.5463042,165404.7,499.99792,3.3249174e-11,0.99609375,0.00390625,0.025559459,-5.541195,-5.5411944,-5.5411944,0.003920841,0.0039206296,0.0039203344,0.014725430202484131,1799.7379939556122,80000
144.80452,4.9035006,-1.9514096,0.9995117,0.97265625,0.0022004852,-17.338545,-17.422901,4.1719136,882194.1,3330.6753,0.0011027103,4.647801,-8.269926,267.17188,0.99609375,0.00390625,0.025559677,-5.5306835,-5.5306835,-5.5306835,0.0039655967,0.0039632227,0.003961222,65.57103,-1.8128452,-1.9838996,0.99780273,0.69921875,0.012980275,-17.260979,-17.324167,-1.1470392,39746.562,301.6409,5.736863e-10,0.99609375,0.00390625,0.025559604,-5.5498996,-5.549899,-5.549899,0.0038878883,0.003886877,0.0038859497,0.014731366634368897,1873.3948431015015,85000
147.0528,4.9529886,-1.991611,0.999527,0.98046875,0.0021790243,-17.325146,-17.407333,3.6333184,376468.2,1425.6023,3.7041461e-06,3.3474243,-5.7542505,202.0852,0.99609375,0.00390625,0.025559483,-5.5378675,-5.5378675,-5.5378675,0.0039364197,0.0039352914,0.003934318,79.07345,-1.4540782,-1.9515861,0.99772644,0.734375,0.011631885,-17.000885,-17.065123,-0.6201881,25596.121,238.50475,2.8472458e-08,0.99609375,0.0,0.025559463,-5.5425196,-5.542519,-5.542519,0.003916691,0.0039155763,0.0039144987,0.014777532434463501,1947.2825167179108,90000
139.69095,4.7950144,-1.9226055,0.99942017,0.96484375,0.002536802,-17.64149,-17.724941,3.6381032,222905.83,1747.7336,0.000207826,9.053303,-8.16345,331.0813,0.99609375,0.0,0.025559586,-5.5331893,-5.5331893,-5.5331893,0.003956057,0.0039557177,0.003955037,69.00976,-1.9929343,-1.9680767,0.9978485,0.7265625,0.013543082,-17.916626,-17.981762,-1.3061782,13327.049,212.05664,1.3556278e-10,0.99609375,0.00390625,0.025559537,-5.5474377,-5.5474377,-5.5474377,0.0038984478,0.0038978767,0.0038973847,0.014706818628311157,2020.8166208267212,95000
132.34645,4.383945,-1.9030669,0.9995117,0.96875,0.001979543,-17.957071,-18.042126,3.7319968,87338.805,729.8223,2.8238268e-05,7.3872833,-5.342558,255.81673,0.99609375,0.0,0.025559612,-5.5324388,-5.5324388,-5.532439,0.0039534885,0.0039532008,0.003952972,70.19629,-1.9734695,-2.0062962,0.99768066,0.7421875,0.013019808,-17.753845,-17.81843,-1.2846588,42960.664,239.54439,1.3465146e-08,0.99609375,0.0,0.025559807,-5.554663,-5.5546627,-5.554663,0.0038697775,0.0038695384,0.0038691077,0.01473856897354126,2094.509481191635,100000
141.5879,4.6146936,-1.9664925,0.9996033,0.96875,0.001937615,-18.051329,-18.136679,3.7133536,54629.43,839.8924,0.0007263151,17.081924,-18.045305,391.40842,0.99609375,0.0078125,0.025559505,-5.5364094,-5.536409,-5.536409,0.0039405194,0.0039402395,0.0039394917,74.146675,-2.3670416,-1.9330778,0.9980011,0.7578125,0.011643279,-17.762138,-17.828657,-0.8003025,132574.36,487.12305,1.5936893e-10,0.99609375,0.00390625,0.025559474,-5.5438643,-5.5438647,-5.5438643,0.0039117336,0.003911604,0.0039112167,0.13172230329513548,2753.1210067272186,105000
134.59656,4.3945093,-1.9076917,0.99967957,0.96875,0.0019781692,-18.62195,-18.710442,3.943999,1004402.5,4049.522,1.5107073e-05,9.955095,-7.677168,307.29092,0.99609375,0.00390625,0.025559459,-5.5410256,-5.541025,-5.5410256,0.0039231996,0.003923048,0.003922803,65.0458,-3.185464,-1.9320843,0.99760437,0.6796875,0.015732545,-17.989277,-18.050873,-2.2822638,125345.195,470.81958,4.4315048e-11,0.99609375,0.00390625,0.025559492,-5.537238,-5.5372376,-5.5372376,0.003939037,0.0039386926,0.0039379573,0.014734723281860351,2826.794636487961,110000
142.38931,4.5236564,-1.9795768,0.9995575,0.9609375,0.0021353224,-18.22607,-18.31296,3.9310324,192197.88,1166.0752,1.140134e-05,10.658049,-7.9687266,324.40796,0.99609375,0.00390625,0.025559466,-5.5429115,-5.542911,-5.5429115,0.003916519,0.0039158235,0.0039156824,65.0783,-2.6707768,-1.9495938,0.99780273,0.70703125,0.0144332405,-18.30343,-18.36883,-1.6261585,118317.46,509.9311,9.6415084e-14,0.99609375,0.00390625,0.02555946,-5.5403233,-5.540323,-5.5403233,0.003927046,0.0039243996,0.0039232275,0.014722697877883911,2900.4081358909607,115000
140.98746,5.301427,-1.9139571,0.999588,0.9609375,0.0021487363,-17.971033,-18.057804,4.155798,556028.5,2266.204,3.631774e-06,7.2054424,-6.8252964,250.02092,0.99609375,0.00390625,0.025559524,-5.5469475,-5.5469465,-5.546947,0.0038999852,0.0038989575,0.0038963903,59.450718,-3.1745448,-1.9411175,0.99798584,0.72265625,0.014357399,-18.135086,-18.199392,-1.7369704,7961.3223,143.15451,1.2829492e-10,0.99609375,0.00390625,0.025559535,-5.5350194,-5.535019,-5.5350194,0.0039462848,0.003945181,0.0039447513,0.014736107349395752,2974.08868765831,120000
144.93198,4.8026752,-1.9070467,0.99954224,0.9609375,0.0019760989,-17.58168,-17.664852,3.627276,29028.334,662.5925,0.00026370244,13.537928,-6.4713902,282.0746,0.99609375,0.0078125,0.025559459,-5.5412884,-5.5412893,-5.5412893,0.003925619,0.0039234567,0.003922945,63.585835,-3.0317335,-1.9371789,0.99790955,0.69921875,0.013500655,-17.949554,-18.014652,-1.3488426,39661.785,365.2049,2.0789901e-11,0.99609375,0.00390625,0.025559459,-5.541834,-5.541834,-5.541834,0.003919576,0.003919054,0.0039170235,0.014711377048492432,3047.645586013794,125000
138.32144,4.640784,-1.9382493,0.9995575,0.96484375,0.0020934918,-18.238533,-18.326345,4.1539726,760026.9,2918.6196,1.0522325e-05,21.19384,-13.6578045,497.0092,0.99609375,0.0078125,0.025559463,-5.5405235,-5.5405235,-5.540524,0.003926265,0.0039261016,0.003925965,73.08455,-2.1169243,-1.9009793,0.99775696,0.70703125,0.01446926,-18.142525,-18.207497,-1.5738018,1189581.2,3014.9055,2.2594412e-10,0.99609375,0.0,0.025559466,-5.5431175,-5.543118,-5.5431175,0.003918344,0.0039147288,0.0039145104,0.01473955855369568,3121.343398332596,130000
