training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
2.3977578,-4.659192,1.3977578,0.025799975,175.63062,1.0,-175.63062,1.0,2.5345373,17.009851,-39.575665,431.11334,73.18526,1166.1387,675.0426,17.19062,8.219799,37.049255,2.480459,0.084569216,4.844142,-39.575665,73.42746,113.00313,2.3989253,-4.6630836,1.3989252,0.0273564,163.80946,1.0,-163.80946,1.0,2.5429103,73.75745,1162.5038,669.31995,16.224672,10.074951,56.998863,2.5249014,0.03500492,4.845295,-48.573845,73.99971,122.573555,0.2558814518928528,1279.4073104858398,5000
2.3947263,-4.649087,1.394726,0.021757683,125.923546,1.0000001,-125.923546,1.0,2.0063798,17.572224,-52.631718,537.26056,93.175385,1275.5153,613.9058,13.037884,3.5275912,17.878653,1.9136901,0.03241922,15.134532,-52.631718,93.93211,146.56383,2.3958836,-4.6529455,1.3958837,0.023301153,127.42415,1.0,-127.42415,1.0,1.986804,101.521454,1251.7673,599.2383,6.2245708,4.1049953,24.688519,1.9396765,0.040551674,15.137801,-61.38371,102.278336,163.66205,0.006061662244796753,1309.7156324386597,10000
2.3943927,-4.647976,1.3943927,0.02131328,77.29936,0.99999994,-77.29936,1.0,1.262191,23.488674,-44.15827,618.9674,153.97461,1089.4851,451.21747,23.73885,0.876279,13.414367,1.1948702,0.027356027,53.44233,-44.15827,156.64673,200.805,2.3946133,-4.648711,1.3946134,0.021607444,82.94762,1.0,-82.94762,1.0,1.415632,152.53418,1053.6313,448.68793,10.257213,1.4100621,22.362282,1.3203944,0.012445621,53.451874,-72.69787,155.20676,227.90463,0.0060302138328552244,1339.8667089939117,15000
2.3931172,-4.643723,1.3931171,0.019612268,55.734623,1.0000001,-55.734623,1.0,0.94394976,19.310343,-26.283752,495.85977,219.69202,1012.4074,336.4048,4.0569615,0.21951634,6.9220943,0.88945687,0.024875656,155.05144,-26.283752,227.44458,253.72833,2.3937292,-4.645764,1.3937292,0.020428501,55.569614,0.99999994,-55.569614,1.0,1.0263374,207.94167,998.76886,356.49023,2.7416875,0.6880653,17.698578,0.9801912,0.029876336,155.07037,-98.94502,215.69518,314.6402,0.006046564483642578,1370.099538564682,20000
2.3932176,-4.644058,1.3932174,0.019746114,43.04045,1.0,-43.04045,1.0,0.7671982,40.365883,-17.507587,742.02136,259.00284,948.6904,278.44907,5.5166807,0.083876714,5.0465956,0.71684384,0.029775212,382.57483,-12.960378,278.13156,291.09195,2.3934228,-4.644742,1.3934228,0.02001988,47.429554,1.0,-47.429554,1.0,0.81662154,257.40692,936.5492,283.45996,5.172658,0.23063466,8.864451,0.7874415,0.04330181,382.64047,-69.11813,276.53894,345.65707,0.006035298585891724,1400.2760422229767,25000
2.393918,-4.646394,1.3939182,0.020680586,38.82673,1.0,-38.82673,1.0,0.6995642,21.430939,-25.895323,710.9636,275.01953,951.8045,262.36475,1.387579,0.043630734,3.2864306,0.6945273,0.025205262,648.209,4.128616,307.42996,303.30136,2.3937395,-4.6457987,1.3937396,0.020442402,40.392044,0.99999994,-40.392044,1.0,0.8337309,270.3004,919.2242,269.51086,3.1109784,1.0289875,30.280931,0.78112894,0.036638506,648.24634,-634.62506,302.71277,937.3378,0.006030558729171753,1430.4288442134857,30000
2.393864,-4.6462126,1.3938639,0.020608002,36.87391,1.0,-36.87391,1.0,0.7260417,18.579653,-16.223434,632.8712,273.96204,930.4026,263.75256,0.0,0.039807357,3.1937656,0.6790973,0.015126882,751.0247,7.6549273,311.51328,303.85834,2.3927853,-4.6426177,1.3927853,0.019169975,40.230087,1.0,-40.230087,1.0,0.67560226,277.14453,944.4578,262.54593,5.9305663,0.5442885,22.730274,0.7169817,0.018517053,751.01324,-371.21722,314.6952,685.9124,0.006031730556488037,1460.5875055789948,35000
2.3933623,-4.644541,1.3933623,0.019939287,38.634453,1.0,-38.634453,1.0,0.70834434,33.39154,-43.15525,624.7169,263.12567,921.88837,279.34665,13.558214,0.026751146,2.7757688,0.69422805,0.037442,752.6462,17.498161,300.758,283.25983,2.394744,-4.649146,1.3947439,0.021781415,41.248425,0.99999994,-41.248425,1.0,0.81860656,270.8852,942.58545,277.34802,1.391918,7.4202976,86.361,0.82757676,0.023570586,752.5654,-5546.631,308.51367,5855.1445,0.006033383178710937,1490.7544288635254,40000
2.3918543,-4.6395144,1.3918543,0.017928738,37.737873,1.0,-37.737873,1.0,0.6899993,45.727974,-43.160244,937.42596,264.34595,962.29785,282.48868,3.2905476,0.038941346,4.064722,0.6952155,0.016393078,751.4037,8.309514,301.91614,293.60663,2.3924222,-4.641407,1.3924222,0.018685857,39.610065,1.0,-39.610065,1.0,0.861459,272.17886,965.6909,276.9322,5.3260126,6.7284837,82.953026,0.7988943,0.018973026,751.39075,-5018.151,309.74805,5327.899,0.006044057464599609,1520.9747242927551,45000
2.3911958,-4.6373186,1.3911957,0.017050406,41.71749,1.0,-41.71749,1.0,0.7175832,29.096773,-28.395805,649.2193,248.94196,1080.1523,308.45505,6.788957,0.03597896,3.1542642,0.70863956,0.012999202,717.3931,10.058597,284.8116,274.75302,2.393033,-4.643444,1.3930331,0.019500433,43.231033,1.0,-43.231033,1.0,0.8059542,251.01694,1062.5432,318.19305,3.4199362,0.48202962,20.761158,0.78329575,0.041924488,717.34485,-309.9142,286.8842,596.7984,0.006040584754943848,1551.1776559352875,50000
2.3919086,-4.639695,1.3919086,0.018001143,40.132492,1.0,-40.132492,1.0,0.6637441,25.84508,-39.059845,797.11084,251.96793,1148.6173,309.39413,6.140835,0.045736153,3.0769186,0.7191757,0.028535623,710.1471,3.0279593,287.47528,284.44733,2.393016,-4.643387,1.3930161,0.019477751,44.283546,1.0,-44.283546,1.0,0.7230507,258.5714,1056.1056,305.4304,5.7639556,0.1834682,7.7991986,0.76309407,0.009204884,710.13824,-94.78087,294.0783,388.8592,0.006031494903564453,1581.3351430892944,55000
2.3918958,-4.6396523,1.3918957,0.017983785,40.218956,1.0,-40.218956,1.0,0.6551484,43.523144,-55.15352,900.1739,254.09688,1083.8627,302.75543,10.961972,0.054333623,3.5283873,0.7136418,0.020791389,709.8143,-3.0760672,289.5876,292.66367,2.393005,-4.6433496,1.393005,0.019462893,42.484863,0.99999994,-42.484863,1.0,0.69682777,249.82977,1059.4169,312.34473,5.377186,0.59931874,19.242018,0.817891,0.023447879,709.7984,-389.90555,285.31967,675.2252,0.006053553819656372,1611.602921962738,60000
2.3917313,-4.639105,1.3917314,0.017764704,40.85875,1.0,-40.85875,1.0,0.6228085,31.300303,-35.741848,801.6159,241.78008,1129.835,328.90582,12.349973,0.039800756,2.8286161,0.7273387,0.019126166,705.53516,7.195926,277.05682,269.8609,2.3941607,-4.6472015,1.3941606,0.0210037,45.838814,1.0,-45.838814,1.0,0.73598963,249.47275,1098.9224,320.50586,3.1882024,0.29141936,12.517014,0.79838675,0.043795466,705.5234,-170.327,284.74893,455.07593,0.006041619968414307,1641.8110301494598,65000
2.3911917,-4.637306,1.3911917,0.017045317,42.222366,1.0,-42.222366,1.0,0.5744148,48.78701,-49.35288,883.40076,243.79166,1169.6893,331.34784,12.392158,0.054230463,3.5871007,0.75369227,0.028351517,691.3356,-2.9246688,278.35843,281.2831,2.3928785,-4.642928,1.3928785,0.019294156,46.022186,1.0,-46.022186,1.0,0.7324251,236.44879,1167.5548,347.62387,4.19161,0.84748137,26.4142,0.82588017,0.045057908,691.31604,-551.31165,271.0146,822.32623,0.006061555242538452,1672.1188139915466,70000
2.3904386,-4.634794,1.3904384,0.016040815,42.720825,1.0,-42.720825,1.0,0.5628612,51.55963,-41.757153,841.9157,248.66818,1174.424,319.61212,11.084955,0.04606219,3.5688941,0.73563075,0.01742947,692.65076,2.7275276,283.30072,280.57318,2.3955536,-4.651845,1.3955536,0.022860942,45.098106,1.0,-45.098106,1.0,0.681978,237.12164,1186.9419,351.3405,0.8297173,1.8562868,40.623615,0.8191198,0.03234433,692.6256,-1251.0806,271.75293,1522.8335,0.006033258247375489,1702.2851140499115,75000
2.3926601,-4.6422005,1.3926601,0.019003097,41.878944,1.0,-41.878944,1.0,0.5715634,46.202736,-51.448593,858.9712,248.4556,1181.729,321.50586,5.0494027,0.047121536,2.6020954,0.734854,0.04317143,697.2865,2.0071146,283.31992,281.3128,2.3949955,-4.6499844,1.3949955,0.02211675,45.482956,1.0,-45.482956,1.0,0.6277182,246.83267,1198.1306,335.52603,3.8082345,0.12760615,7.2602906,0.7900369,0.045980386,697.3038,-54.115067,281.69788,335.81293,0.006050014209747314,1732.5351994037628,80000
2.390234,-4.634113,1.390234,0.015768195,42.118454,1.0,-42.118454,1.0,0.5560117,29.019104,-33.581703,767.68835,234.37018,1217.4532,347.2919,3.0158348,0.045276914,2.9272385,0.7502846,0.008248707,675.4818,3.1903594,268.1443,264.95392,2.3953671,-4.651223,1.395367,0.0226122,47.202435,1.0,-47.202435,1.0,0.6947533,233.96964,1238.2578,359.2917,1.1080813,0.2540299,9.319082,0.8351668,0.054640766,675.4728,-137.81665,267.7433,405.55994,0.006031780481338501,1762.6941170692444,85000
2.3923917,-4.6413054,1.3923917,0.018645147,43.92873,1.0,-43.92873,1.0,0.59131145,48.527714,-56.841385,801.14417,230.73602,1238.0096,347.78076,10.877043,0.037673302,3.0076427,0.7564327,0.018661747,671.2969,8.274875,264.30087,256.026,2.397462,-4.658206,1.3974619,0.025405351,46.633553,1.0,-46.633553,1.0,0.67850155,235.05878,1259.2512,359.92035,7.3999214,0.7107958,24.513063,0.8391094,0.04604454,671.3081,-443.5976,268.6242,712.2218,0.0060335981369018556,1792.8621168136597,90000
2.392712,-4.642374,1.3927121,0.019072423,47.50966,1.0,-47.50966,1.0,0.5547172,48.035202,-51.179173,828.38806,225.03392,1250.0464,355.745,4.9676013,0.038871855,3.3482413,0.73867244,0.035381068,689.9178,7.677506,259.52982,251.85231,2.394986,-4.649953,1.3949859,0.022104148,48.046825,1.0,-48.046825,1.0,0.7189411,232.11444,1184.0244,345.71848,4.8974915,2.7039,51.475166,0.8540966,0.013097751,689.8971,-1830.918,266.60938,2097.5273,0.0060308720111846926,1823.0164856910706,95000
2.3903239,-4.634413,1.3903239,0.015888033,42.439415,1.0,-42.439415,1.0,0.5884548,48.53773,-62.59539,927.7008,223.3182,1261.8446,371.11,8.040972,0.06023252,3.9085436,0.7528857,0.01589214,670.65607,-6.862501,256.851,263.7135,2.398658,-4.6621933,1.398658,0.027000317,51.97596,1.0,-51.97596,1.0,0.64868647,224.88408,1266.0754,370.17822,7.3672853,0.23209345,6.6089973,0.8430091,0.01621049,670.61993,-122.1155,258.41507,380.53058,0.006038701725006103,1853.210001707077,100000
2.3898773,-4.632924,1.3898773,0.015292627,45.18522,0.99999994,-45.18522,1.0,0.55942976,46.319504,-35.621334,853.6846,220.25757,1268.0812,370.30347,10.665124,0.051756985,3.1544113,0.74151486,0.04856439,669.4403,-1.1761965,253.72958,254.90578,2.394253,-4.6475096,1.394253,0.02112682,48.099247,1.0,-48.099247,1.0,0.86729133,223.7804,1265.8397,371.4043,2.2230327,10.136574,100.179146,0.9872448,0.034328867,669.40137,-6751.9663,257.2505,7009.217,0.2447458127975464,3076.9390778541565,105000
2.3908782,-4.636261,1.3908783,0.016627397,44.33217,1.0,-44.33217,1.0,0.5550107,59.52861,-31.513329,760.6332,213.45409,1315.4513,385.5308,6.0945783,0.041256562,3.375581,0.73084074,0.021835892,664.7285,5.812013,246.6905,240.8785,2.392823,-4.642743,1.392823,0.01922013,48.299347,1.0,-48.299347,1.0,0.8411226,218.29633,1242.7898,387.085,6.8674297,4.2966604,54.87907,0.947025,0.025329383,664.6661,-2822.611,251.52979,3074.1409,0.006031660652160644,3107.09738945961,110000
2.3905602,-4.6352005,1.3905602,0.016203163,43.34163,0.99999994,-43.34163,1.0,0.5220655,25.787365,-44.95781,608.61444,228.4365,1080.1871,343.5925,8.014731,0.02913518,2.6641452,0.72437626,0.03137624,676.90826,14.1235695,262.28192,248.15834,2.39672,-4.655733,1.39672,0.024416327,44.866653,1.0,-44.866653,1.0,0.6837536,234.10788,1178.2863,338.30338,5.6097493,0.83455807,19.678455,0.84151083,0.026855338,676.9021,-531.069,267.953,799.022,0.006045661497116089,3137.3257048130035,115000
