training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
5.157605,-3.1395953,139.26073,304.86987,0.9890806,-10.445362,0.25119552,1.0,107.84545,0.69119227,-4.6423764,0.019073544,1.0,0.21308765,-16.48346,-25.654507,0.4351393,271.2354,0.8475957,-10.425295,0.24718185,1.0,105.40801,0.6714259,-4.638493,0.017520102,1.0,0.2195332,-16.578945,-25.613115,0.32852796,0.19754378781318666,987.7189664840698,5000
6.9524417,-4.12756,86.55712,342.7638,0.5952296,-9.455934,0.053309668,1.0,193.5916,1.145803,-4.6351657,0.016189208,1.0,0.4534797,-12.917761,-34.60003,0.34243798,355.98706,0.69558,-9.4478035,0.0516837,1.0,188.32152,1.0627742,-4.6339893,0.015718585,1.0,0.4635175,-12.417319,-30.287384,0.29628336,0.0033986013412475586,1004.7119815349579,10000
12.854295,-16.959038,173.5962,515.15155,1.5975226,-10.162384,0.19459967,1.0,109.2391,0.7395774,-4.6391745,0.017792854,1.0,0.45232564,-26.780895,-47.994385,0.9822304,515.46924,1.4905157,-10.158468,0.19381657,1.0,106.46161,0.7417518,-4.6388617,0.017667744,1.0,0.71157277,-27.391548,-48.041183,0.78365684,0.0034051953315734863,1021.7379677295685,15000
3.7416635,-3.7989526,156.8567,539.36865,1.4316146,-9.839899,0.1301028,1.0,130.67592,0.8679547,-4.626892,0.012879773,1.0,0.45685288,-32.120872,-57.231613,1.6413745,565.194,1.5706317,-9.867161,0.13555512,1.0,130.27469,0.803001,-4.629476,0.013913435,1.0,0.21487796,-30.829714,-57.95427,1.1493279,0.0034316020011901857,1038.8959875106812,20000
7.6871157,-9.937862,172.88759,589.3226,1.7789259,-9.788061,0.11973538,1.0,103.49628,0.7450317,-4.6387877,0.017637964,1.0,0.23516613,-33.916473,-63.548203,1.371888,588.52563,1.6327548,-9.8611555,0.13435416,1.0,112.41406,0.778461,-4.63784,0.017259007,1.0,0.22194873,-32.755302,-63.460922,1.355068,0.003421847200393677,1056.0052328109741,25000
8.81323,-12.344021,164.632,624.1013,1.8348106,-9.8618145,0.13448589,1.0,112.890945,0.821515,-4.630121,0.014171523,1.0,0.2722674,-35.853397,-69.31009,1.6290627,595.4209,1.9760537,-9.819605,0.12604403,1.0,120.58389,0.83357817,-4.624883,0.012076138,1.0,0.364601,-35.613487,-69.50113,1.2448792,0.003425874853134155,1073.134616613388,30000
6.6370792,-6.016966,153.28003,578.63184,1.7035882,-9.720164,0.10615587,1.0,125.49936,0.85442626,-4.6377764,0.017233536,1.0,0.14953831,-35.604652,-72.42012,1.231097,609.7418,1.9842722,-9.763029,0.11472886,1.0,132.56746,0.8772409,-4.6357875,0.016438045,1.0,0.19140828,-36.35399,-72.36775,2.7066805,0.0034942680835723878,1090.6059653759003,35000
3.9148045,-4.9679737,179.56198,607.3445,1.785272,-9.75238,0.11259885,1.0,103.10376,0.79077786,-4.630585,0.014357045,1.0,0.17049964,-38.319626,-75.82233,1.1373005,612.313,1.6654315,-9.741011,0.11032509,1.0,99.38561,0.742859,-4.6337023,0.015603796,1.0,0.19002393,-37.510063,-75.44116,1.1894687,0.0034753078937530516,1107.9825139045715,40000
5.3615346,-4.700173,205.68608,617.488,2.0072725,-9.725286,0.107180074,1.0,110.919334,0.8138437,-4.6250467,0.012141572,1.0,0.31967884,-37.34243,-79.22734,2.2888317,633.052,1.7274436,-9.758202,0.113763355,1.0,105.72342,0.79613376,-4.6298056,0.014045201,1.0,0.17721727,-37.987114,-78.6958,1.2142173,0.003440440797805786,1125.1847257614136,45000
2.5256128,-4.617405,124.62158,627.86304,2.1139245,-9.600398,0.082202606,1.0,102.87918,0.7815041,-4.6257677,0.012430049,1.0,0.25716594,-38.677784,-81.31148,1.4077232,644.01074,2.0555,-9.612851,0.08469313,1.0,98.09972,0.7587608,-4.624683,0.011996099,1.0,0.26882553,-38.695526,-80.811264,1.7472972,0.0034648858547210695,1142.5091633796692,50000
