training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
10.255798,-10.23144,160.2598,344.59055,1.9266043,-9.973811,0.15688513,1.0,132.26541,0.267107,-7.741251,0.09743566,1.0,0.15710345,-15.570628,-26.329048,0.41020197,334.1868,2.0323987,-10.009157,0.16395444,1.0,135.54984,0.27350163,-7.7545733,0.10076634,1.0,0.14324768,-15.750468,-26.306902,0.4681942,0.10787771458625793,539.3886229991913,5000
11.756578,-14.492472,252.67554,497.26904,2.4410791,-10.107181,0.18355905,1.0,166.43459,0.32672793,-7.7003155,0.087201804,1.0,0.5265362,-20.746597,-42.852684,0.8724443,477.31274,2.381538,-10.153391,0.192801,1.0,157.67322,0.33175316,-7.700309,0.087200046,1.0,0.49385768,-21.193546,-42.7788,0.7740067,0.003871419858932495,558.7457323074341,10000
18.673208,-9.227781,218.91699,561.81067,3.231721,-9.806393,0.12340162,1.0,192.40578,0.35132197,-7.658815,0.07682671,1.0,0.111241065,-25.955135,-55.680656,1.0090241,516.4264,3.1946692,-9.831488,0.1284205,1.0,184.76898,0.2748599,-7.6846676,0.08328991,1.0,0.2548132,-25.930656,-55.709984,0.8613663,0.0040401138782501225,578.9463131427765,15000
6.398537,-7.271648,156.73534,551.2667,3.2378361,-9.701476,0.10241826,1.0,175.86533,0.37936956,-7.6401696,0.072165415,1.0,1.6471371e-05,-29.602741,-65.731995,0.8385153,586.5363,3.389072,-9.696645,0.101451874,1.0,178.63863,0.38918796,-7.656005,0.076124184,1.0,-0.04514327,-29.228815,-65.686676,0.8090513,0.003970502805709839,598.7988369464874,20000
15.092267,-11.730526,172.45877,583.8602,3.4409842,-9.636751,0.0894733,1.0,130.52243,0.3089612,-7.6051617,0.063413404,1.0,0.085405804,-29.559097,-73.417915,0.8929373,601.7538,3.6339562,-9.650021,0.09212714,1.0,137.90692,0.35073754,-7.6461167,0.07365221,1.0,0.09488745,-29.94249,-73.30204,0.7538799,0.00385076642036438,618.0526797771454,25000
9.788284,-13.323136,281.99896,573.1726,3.2427154,-9.933149,0.14875284,1.0,148.87607,0.35978526,-7.624675,0.068291694,1.0,-0.46773747,-28.360788,-78.984055,2.702101,617.23975,3.5250242,-9.913523,0.1448276,1.0,145.79283,0.30507037,-7.6409774,0.07236729,1.0,-0.53038406,-28.549377,-78.93198,1.2248565,0.003852902030944824,637.3171987533569,30000
7.638281,-4.749756,153.88565,598.75037,3.6579003,-9.6911745,0.10035793,1.0,160.99173,0.35418394,-7.6051064,0.06339961,1.0,0.12954262,-33.268223,-83.334625,1.1568348,614.52075,3.9444869,-9.725279,0.107178785,1.0,174.5062,0.43028894,-7.642288,0.07269496,1.0,0.06730911,-32.36372,-83.43435,1.097776,0.0038327537059783937,656.4809782505035,35000
10.900907,-13.592762,195.49829,592.9284,3.5697162,-9.706478,0.10341852,1.0,194.32892,0.47456557,-7.599333,0.061956093,1.0,0.053487778,-35.547104,-87.13965,0.96092737,615.35706,4.255804,-9.71789,0.10570111,1.0,194.39111,0.47918016,-7.641938,0.072607584,1.0,0.05445282,-33.498917,-86.91017,1.2811527,0.0038845091342926026,675.9035346508026,40000
7.082899,-6.1944222,156.53984,598.1266,3.8094707,-9.662924,0.094707966,1.0,158.36386,0.3289369,-7.6223454,0.06770932,1.0,0.13499025,-36.168335,-89.67456,0.93886966,614.4738,4.197303,-9.730537,0.108230464,1.0,165.63838,0.43755448,-7.6382494,0.071685255,1.0,0.16407385,-34.451088,-89.82423,1.0497081,0.0038392402172088623,695.0997469425201,45000
8.366391,-9.270631,206.77953,624.666,4.2143707,-9.680805,0.09828399,1.0,151.21446,0.26613075,-7.6167097,0.06630042,1.0,0.046315987,-36.065136,-92.52123,1.0711435,580.27155,3.7335725,-9.731689,0.10846086,1.0,160.25092,0.40257347,-7.6532845,0.07544414,1.0,0.10573809,-35.393597,-92.30257,1.1545048,0.003999744415283203,715.0984787940979,50000
11.537266,-7.8603444,227.26411,603.1439,3.8364987,-9.6606045,0.09424375,1.0,183.91533,0.41173488,-7.5990973,0.061897237,1.0,0.18406948,-36.09027,-94.227264,1.3194715,638.23663,4.8092957,-9.715855,0.10529381,1.0,201.24667,0.49629408,-7.6446977,0.07329741,1.0,0.12838486,-36.17315,-93.694984,1.5060492,0.003858065366744995,734.3888173103333,55000
5.3097243,-6.623597,181.97823,611.29895,4.1593523,-9.711691,0.104461156,1.0,164.72093,0.37029117,-7.588437,0.059232123,1.0,0.13701983,-36.90454,-95.6978,1.1199161,618.08826,3.9658723,-9.77191,0.11650481,1.0,174.09134,0.41746056,-7.6587276,0.0768048,1.0,0.09419827,-36.19301,-95.54909,0.9708346,0.003955126523971558,754.1644620895386,60000
7.3020816,-5.763222,213.60707,643.41516,4.0138416,-10.272855,0.21669407,1.0,141.0362,0.3284224,-7.606478,0.06374261,1.0,0.17370981,-35.098743,-96.513885,2.4493618,629.4795,3.7725234,-10.291033,0.22032969,1.0,140.54425,0.30368,-7.6613765,0.07746712,1.0,0.12591594,-34.620907,-96.68503,2.005875,0.0038704089641571045,773.5165162086487,65000
6.220276,-7.7343326,198.40862,642.25116,4.4387546,-9.64402,0.09092706,1.0,207.01631,0.50380754,-7.57528,0.055943128,1.0,0.28594,-36.099983,-97.589905,1.330118,648.6707,4.4030514,-9.727743,0.10767144,1.0,205.32393,0.4561264,-7.648002,0.07412353,1.0,0.25771293,-36.84267,-97.95839,1.6172984,0.003924000883102417,793.1365296840668,70000
7.0939317,-3.815383,166.5858,633.5831,4.0468054,-9.666964,0.095515825,1.0,167.8664,0.39629397,-7.5904117,0.059725966,1.0,0.1658833,-35.287483,-98.756516,1.293637,627.1575,4.154295,-9.766881,0.11549931,1.0,166.77075,0.41025376,-7.643442,0.07298347,1.0,0.17540486,-37.36963,-99.319305,1.2850491,0.003897831153869629,812.6256968975067,75000
15.048036,-13.877799,248.57555,611.7528,4.087682,-9.721873,0.10649766,1.0,158.03677,0.3887359,-7.5964365,0.061232127,1.0,0.054798886,-35.469704,-99.33947,1.6854908,636.16156,4.1076374,-9.78194,0.11851106,1.0,160.36469,0.4068622,-7.651552,0.07501093,1.0,0.13685232,-36.887638,-99.55157,1.4417634,0.003946796226501465,832.3596880435944,80000
5.989951,-10.382,167.73746,592.1462,3.7610865,-9.705725,0.10326787,1.0,159.28975,0.40754786,-7.58654,0.058758013,1.0,0.08370367,-37.555775,-99.901245,1.4780214,626.7643,3.96997,-9.744057,0.11093434,1.0,178.48227,0.43963218,-7.6400523,0.072136045,1.0,0.14949487,-36.277164,-100.45881,1.1238619,0.0038003808975219724,851.3616015911102,85000
29.426865,-34.456642,346.97488,633.532,4.0581512,-9.749965,0.112115934,1.0,190.11327,0.41082144,-7.583404,0.057973966,1.0,0.17176118,-37.257126,-100.16203,1.6666979,659.2268,4.3725114,-9.813456,0.12481413,1.0,181.80295,0.3428467,-7.6534452,0.07548426,1.0,0.21888722,-38.51413,-100.15044,1.7923533,0.003893244743347168,870.8278341293335,90000
7.50965,-12.563219,189.14566,636.9596,4.036669,-9.720958,0.10631459,1.0,168.7423,0.35834488,-7.5956707,0.06104061,1.0,0.19281852,-38.311478,-100.982025,1.0508944,627.06885,4.01956,-9.761368,0.114396624,1.0,166.36026,0.44308048,-7.644371,0.07321566,1.0,0.19708914,-38.12103,-101.03877,1.7908912,0.00387610445022583,890.2083666324615,95000
6.611984,-12.819789,206.90215,635.3174,4.298132,-9.672607,0.09664436,1.0,181.51392,0.45485246,-7.578309,0.056700237,1.0,0.03949203,-38.01397,-100.887955,1.2994831,647.45953,4.675498,-9.746625,0.11144797,1.0,199.0589,0.5365875,-7.6431074,0.07289988,1.0,0.05752407,-38.340694,-101.6581,1.2012652,0.0038567576885223387,909.4921643733978,100000
9.676176,-9.998591,200.40967,640.72595,4.124157,-9.685986,0.099320136,1.0,136.11948,0.35144377,-7.5773573,0.056462422,1.0,0.064843394,-38.58102,-101.14307,1.0172849,648.05884,4.4628754,-9.772499,0.11662292,1.0,162.66956,0.40694103,-7.648157,0.07416215,1.0,0.20084134,-38.11106,-101.40323,1.3570836,0.06879152688980103,1253.449807882309,105000
5.8677154,-5.8977876,175.57736,643.0762,4.1935205,-9.7004385,0.102210835,1.0,169.82828,0.40458387,-7.5750833,0.055893846,1.0,0.5176492,-37.610466,-101.581085,1.1387331,641.39417,4.212908,-9.7069,0.10350299,1.0,178.58833,0.44709194,-7.6320953,0.070146866,1.0,0.24675989,-38.42321,-101.43219,1.032607,0.004023655986785888,1273.5680978298187,110000
14.48349,-14.026291,254.001,640.5424,4.1511984,-9.636572,0.08943751,1.0,185.91861,0.47778216,-7.581975,0.057616703,1.0,0.034131482,-37.74138,-101.72432,1.4112557,633.68384,4.403934,-9.694997,0.10112228,1.0,180.7822,0.43607813,-7.6651077,0.078399904,1.0,0.015218273,-38.889038,-101.35126,1.2176036,0.003994080638885498,1293.5385098457336,115000
6.216271,-7.60822,170.35373,651.98175,4.555449,-9.645563,0.09123542,1.0,167.54941,0.3572381,-7.5687504,0.05431052,1.0,0.23824266,-38.709473,-102.20302,1.1103908,641.38416,4.268415,-9.791571,0.12043726,1.0,173.93353,0.47399485,-7.65608,0.07614295,1.0,0.1385771,-38.90779,-101.61572,1.3908601,0.004083455038070678,1313.9558007717133,120000
20.691166,-28.12535,263.77942,637.96985,4.028651,-9.700891,0.102301,1.0,150.29935,0.31558138,-7.578977,0.05686731,1.0,0.066515826,-37.38751,-101.54826,0.98398834,652.9413,4.1991024,-9.710182,0.10415959,1.0,149.34096,0.4377278,-7.647176,0.07391701,1.0,0.13584706,-37.111076,-101.50534,1.3160393,0.004024512338638306,1334.0783729553223,125000
9.889741,-8.431112,189.35597,648.66406,4.277137,-9.665501,0.095223,1.0,165.29523,0.34396005,-7.564193,0.053171176,1.0,0.04311514,-37.56732,-101.120056,1.1343117,661.0988,4.3059835,-9.6530285,0.09272852,1.0,165.68935,0.44233686,-7.66862,0.079278104,1.0,0.07528886,-38.64027,-101.28206,1.3330152,0.004358269691467285,1355.8697307109833,130000
16.15368,-22.737257,252.26935,655.06024,4.3739758,-9.643856,0.09089408,1.0,144.40646,0.327972,-7.590392,0.05972106,1.0,0.121720456,-39.519318,-102.89799,1.3421924,654.084,4.3760376,-9.721331,0.10638914,1.0,157.8129,0.3273369,-7.6581573,0.07666239,1.0,0.1078197,-37.697945,-102.07077,1.5160973,0.004039558172225952,1376.0675320625305,135000
12.61245,-13.869405,244.07986,638.2805,4.103861,-9.647927,0.091708325,1.0,173.94556,0.3524232,-7.5737753,0.055566803,1.0,0.014779724,-39.20975,-101.320526,1.5448165,644.7886,4.3710604,-9.715194,0.10516173,1.0,168.85852,0.39433345,-7.662706,0.0777995,1.0,-0.023389064,-39.651844,-101.88365,1.2810643,0.004218797492980957,1397.161527633667,140000
7.1215534,-8.585508,205.69005,636.4558,4.360922,-9.645539,0.091230825,1.0,177.29004,0.45559603,-7.5694547,0.05448662,1.0,0.3478651,-36.473217,-100.92214,2.011035,661.8045,4.7130995,-9.700709,0.1022649,1.0,178.14369,0.41282082,-7.6585035,0.07674887,1.0,0.23682712,-38.31568,-101.44188,1.2372735,0.004169243764877319,1418.007758140564,145000
