training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
14.955617,-4.660893,13.982678,0.026480122,4.658094,0.97293866,-4.5320406,1.0,0.9992323,0.6113281,0.0027192766,-20.155878,-20.17398,-1.6363088,134.70865,1.0432973,1.1163083e-08,0.08909081,-0.14843023,1.8482492,14.957032,-4.662313,13.986939,0.027048154,4.677433,0.97009313,-4.5375466,1.0,0.9985533,0.33691406,0.004283874,-20.053802,-20.071844,-1.5983691,40.07048,1.1777656,1.7335034e-07,0.23206993355751038,1160.3496868610382,5000
14.843078,-4.6505513,13.951654,0.022343611,3.8961668,0.89142364,-3.4731362,1.0,0.9993477,0.7373047,0.0020642607,-20.8543,-20.874306,-0.3876664,146.8739,3.3013864,1.6225725e-07,0.05304867,-0.057569705,0.9653803,14.864629,-4.6493034,13.947909,0.021844262,4.945283,0.91671944,-4.5334377,1.0,0.9981222,0.35546875,0.0050663846,-20.468643,-20.487556,-1.1194744,295.54254,3.461082,3.2248967e-10,0.0029981011390686034,1175.3401999473572,10000
14.800289,-4.647308,13.941923,0.021046152,3.9162102,0.8583664,-3.3615437,1.0,0.9993992,0.76953125,0.0017743807,-21.05084,-21.071455,0.03707962,180.06235,4.586144,2.150599e-07,0.06428619,-0.10058299,1.1174647,14.889605,-4.6555424,13.966626,0.024339834,5.6502066,0.9229789,-5.215022,1.0,0.9982672,0.3515625,0.004891267,-20.86223,-20.881464,-1.186364,710.9816,4.9019647,9.228001e-11,0.002947439193725586,1190.0774030685425,15000
14.77089,-4.6527658,13.958297,0.023229202,3.3997455,0.8125933,-2.762611,1.0,0.99947166,0.8125,0.0015092356,-21.571407,-21.592833,0.34659538,185.15625,5.4690933,3.073797e-07,0.083150625,-0.07811079,1.1955596,14.865568,-4.6450443,13.935133,0.020140657,5.986053,0.93043494,-5.5696335,1.0,0.9982481,0.3515625,0.0051975646,-21.323765,-21.343128,-1.5157185,300.0196,5.603904,1.8358655e-10,0.002948030710220337,1204.817563533783,20000
14.678124,-4.642027,13.926082,0.018933902,3.4038498,0.7520426,-2.5598407,1.0,0.9995451,0.8544922,0.00124503,-21.853539,-21.875618,0.7354768,253.76375,6.547527,1.1729516e-05,0.058834717,-0.09511459,1.0487568,14.861556,-4.6481977,13.944592,0.021401973,6.304886,0.91696364,-5.781352,1.0,0.9982662,0.34960938,0.0054751537,-21.627487,-21.64688,-1.7910311,1396.1539,7.6295495,4.8489962e-11,0.0029489021301269533,1219.562081336975,25000
14.649117,-4.643976,13.931929,0.019713467,3.2146993,0.71718866,-2.3055465,1.0,0.9995308,0.86621094,0.0012192732,-21.743023,-21.76506,0.80085695,310.81274,6.762861,9.4355295e-05,0.0522261,-0.067421526,0.91637975,14.887184,-4.647705,13.943115,0.021204922,7.258566,0.94406873,-6.8525863,1.0,0.99836445,0.3466797,0.005390929,-21.501144,-21.520176,-2.0314565,815.3466,7.353937,2.520411e-10,0.0029425970077514648,1234.2750735282898,30000
14.611612,-4.6418457,13.925537,0.018861244,3.1014378,0.68607527,-2.1278205,1.0,0.9995632,0.859375,0.0011393632,-21.73839,-21.760563,0.94554067,348.56763,7.791063,0.00010235863,0.064310774,-0.038306788,0.8458779,14.880593,-4.6443367,13.93301,0.01985766,7.061101,0.9475831,-6.690981,1.0,0.9982834,0.3544922,0.0056312676,-21.438179,-21.45718,-1.9979818,12394.248,13.932782,5.6832768e-11,0.002945740222930908,1249.0037817955017,35000
14.61113,-4.6403933,13.921179,0.018280188,2.8674154,0.68995076,-1.9783762,1.0,0.9995823,0.8769531,0.0011016894,-21.448666,-21.470457,0.8431638,185.10399,6.7977605,1.3632299e-05,0.038436506,-0.03361177,0.68224883,14.880934,-4.6414657,13.9243965,0.018709196,7.3975916,0.95653754,-7.0760746,1.0,0.99841595,0.34179688,0.005388589,-21.200909,-21.219234,-2.4517078,1975.8854,6.3292146,2.3299546e-10,0.002951618194580078,1263.7618794441223,40000
14.596671,-4.6444407,13.933321,0.019899212,3.113039,0.6633501,-2.0650353,1.0,0.9995699,0.8701172,0.0010921364,-21.379684,-21.401546,0.98050404,265.63718,7.16066,1.5412211e-06,0.075652935,-0.034733742,1.0017341,14.911662,-4.650729,13.952187,0.022414634,7.4769497,0.9594756,-7.173951,1.0,0.9984026,0.3310547,0.005606789,-21.11664,-21.134932,-2.4038658,1667.6884,7.305163,2.0145355e-10,0.002962628412246704,1278.575029373169,45000
14.550532,-4.6365,13.9095,0.01672295,2.7059717,0.6410318,-1.7346146,1.0,0.9995432,0.8496094,0.0011225973,-21.383604,-21.405426,0.9392792,166.85904,6.403722,2.6207954e-06,0.05991855,-0.048082706,0.6974908,14.875856,-4.642494,13.927483,0.01912064,7.1790137,0.9483739,-6.8083906,1.0,0.99847126,0.3251953,0.005396707,-21.027792,-21.045925,-2.4794154,739.70764,5.4341955,1.8498056e-10,0.0029539149284362794,1293.3446109294891,50000
