training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
5.6635017,-4.6635017,4.6635017,0.027523616,18.000675,0.9999999,-18.000675,1.0,0.6297025,0.0,-14.172471,-23.081198,1.0371337,-0.28883952,23.940432,1.200412,-13.543207,-22.291512,0.065415986,5.664011,-4.6640606,4.6640606,0.027747244,17.425056,0.99995035,-17.424192,1.0,0.7355043,0.0,-14.402431,-23.094893,0.94520855,-13.751312,-22.333347,0.05181801,0.2525440661907196,1262.7203471660614,5000
5.651744,-4.6517615,4.6517615,0.022827538,26.354393,0.9999825,-26.353933,1.0,0.8579243,0.0,-20.501543,-37.984043,0.62434876,-0.7513007,23.725454,0.677322,-19.979006,-37.3869,0.08840911,5.6509714,-4.6509814,4.6509814,0.022515444,26.853619,0.9999898,-26.853348,1.0,0.8980594,0.0,-20.77118,-38.28253,0.7976776,-20.244526,-37.623787,0.07272462,0.0026235723495483397,1275.838215827942,10000
5.64754,-4.6475506,4.6475506,0.021143038,31.293655,0.99998957,-31.293331,1.0,1.1230637,0.0,-24.351109,-50.30757,1.005228,-0.4892378,33.922115,1.1596766,-23.847075,-49.88527,0.1220574,5.656073,-4.6560793,4.6560793,0.024554802,31.51649,0.99999374,-31.516296,1.0,1.0253669,0.0,-24.4445,-49.481,0.8657033,-24.0109,-48.96546,0.09408141,0.0026164251804351806,1288.9203488826752,15000
5.6525774,-4.6525774,4.6525774,0.02315385,34.485935,1.0,-34.485935,1.0,1.2099552,0.0,-27.800705,-58.58903,0.43033496,-0.9354979,37.470436,0.732497,-27.36097,-58.15889,0.11892471,5.64659,-4.64659,4.64659,0.020759119,33.37504,1.0,-33.37504,1.0,0.8501102,0.0,-27.158262,-58.602768,0.87153965,-26.690067,-58.17762,0.08706108,0.002629473066329956,1302.0677211284637,20000
5.6429033,-4.6429033,4.6429033,0.019284401,34.638733,1.0,-34.638733,1.0,0.74103844,0.0,-29.154802,-64.33243,0.38706124,-0.25001165,17.274637,0.9581654,-28.76003,-64.05919,0.08595075,5.6486287,-4.648632,4.648632,0.021575967,34.76707,0.9999967,-34.766956,1.0,0.6486712,0.0,-28.552258,-64.63265,0.734681,-28.190514,-64.330795,0.084645614,0.002644166374206543,1315.288560628891,25000
5.6452103,-4.6452103,4.6452103,0.020207029,36.30732,1.0,-36.30732,1.0,1.1608793,0.0,-29.473976,-69.12978,0.47501835,-0.88413954,35.078102,0.8755207,-29.078257,-68.79606,0.11590748,5.6479397,-4.6479397,4.6479397,0.021299029,37.67954,1.0,-37.67954,1.0,1.0118296,0.0,-30.12152,-70.12199,0.8451993,-29.705748,-69.85327,0.13070473,0.0026118876457214358,1328.3480062484741,30000
5.6441655,-4.6441655,4.6441655,0.019789264,36.189064,1.0,-36.189064,1.0,1.3423316,0.0,-30.217106,-73.81873,0.6928065,-0.7137865,29.975782,0.90824366,-29.825329,-73.58731,0.12018499,5.6447253,-4.6447253,4.6447253,0.0200131,37.308014,1.0,-37.308014,1.0,1.1963131,0.0,-30.88818,-73.10485,0.911434,-30.504576,-72.87681,0.12009777,0.0026101533412933348,1341.3987801074982,35000
5.6427555,-4.642758,4.642758,0.01922598,37.12565,0.99999774,-37.125565,1.0,1.8699529,0.0,-30.845997,-75.22657,1.3321147,-1.3624141,52.80706,0.75296396,-30.464994,-75.00749,0.17302072,5.641738,-4.641738,4.641738,0.018818066,38.310364,1.0,-38.310364,1.0,1.1981516,0.0,-31.315466,-76.086105,0.7673668,-30.949543,-75.94183,0.15213662,0.0026132505416870118,1354.4650402069092,40000
5.6465344,-4.646547,4.646547,0.020741755,38.221268,0.9999876,-38.220795,1.0,0.8351171,0.0,-31.838524,-77.510475,0.6971187,-0.81529045,28.169968,1.1920427,-31.45153,-77.253784,0.119983934,5.6502304,-4.6502304,4.6502304,0.022215158,39.057602,1.0,-39.057602,1.0,1.0356042,0.0,-31.850578,-77.77668,0.65303296,-31.46513,-77.60732,0.117068216,0.0026511724948883055,1367.720909833908,45000
5.6384687,-4.6384687,4.6384687,0.017510455,37.912567,1.0,-37.912567,1.0,0.8675953,0.0,-31.578882,-79.152336,0.93102086,-0.88240135,30.363361,0.5952483,-31.232702,-79.04716,0.09290358,5.6429567,-4.642958,4.642958,0.01930624,37.83338,0.9999986,-37.83333,1.0,1.0432218,0.0,-32.27453,-78.18814,0.5946701,-31.889313,-78.090775,0.12361096,0.0026111539363861086,1380.776686668396,50000
