training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
2.3965104,-4.6550345,1.3965104,0.024136707,182.28131,1.0,-182.28131,1.0,2.3618941,13.772281,-23.501757,355.84354,69.39987,1373.2,712.6803,11.797919,5.5568504,22.3364,2.3030124,0.049523897,4.267731,-23.501757,69.61326,93.11501,2.3999887,-4.666629,1.3999887,0.028774554,173.79565,0.99999994,-173.79565,1.0,2.6789474,67.51138,1374.9879,717.0003,3.643761,7.8336663,23.270592,2.5214257,0.052530997,4.2684436,-33.22414,67.72481,100.948944,0.26072022242546083,1303.6011700630188,5000
2.3953478,-4.6511593,1.3953478,0.022586659,131.74448,0.99999994,-131.74448,1.0,2.0288556,18.34574,-41.885376,480.245,99.89679,1382.1349,603.6359,29.027887,3.258935,18.949389,1.8430576,0.08513589,13.052734,-41.885376,100.54942,142.4348,2.3964624,-4.6548743,1.3964623,0.024072675,126.533066,1.0,-126.533066,1.0,2.0204434,96.69397,1372.5809,610.64575,14.275863,4.9884343,41.47707,1.9267113,0.06436818,13.055572,-64.47408,97.34675,161.82083,0.006058356428146362,1333.8929605484009,10000
2.394323,-4.6477437,1.3943231,0.021220518,88.03155,1.0,-88.03155,1.0,1.4615039,17.92708,-45.323856,653.27515,139.6138,1344.8451,480.0398,18.217817,1.1010337,13.0871935,1.3706189,0.026344748,43.123123,-45.323856,141.76996,187.09381,2.3951998,-4.6506653,1.3951997,0.022389188,91.91841,1.0,-91.91841,1.0,1.529086,158.38179,1252.9113,453.8667,4.111979,1.6158463,19.253618,1.4464533,0.018878251,43.133724,-67.54079,160.53847,228.07925,0.006031423902511597,1364.0500893592834,15000
2.3923771,-4.641257,1.3923771,0.018625736,61.338295,1.0,-61.338295,1.0,1.0803645,87.008606,-63.03868,1362.0994,191.39922,1114.8965,381.38452,9.348901,0.5404705,16.425026,1.0047959,0.037089013,128.52696,-63.03868,197.82558,260.86426,2.3936677,-4.645559,1.3936677,0.020346535,63.00759,1.0,-63.00759,1.0,1.1239889,197.68561,1083.6545,369.4087,4.394885,0.61303425,13.984968,1.037716,0.045763776,128.55688,-72.38193,204.11346,276.4954,0.006028526067733765,1394.1927297115326,20000
2.391151,-4.63717,1.391151,0.016990758,50.08523,1.0,-50.08523,1.0,0.887311,24.637178,-25.043755,664.45044,244.08395,977.01624,299.6375,12.347997,0.10977378,4.793365,0.8378874,0.031848367,311.84256,-18.640007,259.6761,278.3161,2.3924413,-4.6414704,1.3924413,0.018711237,51.88849,1.0,-51.88849,1.0,0.94491434,242.94887,1002.3317,306.6864,10.665136,0.21947834,8.715157,0.88115865,0.029106312,311.89474,-52.859406,258.5436,311.403,0.0060520599842071535,1424.4530408382416,25000
2.393003,-4.643344,1.3930031,0.01946043,42.894684,0.99999994,-42.894684,1.0,0.81600195,23.491924,-21.148409,591.13043,262.513,960.45996,274.57025,12.018681,0.037228823,2.8180552,0.72967356,0.014466282,619.66956,7.9139104,293.4965,285.58258,2.3948107,-4.649369,1.3948107,0.021870414,44.107346,1.0,-44.107346,1.0,0.84836614,261.47678,935.8372,279.08902,6.1996546,0.14194907,6.386177,0.74888325,0.025377788,619.7011,-56.980946,292.46182,349.44278,0.006028951168060303,1454.5978076457977,30000
2.3923051,-4.641017,1.3923051,0.018529717,40.163822,0.99999994,-40.163822,1.0,0.75689423,24.66308,-43.538498,712.86536,269.9768,959.3471,271.22302,11.473501,0.037315715,3.356967,0.69132,0.02491953,749.94214,9.512481,307.4739,297.96143,2.392717,-4.64239,1.3927169,0.019078853,45.52059,1.0,-45.52059,1.0,0.82446235,274.62128,983.0989,267.77307,1.0149561,0.056837097,4.424936,0.7273501,0.017914265,749.91815,-5.1272626,312.1172,317.24445,0.006032462310791016,1484.7601325511932,35000
2.3926437,-4.642146,1.3926437,0.018981237,41.558098,1.0,-41.558098,1.0,0.7508678,31.165049,-52.53813,856.7762,258.57767,1029.7278,288.8285,11.9359455,0.040712077,3.1146781,0.7043771,0.0347563,757.2179,7.032982,296.43857,289.40558,2.393547,-4.645156,1.3935469,0.020185484,40.3715,1.0,-40.3715,1.0,0.8554816,260.8288,975.1579,287.08136,7.2117395,0.74858844,22.563217,0.7576876,0.02841137,757.1937,-528.9668,298.68848,827.6553,0.006029220771789551,1514.9062459468842,40000
2.391766,-4.63922,1.3917661,0.017811125,45.152115,1.0,-45.152115,1.0,0.7932387,33.555984,-46.11999,689.011,269.1683,1052.5333,275.34064,6.306691,0.04241961,3.145463,0.7246389,0.030540716,734.62,5.5687075,305.8993,300.3306,2.3939753,-4.6465836,1.3939753,0.02075653,44.347588,1.0,-44.347588,1.0,0.9868507,267.98694,1020.52795,281.5606,5.93528,3.7480288,57.845142,0.8453283,0.02664157,734.5909,-2716.5383,304.71655,3021.255,0.006029270935058594,1545.0526113510132,45000
2.3917637,-4.6392126,1.3917638,0.017808037,44.927513,0.99999994,-44.927513,1.0,0.7842035,56.515568,-32.69446,779.7575,252.64629,1059.9222,299.8316,9.646931,0.031903893,2.2124336,0.716436,0.031150494,727.31366,13.161547,289.012,275.85043,2.3931942,-4.643981,1.3931942,0.01971521,47.122307,1.0,-47.122307,1.0,0.83015645,246.34958,1076.8877,317.98712,6.2932105,0.112501204,5.0607076,0.7700602,0.015513431,727.279,-45.455814,282.71353,328.16934,0.006028755235671997,1575.196397304535,50000
