dataset,method,mean,std,n_seeds,per_seed
antmaze-large-navigate-v0,crl,0.8653,0.0019,3,"0.864,0.864,0.868"
antmaze-large-navigate-v0,gciql,0.3267,0.0278,3,"0.292,0.328,0.360"
antmaze-large-navigate-v0,gcivl,0.1493,0.0495,3,"0.080,0.176,0.192"
antmaze-large-navigate-v0,hiql,0.8893,0.0068,3,"0.880,0.892,0.896"
antmaze-large-navigate-v0,qrl,0.8067,0.0105,3,"0.792,0.812,0.816"
antmaze-large-stitch-v0,crl,0.1867,0.0295,3,"0.152,0.184,0.224"
antmaze-large-stitch-v0,gciql,0.1107,0.0105,3,"0.096,0.116,0.120"
antmaze-large-stitch-v0,gcivl,0.1880,0.0312,3,"0.144,0.208,0.212"
antmaze-large-stitch-v0,hiql,0.6773,0.0761,3,"0.612,0.636,0.784"
antmaze-large-stitch-v0,qrl,0.2120,0.0339,3,"0.188,0.188,0.260"
antmaze-teleport-navigate-v0,crl,0.5387,0.0371,3,"0.488,0.552,0.576"
antmaze-teleport-navigate-v0,gciql,0.3027,0.0285,3,"0.264,0.312,0.332"
antmaze-teleport-navigate-v0,gcivl,0.3907,0.0434,3,"0.360,0.360,0.452"
antmaze-teleport-navigate-v0,hiql,0.4040,0.0353,3,"0.356,0.416,0.440"
antmaze-teleport-navigate-v0,qrl,0.3267,0.0441,3,"0.272,0.328,0.380"
cube-double-play-v0,crl,0.0853,0.0115,3,"0.072,0.084,0.100"
cube-double-play-v0,gciql,0.3587,0.0506,3,"0.296,0.360,0.420"
cube-double-play-v0,gcivl,0.3400,0.0229,3,"0.320,0.328,0.372"
cube-double-play-v0,hiql,0.0667,0.0217,3,"0.044,0.060,0.096"
cube-double-play-v0,qrl,0.0120,0.0065,3,"0.004,0.012,0.020"
humanoidmaze-medium-navigate-v0,crl,0.5760,0.0173,3,"0.560,0.568,0.600"
humanoidmaze-medium-navigate-v0,gciql,0.3093,0.0431,3,"0.252,0.320,0.356"
humanoidmaze-medium-navigate-v0,gcivl,0.2507,0.0217,3,"0.228,0.244,0.280"
humanoidmaze-medium-navigate-v0,hiql,0.9067,0.0038,3,"0.904,0.904,0.912"
humanoidmaze-medium-navigate-v0,qrl,0.1933,0.0866,3,"0.072,0.240,0.268"
powderworld-hard-play-v0,crl,0.0000,0.0000,3,"0.000,0.000,0.000"
powderworld-hard-play-v0,gciql,0.0000,0.0000,3,"0.000,0.000,0.000"
powderworld-hard-play-v0,gcivl,0.0480,0.0331,3,"0.012,0.040,0.092"
powderworld-hard-play-v0,hiql,0.0333,0.0236,3,"0.000,0.048,0.052"
powderworld-hard-play-v0,qrl,0.0000,0.0000,3,"0.000,0.000,0.000"
powderworld-medium-play-v0,crl,0.0293,0.0147,3,"0.012,0.028,0.048"
powderworld-medium-play-v0,gciql,0.1733,0.0994,3,"0.036,0.216,0.268"
powderworld-medium-play-v0,gcivl,0.5293,0.0236,3,"0.496,0.544,0.548"
powderworld-medium-play-v0,hiql,0.1307,0.0933,3,"0.000,0.180,0.212"
powderworld-medium-play-v0,qrl,0.0173,0.0168,3,"0.000,0.012,0.040"
puzzle-3x3-play-v0,crl,0.0360,0.0086,3,"0.028,0.032,0.048"
puzzle-3x3-play-v0,gciql,0.9373,0.0381,3,"0.896,0.928,0.988"
puzzle-3x3-play-v0,gcivl,0.0480,0.0199,3,"0.032,0.036,0.076"
puzzle-3x3-play-v0,hiql,0.1120,0.0267,3,"0.076,0.120,0.140"
puzzle-3x3-play-v0,qrl,0.0067,0.0050,3,"0.000,0.008,0.012"
scene-play-v0,crl,0.1827,0.0379,3,"0.152,0.160,0.236"
scene-play-v0,gciql,0.5120,0.0196,3,"0.488,0.512,0.536"
scene-play-v0,gcivl,0.4080,0.0344,3,"0.368,0.404,0.452"
scene-play-v0,hiql,0.3480,0.0267,3,"0.320,0.340,0.384"
scene-play-v0,qrl,0.0480,0.0098,3,"0.036,0.048,0.060"
